jeremić,a	jer,emi,ća
načelnik,a	na,č,eln,ika
odbor,u	od,bor,u
pol,ova	pol,ova
pun,u	p,unu
ustav,a	ust,ava
jednak,a	jedn,aka
vlast,i	v,last,i
suverenitet,a	su,veren,it,eta
princip,a	princip,a
bezbednost,i	bez,bed,nosti
rat,om	rat,om
stanje,m	stan,jem
opasnost,i	op,as,nosti
niko,me	nik,ome
zakon,i	zak,oni
zakon,ima	zak,on,ima
usvojen,im	us,vo,jen,im
slučaj,evima	sl,uč,aj,ev,ima
suprotnost,i	sup,rotn,osti
yok,-a	y,ok,-a
sud,ova	sud,ova
vojni,h	voj,nih
zakon,u	zak,onu
poslanik,a	pos,lan,ika
paket,u	paket,u
njihov,o	njih,ovo
k,a	ka
standard,a	standard,a
propis,ima	prop,is,ima
džemil,a	d,ž,em,ila
čiček,a	č,ič,eka
sklad,u	sk,lad,u
sistem,om	s,istem,om
mesec,a	mes,eca
oblast,i	ob,last,i
visok,i	vis,oki
april,a	apr,ila
izgled,e	iz,gle,de
razgovor,a	raz,gov,ora
hrvatski,m	hr,v,ats,kim
šef,om	š,ef,om
gordan,om	g,ordan,om
jandroković,em	j,andro,k,ović,em
jun,a	j,una
pregovor,e	preg,ov,ore
jesen,i	jes,eni
međuvreme,nu	me,đ,uv,rem,enu
koji,h	ko,jih
zagreb,u	z,agre,bu
razgovor,i	raz,gov,ori
jul,a	j,ula
sve,mu	sv,emu
pregovor,i	preg,ov,ori
pristup,u	pr,ist,upu
korak,e	kor,ake
neki,m	nek,im
jun,u	jun,u
poziv,u	poz,ivu
saobraćaj,a	sa,obra,ć,aja
razlog,a	raz,log,a
brisel,u	b,ris,elu
postavljen,e	postav,lj,ene
cilj,eve	cil,je,ve
zagreb,a	z,agre,ba
velik,e	vel,ike
premijer,om	prem,ij,er,om
ivo,m	i,vom
sanader,om	san,ader,om
uslov,om	us,lov,om
razgovor,u	raz,gov,oru
ren,om	ren,om
kriterijum,a	k,riter,ij,uma
poziv,a	poz,iva
spor,u	sp,oru
samit,a	sam,ita
makedonski,m	m,aked,ons,kim
branko,m	br,ank,om
crvenkovski,m	cr,ven,kov,skim
gruevski,m	gr,ue,v,skim
sekretar,om	sek,ret,ar,om
nato,-om	n,ato,-,om
jap,om	j,ap,om
hop,om	hop,om
shefer,om	she,fer,om
pomenut,i	p,omen,uti
nepromenjen,i	n,eprom,en,jeni
domen,u	dom,enu
sekretar,a	sek,ret,ara
lider,ima	lider,ima
izaslanik,om	izas,lan,ikom
un,-a	un,-a
metju,om	met,ju,om
nimic,om	n,im,icom
vođa,ma	vo,đ,ama
nimicov,ih	n,im,ic,ov,ih
predlog,a	pred,log,a
prevremen,e	prev,rem,ene
izbor,e	iz,b,ore
vikend,a	vik,enda
makedonski,h	m,aked,ons,kih
spor,a	sp,ora
okrilje,m	ok,ril,jem
obostran,o	obo,str,ano
prihvatljiv,o	pri,h,vat,ljivo
osumnjičen,ih	os,umn,ji,čen,ih
sukob,e	s,uk,obe
napad,om	nap,ad,om
unutrašnji,h	un,utra,šnj,ih
osumnjičen,e	os,umn,ji,č,ene
neidentifikovan,a	ne,ident,ifik,ov,ana
povezanost,i	p,ove,zan,osti
teroristički,m	ter,or,isti,č,kim
akcija,ma	ak,cij,ama
sarajevski,m	sar,aj,ev,skim
kvart,ovima	kv,art,ovima
eksploziv,a	ek,sp,lo,z,iva
mart,u	mart,u
hapšenje,m	hap,šen,jem
dokaz,a	dok,aza
martovski,m	mart,ov,skim
uređaj,e	ure,đ,aje
crtež,e	cr,te,že
priručnik,e	pr,ir,uč,nike
uređaj,a	ure,đ,aja
detonator,e	det,on,atore
osumnjičen,i	os,umn,ji,č,eni
povezan,i	p,ove,z,ani
pokret,om	pok,ret,om
navodni,h	nav,od,nih
mirsad,om	m,irs,ad,om
bektašević,em	b,ek,ta,š,ević,em
teroristički,h	ter,or,isti,čkih
vatren,og	vat,ren,og
jusuf,a	j,us,ufa
barčić,a	bar,čić,a
ko,ga	k,oga
katolički,h	kat,oli,čkih
razvoj,u	raz,vo,ju
izvoznik,e	iz,vo,zn,ike
kilometar,a	kil,omet,ara
koman,a	kom,ana
problem,u	problem,u
deklarisan,u	de,klar,isan,u
kosovski,h	kos,ov,skih
izvoznik,a	iz,vo,zn,ika
izvoz,a	iz,vo,za
proizvod,i	pro,iz,v,odi
skup,lji	sk,up,l,ji
direktor,a	dire,kt,ora
nedeklarisan,a	ned,ek,lar,is,ana
sumnjiv,a	sum,nj,iva
potpun,o	pot,p,uno
carinski,h	car,inski,h
proizvod,e	pro,iz,v,ode
njihov,om	njih,ov,om
reciprocitet,a	rec,ip,roc,it,eta
reciprocitet,om	rec,ip,roc,itet,om
pomoć,i	p,omo,ći
grčki,h	gr,čkih
brod,ovima	bro,d,ovima
aktivist,a	aktiv,ista
velik,im	vel,ik,im
korak,om	kor,ak,om
kapetan,a	kap,et,ana
brod,ova	bro,d,ova
nov,u	nov,u
osnov,u	os,nov,u
život,e	živ,ote
putnik,a	put,nika
novinar,a	nov,in,ara
pritvor,u	prit,vor,u
konvoj,a	kon,voja
maj,u	m,aju
turski,h	t,urs,kih
grčki,m	gr,č,kim
stran,im	str,anim
zastava,ma	z,ast,av,ama
protest,e	pro,teste
propalestinski,h	prop,ale,st,inski,h
izrael,a	i,z,rael,a
problem,e	pro,ble,me
film,ova	film,ova
džejms,om	d,ž,ej,ms,om
bond,om	bond,om
izrael,om	i,z,rael,om
odnos,a	od,n,osa
damask,a	dam,aska
norma,ma	norm,ama
bliskoistočni,h	bl,isko,isto,čnih
mirovni,h	mi,ro,vn,ih
posrednik,a	pos,red,nika
kanal,a	kan,ala
uspostavljen,m	us,post,avl,jen,m
kopnen,im	kop,nen,im
prelaz,ima	pre,laz,ima
kompromis,a	komp,rom,isa
korišćenje,m	kori,š,ćen,jem
postojeći,h	posto,jeć,ih
prihvatljiv,i	pri,h,vat,lj,ivi
izrael,u	i,z,rael,u
jul,u	j,ulu
dvostruk,i	d,vo,str,uki
proces,u	proces,u
dan,a	dana
naš,e	na,še
prijem,u	p,rij,emu
član,ove	č,lan,ove
kor,a	k,ora
jak,om	jak,om
vest,i	vest,i
brisel,a	b,ris,ela
zelen,o	z,elen,o
promena,ma	prom,en,ama
reformski,h	reform,skih
članica,ma	č,lan,icama
lider,i	lider,i
jedinstven,o	jed,inst,veno
porast,u	por,ast,u
pregovarački,h	preg,ov,ara,čkih
poen,a	po,ena
pokušaj,a	p,oku,š,aja
predstojeći,m	pred,sto,jeć,im
forum,a	for,uma
unesko,-a	un,es,ko,-a
pokrovitelj,i	pok,rov,itelji
avgust,a	avg,usta
grad,u	gradu
ohrid,u	oh,rid,u
savest,i	sav,esti
predsednik,e	pred,sed,nike
nevladin,ih	ne,vl,adini,h
ekspert,ima	ek,sp,ert,ima
jednakost,i	jed,nak,osti
ljudski,h	l,jud,skih
radni,h	rad,nih
skup,u	sk,upu
demokratski,h	dem,ok,rats,kih
cilj,eva	cil,je,va
pun,og	pun,og
različit,ih	raz,li,čit,ih
etnički,h	etni,čkih
pripadnost,i	p,rip,ad,nosti
civilizovan,u	civil,iz,ovan,u
održiv,a	od,rž,iva
april,u	ap,ril,u
visok,ih	vis,ok,ih
zvaničnik,a	zv,ani,č,nika
nivo,u	niv,ou
naš,im	na,š,im
oslabljen,u	os,lab,lj,enu
profesor,ima	prof,esor,ima
studentski,m	students,kim
kampus,e	kamp,use
protest,a	pro,test,a
osiguran,u	os,ig,uran,u
bulevar,om	b,ule,var,om
ratifikovan,og	rat,ifik,ovan,og
univerzitet,ima	un,iver,z,itet,ima
škola,ma	š,kol,ama
stepen,a	step,ena
sistem,u	s,ist,emu
visok,og	vis,ok,og
velik,u	vel,iku
status,a	status,a
azil,a	az,ila
nezabeležen,a	nez,abe,lež,ena
glas,ovima	glas,ovima
konsenzus,u	kons,enz,usu
moguć,ih	m,oguć,ih
naslednik,a	nas,led,nika
jorgos,a	j,org,osa
papandreu,a	pap,andre,ua
istorijski,m	istor,ijs,kim
osnažen,a	os,na,ž,ena
vođstvo,m	vo,đ,st,vom
skori,jim	sk,or,ij,im
neuspeh,om	ne,us,pe,hom
mesec,ima	mes,ec,ima
nekompetentnost,i	ne,kom,pet,ent,nosti
neefektivnost,i	ne,ef,ektiv,nosti
širok,om	š,iro,kom
obrazovni,h	ob,raz,ov,nih
akademski,h	ak,adem,skih
protest,i	pro,test,i
povezan,e	p,ove,z,ane
levičarski,m	lev,ič,ars,kim
stranka,ma	str,ank,ama
mlad,ih	ml,adi,h
rektor,a	rekt,ora
otvoren,i	ot,vore,ni
aristotelov,og	a,rist,otel,ov,og
univerzitet,a	un,iver,zit,eta
solun,u	sol,unu
prav,o	pr,avo
prolongiran,o	pro,long,ir,ano
univerzitet,i	un,iver,z,itet,i
garantor,i	gar,ant,ori
legalitet,a	legal,it,eta
ustavnost,i	ust,avn,osti
urban,i	urb,ani
britanski,h	brit,ans,kih
diplomac,a	di,plom,aca
setimes,u	set,imes,u
predavački,h	pred,ava,čkih
london,a	london,a
univerzitetski,h	un,iver,zit,ets,kih
sistem,e	s,ist,eme
razborit,a	raz,bor,ita
zdrav,og	z,dr,av,og
razum,a	raz,uma
ran,ih	rani,h
osamdeseti,h	os,am,des,et,ih
novoizabran,a	n,ovo,iz,abr,ana
glasački,h	gl,asa,čkih
listić,a	list,ić,a
povezan,ih	p,ove,z,ani,h
izbor,u	iz,bor,u
studentski,h	students,kih
obavezan,o	ob,avez,ano
vreme,na	v,rem,ena
udžbenik,a	ud,ž,ben,ika
internet,u	internet,u
spojen,e	sp,oj,ene
faza,ma	faz,ama
narkotik,a	n,ark,ot,ika
balkan,u	b,alkan,u
pokušaj,u	p,oku,š,aju
krijumčar,ima	k,rij,um,č,ar,ima
dolar,a	dol,ara
krijumčar,a	k,rij,um,č,ara
analitičar,i	anal,iti,č,ari
naj,nov,ija	naj,nov,ija
zdravstven,e	z,dr,av,st,vene
krijumčar,i	k,rij,um,č,ari
sporazum,e	spor,az,ume
izveštaj,u	iz,ve,št,aju
put,eve	pute,ve
podatak,a	pod,ataka
američki,h	amer,ič,kih
avganistanski,h	avg,an,ist,ans,kih
izvor,a	iz,v,ora
predložen,i	pred,lož,eni
januar,a	jan,u,ara
albanski,m	alb,ansk,im
vlast,ima	v,last,ima
heroin,a	her,oin,a
prvi,h	pr,vih
promet,a	prom,eta
poznat,i	pozn,ati
mediteranski,m	med,iter,ansk,im
promet,om	prom,et,om
izveštaj,ima	iz,ve,št,aj,ima
granica,ma	gr,anic,ama
svoj,u	s,vo,ju
ivanov,u	i,van,ovu
sopstven,u	s,op,st,venu
tranzit,a	tr,anz,ita
evropski,m	ev,rops,kim
partnerski,h	partners,kih
određen,a	od,re,đ,ena
napad,a	nap,ada
aktivist,i	aktiv,isti
nevladin,e	ne,vl,ad,ine
star,u	star,u
rad,om	rad,om
planiran,og	plan,iran,og
metar,a	met,ara
volonter,i	vol,on,teri
dug,a	d,uga
starost,i	star,osti
koji,m	ko,jim
aliani,ja	ali,an,ija
aliani,ju	ali,an,iju
grad,a	gr,ada
savet,u	sav,etu
unesko,-u	un,es,ko,-u
abdulah,u	ab,dul,ahu
gul,u	g,ulu
njegov,ih	nj,egov,ih
rimski,h	rim,skih
čvrst,u	č,vr,stu
predviđen,om	pred,vi,đen,om
plan,u	plan,u
otkriven,ih	ot,kr,iven,ih
komad,i	kom,adi
metal,i	met,ali
staklen,i	st,ak,len,i
artefakt,i	art,ef,akt,i
period,a	period,a
objekat,a	obj,ek,ata
izvor,ima	iz,vor,ima
potapanje,m	pot,apan,jem
turist,a	tur,ista
bog,a	b,oga
vek,u	ve,ku
imperator,a	im,perator,a
hadrijan,a	had,rij,ana
lekovit,og	le,kov,it,og
izvorski,m	iz,vors,kim
voda,ma	vod,ama
lekovit,om	le,kov,itom
stepen,i	step,eni
celzijus,a	cel,zij,usa
ukrašen,e	uk,raš,ene
čist,im	č,ist,im
mermerni,m	mer,mern,im
kamen,om	k,amen,om
zaštićen,im	za,šti,ćen,im
trg,ovi	tr,g,ovi
slučaj,evi	sl,uč,aj,evi
važnost,i	važ,nosti
običaj,i	obi,č,aji
pripadnik,a	p,rip,ad,nika
brz,a	br,za
različit,i	raz,lič,iti
javnost,i	j,avn,osti
slučaj,eva	sl,uč,aj,eva
tužen,e	tu,ž,ene
strah,a	str,aha
maltretiranje,m	m,alt,ret,ir,anjem
pošten,a	po,šten,a
rom,a	roma
ljudski,m	l,jud,skim
žrtva,ma	ž,rt,v,ama
sektor,u	se,kt,oru
ombudsman,om	omb,uds,man,om
telesni,h	teles,nih
grub,o	gr,ubo
potpun,og	pot,pun,og
ombudsman,a	omb,uds,mana
iđet,a	i,đ,eta
memeti,ja	mem,et,ija
delevoa,a	de,le,vo,aa
kazneni,h	kaz,nen,ih
tok,u	t,oku
policajac,a	p,olic,aj,aca
navrat,a	nav,rata
prekid,a	pre,k,ida
posmatrač,a	pos,mat,rač,a
izbeglica,ma	iz,beg,lic,ama
tbilisi,ja	t,bil,is,ija
posmatrač,e	pos,mat,ra,če
odmetnut,u	od,met,nut,u
čas,a	č,asa
sukob,a	s,uk,oba
šef,ovi	š,ef,ovi
uobičajen,e	u,obi,čaj,ene
rus,i	r,usi
položaj,e	pol,ož,aje
odmetnut,oj	od,met,n,uto,j
velik,om	vel,ikom
sam,u	sam,u
sam,e	same
prizor,i	pr,iz,ori
ruski,h	rus,kih
tenk,ova	ten,k,ova
oebs,-a	oe,bs,-a
teren,u	ter,enu
ko,me	k,ome
moguć,oj	m,oguć,oj
šef,ova	š,ef,ova
avinjon,u	a,vin,jon,u
istočnoevropski,h	isto,čno,ev,rops,kih
njen,ih	n,jen,ih
implikacija,ma	impl,ik,acij,ama
savez,a	save,za
plan,a	pl,ana
napad,e	nap,ade
siromaštvo,m	si,roma,š,tv,om
grk,a	gr,ka
vest,ima	vest,ima
nivo,a	n,ivo,a
slom,a	sl,oma
kontinent,u	kont,inent,u
uticaj,u	ut,ic,aju
rumun,a	r,um,una
njihov,a	njih,ova
ispitanik,a	isp,itan,ika
smer,a	s,mera
bazel,a	b,az,ela
farmaceutski,h	farm,aceut,skih
proizvod,a	pro,iz,v,oda
zemun,u	z,em,unu
projekt,u	projekt,u
forum,u	forum,u
margina,ma	margin,ama
savet,a	sav,eta
gas,a	g,asa
basen,a	bas,ena
detalj,e	det,al,je
centar,a	cent,ara
efikasnost,i	ef,ikas,nosti
zaposlen,e	z,apos,lene
industrijski,m	indust,ri,js,kim
sektor,ima	se,ktor,ima
profit,a	prof,ita
porez,i	p,ore,zi
odmor,e	od,more
vladin,ih	vl,adini,h
vaterpolist,i	v,ater,pol,isti
neporažen,i	nep,ora,ž,eni
emanuil,a	e,man,u,ila
milonakis,a	m,ilon,ak,isa
peking,u	p,ek,ingu
gol,a	g,ola
stil,u	st,ilu
protivnik,a	prot,iv,nika
šeref,a	š,ere,fa
eroglu,a	e,ro,gl,ua
kilogram,a	kil,ograma
čeh,a	č,eh,a
marek,a	m,are,ka
švec,a	š,ve,ca
ženski,m	ž,ens,kim
eliminacija,ma	elimin,acij,ama
nozadze,a	no,z,ad,zea
vreme,nom	v,remen,om
tenis,u	ten,isu
kong,a	k,onga
tvrd,oj	tvr,do,j
gol,ova	gol,ova
teg,ova	teg,ova
muški,h	mu,ških
mešovit,im	me,šov,itim
stil,om	stil,om
takmičar,a	tak,mi,č,ara
rvač,i	r,va,či
meč,u	me,ču
slatkiš,a	sl,at,ki,ša
mraz,a	m,ra,za
pregled,u	preg,led,u
sport,a	sport,a
njegov,om	nj,egov,om
film,u	film,u
mraz,om	m,raz,om
vilenjak,om	v,ilen,jak,om
svoj,a	s,voja
trg,a	tr,ga
karusel,a	kar,us,ela
velik,oj	vel,ik,oj
trg,u	tr,gu
klub,a	kl,uba
albanski,h	alb,ans,kih
ličnost,i	lič,nosti
umetnost,i	um,et,nosti
orden,om	orden,om
majstor,a	maj,st,ora
fuad,a	fu,ada
muzurović,a	m,uz,uro,vi,ća
selektor,a	se,le,kt,ora
blaž,a	b,la,ža
slišković,a	s,li,šk,ovi,ća
loš,eg	lo,š,eg
kvalifikacija,ma	k,val,ifik,acij,ama
savremen,e	sav,rem,ene
rad,ova	rad,ova
slikar,a	s,lik,ara
tematski,h	tem,ats,kih
ciklus,a	cik,l,usa
pariz,u	par,izu
kfor,-a	k,for,-a
srpski,m	sr,ps,kim
demonstrant,ima	d,emon,str,ant,ima
etnički,m	etni,č,kim
vojnik,e	vo,jn,ike
podeljen,og	p,odel,jen,og
naseljen,ih	nas,el,jen,ih
sukob,i	s,uk,obi
izveštaj,a	iz,ve,št,aja
granata,ma	gran,at,ama
unmik,-a	un,mi,k,-a
sever,u	se,ver,u
kfor,-u	k,for,-u
snaga,ma	sn,agama
sud,a	s,uda
srpski,h	sr,ps,kih
demonstrant,i	d,emon,str,anti
razgovor,e	raz,gov,ore
kompleks,u	kom,ple,ks,u
nered,a	ner,eda
februar,a	fe,bru,ara
un,-u	un,-u
kosovski,m	kos,ov,skim
napet,a	nap,eta
pun,oj	p,uno,j
pripadnik,e	p,rip,ad,nike
prepad,u	pre,pad,u
okupljen,e	ok,up,lj,ene
povređen,i	p,ovre,đ,eni
policijski,h	pol,ici,js,kih
kompleks,a	kom,ple,ks,a
poljski,h	pol,js,kih
izvor,i	iz,v,ori
šef,a	š,efa
pokušaj,i	p,oku,š,aji
nadležnost,i	n,adle,ž,nosti
slobodan,om	s,lob,od,anom
samardžić,em	sam,ard,ž,ić,em
isključiv,u	isk,ljuč,ivu
napad,u	nap,adu
red,a	red,a
mikalis,a	m,ikal,isa
krisohoides,a	k,ris,oh,oid,esa
objekt,u	obj,ekt,u
saradnik,a	sar,ad,nika
sat,i	s,ati
sprat,u	spr,atu
slatkiš,ima	sl,at,ki,š,ima
uvijen,i	uv,ij,eni
ruka,ma	ruk,ama
dim,a	d,ima
vasilakisov,om	v,asil,akis,ov,om
prijatelj,a	p,rij,atel,ja
dragocen,og	drag,ocen,og
incident,i	incident,i
grad,ove	grad,ove
bbc,-u	bbc,-u
prst,om	pr,st,om
lista,ma	list,ama
terorist,a	ter,or,ista
moguć,eg	m,oguć,eg
militant,ima	m,ilit,ant,ima
grk,e	gr,ke
norlmalnost,i	nor,l,mal,nosti
naš,oj	na,š,oj
sused,ima	s,used,ima
turist,e	tur,iste
netaknut,om	net,ak,nut,om
čist,om	č,ist,om
srednjovekovni,m	s,red,nj,ove,kov,nim
ilirski,m	ilir,skim
ruševina,ma	ru,š,evin,ama
kampanja,ma	kam,pan,j,ama
posvećivanje,m	pos,ve,ć,ivan,jem
prihod,a	pri,h,oda
napor,i	nap,ori
prihod,i	pri,h,odi
procvat,a	pro,cv,ata
sektor,a	se,kt,ora
finansijski,h	fin,ansi,js,kih
poziv,e	poz,ive
njegov,u	nj,egov,u
parlament,a	par,l,amenta
red,om	red,om
pad,a	pada
dostavljen,u	d,ost,av,lj,enu
miroljubiv,om	mi,rol,jub,iv,om
miting,u	mit,ingu
đurčanj,a	đ,ur,č,anja
veče,ri	ve,č,eri
rojters,a	r,oj,ters,a
ulica,ma	ul,icama
voden,e	vod,ene
top,ove	top,ove
demonstrant,e	d,emon,str,ante
fides,-a	f,ides,-a
njihov,im	njih,ov,im
poziv,ima	poz,iv,ima
izbor,i	iz,bor,i
ekonomski,m	ekonom,skim
program,u	program,u
novinar,e	nov,inare
automobil,i	autom,obili
bdp,-a	bd,p,-a
porez,e	p,ore,ze
planiran,e	plan,ir,ane
zdravstven,om	z,dr,av,st,ven,om
visok,om	vis,ok,om
sud,om	sud,om
zločin,e	z,lo,č,ine
nato,-u	n,ato,-u
glavni,h	gl,avn,ih
prioritet,a	prior,it,eta
tribunal,om	trib,unal,om
mksj,-u	m,ks,j,-u
počinjen,e	po,čin,jene
devedeseti,h	de,ved,es,et,ih
njegov,i	nj,eg,ovi
hag,u	h,agu
visok,a	vis,oka
general,a	gener,ala
njihov,e	njih,ove
sukob,u	s,uk,ob,u
bosanski,h	bos,ans,kih
rim,u	r,imu
zid,a	z,ida
miloševićev,ih	m,ilo,š,ević,ev,ih
sledbenik,a	sled,ben,ika
konsenzus,om	kons,enz,us,om
boris,a	b,or,isa
tadić,a	t,adi,ća
vojislav,a	v,oj,isl,ava
niš,u	ni,šu
jug,u	j,ugu
izveštaj,e	iz,ve,št,aje
tribunal,a	trib,un,ala
beograd,a	be,ogr,ada
mogućnost,i	m,oguć,nosti
dogovor,a	dog,ov,ora
srebrn,i	s,re,br,ni
predmet,i	pred,met,i
japan,u	japan,u
kup,a	k,upa
uzastopni,m	uz,ast,op,nim
izložba,ma	iz,lož,b,ama
zamenik,a	z,amen,ika
srebrn,ih	s,re,br,nih
antički,h	anti,čkih
predmet,a	pred,meta
predmet,e	pred,mete
pronađen,e	pr,ona,đ,ene
poslednji,h	pos,led,njih
svetski,h	sv,ets,kih
šampion,a	š,ampion,a
četvorostruk,a	čet,v,oro,str,uka
problem,a	pro,ble,ma
koleno,m	k,olen,om
jirgen,a	j,ir,gena
melcer,a	mel,cera
turnir,a	turn,ira
mec,u	m,ecu
mons,u	m,ons,u
aleks,a	ale,ks,a
bogdanović,a	b,og,dan,ovi,ća
balkanski,h	b,alk,ans,kih
pisac,a	pis,aca
dobitnik,a	dob,it,nika
nobelov,e	n,obel,ove
andrić,a	and,ri,ća
travnik,u	tr,av,niku
čitanje,m	č,itan,jem
travnik,a	tr,avn,ika
film,a	fil,ma
dokument,a	dok,umenta
