jeremić,a	jere,mi,ća
pregovor,i	pregovori
pristup,u	pristupu
korak,e	korake
neki,m	nekim
jun,u	junu
poziv,u	pozivu
saobraćaj,a	saobraćaja
razlog,a	razloga
brisel,u	briselu
postavljen,e	postavljene
cilj,eve	ciljeve
zagreb,a	zagreba
velik,e	velike
premijer,om	premije,rom
ivo,m	i,vom
sanader,om	s,ana,de,rom
uslov,om	uslovom
razgovor,u	razgovoru
ren,om	r,enom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	sporu
samit,a	sa,mita
makedonski,m	makedon,skim
branko,m	bran,kom
crvenkovski,m	cr,ven,kov,skim
gruevski,m	gru,ev,skim
sekretar,om	sekre,ta,rom
nato,-om	nato,-,om
jap,om	ja,pom
hop,om	ho,pom
shefer,om	she,fe,rom
pomenut,i	pomenuti
nepromenjen,i	nepromen,jeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	lide,rima
izaslanik,om	izasl,ani,kom
un,-a	un,-,a
metju,om	met,ju,om
nimic,om	ni,mi,com
vođa,ma	vođ,ama
nimicov,ih	ni,mi,c,ovih
predlog,a	predloga
prevremen,e	pre,vre,mene
izbor,e	izbore
vikend,a	vikenda
makedonski,h	makedon,skih
spor,a	spora
okrilje,m	okri,ljem
obostran,o	obo,strano
prihvatljiv,o	prihvatlji,vo
osumnjičen,ih	osumnji,čenih
sukob,e	sukobe
napad,om	napa,dom
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnji,čene
neidentifikovan,a	ne,identifi,kovana
povezanost,i	povezanosti
teroristički,m	terori,stičkim
akcija,ma	akcijama
sarajevski,m	sara,jev,skim
kvart,ovima	kva,rt,ovima
eksploziv,a	eksplo,ziva
mart,u	martu
hapšenje,m	hap,šenjem
dokaz,a	dokaza
martovski,m	mar,tov,skim
uređaj,e	uređaje
crtež,e	cr,teže
priručnik,e	priru,č,nike
uređaj,a	uređaja
detonator,e	de,to,na,tore
osumnjičen,i	osumnji,čeni
povezan,i	povezani
pokret,om	pokre,tom
navodni,h	navod,nih
mirsad,om	mir,sa,dom
bektašević,em	bek,ta,ševi,ćem
teroristički,h	terorističkih
vatren,og	vatr,enog
jusuf,a	ju,su,fa
barčić,a	bar,čića
ko,ga	koga
katolički,h	katolič,kih
razvoj,u	razvoju
izvoznik,e	izvoz,nike
kilometar,a	kilometara
koman,a	ko,mana
problem,u	problemu
deklarisan,u	dekla,ri,sanu
kosovski,h	kosov,skih
izvoznik,a	izvoz,nika
izvoz,a	izvoza
proizvod,i	proizvodi
skup,lji	skup,lji
direktor,a	direktora
nedeklarisan,a	nede,kla,ri,sana
sumnjiv,a	sumnji,va
potpun,o	potpuno
carinski,h	car,inskih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	reci,proci,teta
reciprocitet,om	reci,proci,tetom
pomoć,i	pomoći
grčki,h	grčkih
brod,ovima	bro,dovima
aktivist,a	aktivi,sta
velik,im	velikim
korak,om	kora,kom
kapetan,a	kapet,ana
brod,ova	brodova
nov,u	novu
osnov,u	osnovu
život,e	živote
putnik,a	putnika
novinar,a	novinara
pritvor,u	pritvor,u
konvoj,a	kon,voja
maj,u	maju
turski,h	turskih
grčki,m	gr,čkim
stran,im	stranim
zastava,ma	za,stav,ama
protest,e	prote,ste
propalestinski,h	pro,pale,st,inskih
izrael,a	izraela
problem,e	probleme
film,ova	filmova
džejms,om	džej,m,som
bond,om	bon,dom
izrael,om	izra,e,lom
odnos,a	odnosa
damask,a	da,ma,ska
norma,ma	normama
bliskoistočni,h	blisko,isto,čnih
mirovni,h	mirov,nih
posrednik,a	posrednika
kanal,a	kanala
uspostavljen,m	uspostav,ljen,m
kopnen,im	kopn,enim
prelaz,ima	prela,zima
kompromis,a	kompromi,sa
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatlji,vi
izrael,u	izra,elu
jul,u	julu
dvostruk,i	dvostru,ki
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijemu
član,ove	članove
kor,a	kora
jak,om	jakom
vest,i	vesti
brisel,a	bri,sela
zelen,o	zeleno
promena,ma	promenama
reformski,h	refor,mskih
članica,ma	članicama
lider,i	lideri
jedinstven,o	jedinstveno
porast,u	porastu
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predstoje,ćim
forum,a	foruma
unesko,-a	une,sko,-,a
pokrovitelj,i	pokrovi,telji
avgust,a	avgusta
grad,u	gradu
ohrid,u	ohri,du
savest,i	save,sti
predsednik,e	predsed,nike
nevladin,ih	nevladin,ih
ekspert,ima	eksper,tima
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skupu
demokratski,h	demokratskih
cilj,eva	ciljeva
pun,og	punog
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	civi,liz,ovanu
održiv,a	održi,va
april,u	aprilu
visok,ih	visokih
zvaničnik,a	zvaničnika
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,blj,enu
profesor,ima	profe,so,rima
studentski,m	studen,tskim
kampus,e	kam,pu,se
protest,a	protesta
osiguran,u	osigu,ranu
bulevar,om	bu,le,va,rom
ratifikovan,og	rati,fikovan,og
univerzitet,ima	univerzitetima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	a,zila
nezabeležen,a	ne,zabeležena
glas,ovima	glas,ovima
konsenzus,u	konsenzu,su
moguć,ih	mogućih
naslednik,a	naslednika
jorgos,a	jor,go,sa
papandreu,a	p,ap,an,dre,ua
istorijski,m	istorijskim
osnažen,a	osna,žena
vođstvo,m	vođ,stvom
skori,jim	sko,rij,im
neuspeh,om	ne,uspehom
mesec,ima	mesecima
nekompetentnost,i	ne,kompeten,tnosti
neefektivnost,i	ne,efektivnosti
širok,om	širokom
obrazovni,h	obrazovnih
akademski,h	akademskih
protest,i	prote,sti
povezan,e	povezane
levičarski,m	levi,čar,skim
stranka,ma	strankama
mlad,ih	mladih
rektor,a	rek,tora
otvoren,i	otvoreni
aristotelov,og	aristo,tel,ovog
univerzitet,a	univerziteta
solun,u	solu,nu
prav,o	pravo
prolongiran,o	pro,longi,rano
univerzitet,i	univerzi,teti
garantor,i	garan,tori
legalitet,a	lega,li,teta
ustavnost,i	ustav,nosti
urban,i	urbani
britanski,h	britan,skih
diplomac,a	diplo,maca
setimes,u	se,ti,me,su
predavački,h	predava,čkih
london,a	londona
univerzitetski,h	univerzite,tskih
sistem,e	sisteme
razborit,a	raz,bori,ta
zdrav,og	zdravog
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,izabrana
glasački,h	glasa,čkih
listić,a	li,stića
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studen,tskih
obavezan,o	obave,zano
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spo,jene
faza,ma	fazama
narkotik,a	narko,tika
balkan,u	balkanu
pokušaj,u	pokušaju
krijumčar,ima	krijum,čarima
dolar,a	dolara
krijumčar,a	krijum,čara
analitičar,i	anali,tičari
naj,nov,ija	najnovi,ja
zdravstven,e	zdravstvene
krijumčar,i	krijum,čari
sporazum,e	sporazu,me
izveštaj,u	izveštaju
put,eve	puteve
podatak,a	podataka
američki,h	američkih
avganistanski,h	av,gani,stan,skih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	alban,skim
vlast,ima	vlastima
heroin,a	hero,ina
prvi,h	prvih
promet,a	prometa
poznat,i	poznati
mediteranski,m	mediteran,skim
promet,om	pro,me,tom
izveštaj,ima	izveštajima
granica,ma	granicama
svoj,u	svoju
ivanov,u	ivan,ovu
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partner,skih
određen,a	određena
napad,a	napada
aktivist,i	aktivi,sti
nevladin,e	nevla,dine
star,u	staru
rad,om	radom
planiran,og	plani,ranog
metar,a	metara
volonter,i	volon,teri
dug,a	duga
starost,i	starosti
koji,m	kojim
aliani,ja	ali,anija
aliani,ju	ali,aniju
grad,a	grada
savet,u	save,tu
unesko,-u	une,sko,-,u
abdulah,u	abdu,la,hu
gul,u	gu,lu
njegov,ih	njegovih
rimski,h	ri,mskih
čvrst,u	čvr,stu
predviđen,om	predviđ,enom
plan,u	planu
otkriven,ih	otkri,venih
komad,i	koma,di
metal,i	met,ali
staklen,i	stakl,eni
artefakt,i	arte,fak,ti
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pota,p,anjem
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	impera,tora
hadrijan,a	had,rijana
lekovit,og	lekovi,tog
izvorski,m	izvor,skim
voda,ma	vodama
lekovit,om	lekovi,tom
stepen,i	stepeni
celzijus,a	cel,zi,jusa
ukrašen,e	ukra,šene
čist,im	či,stim
mermerni,m	mer,mernim
kamen,om	ka,menom
zaštićen,im	zašti,ćenim
trg,ovi	trgov,i
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običa,ji
pripadnik,a	pripadnika
brz,a	brza
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tu,žene
strah,a	straha
maltretiranje,m	mal,tre,ti,ranjem
pošten,a	pošt,ena
rom,a	roma
ljudski,m	ljudskim
žrtva,ma	žrtvama
sektor,u	sektoru
ombudsman,om	om,bud,sman,om
telesni,h	tele,snih
grub,o	grubo
potpun,og	potpunog
ombudsman,a	om,bud,smana
iđet,a	i,đe,ta
memeti,ja	me,me,tija
delevoa,a	dele,vo,aa
kazneni,h	kazn,enih
tok,u	toku
policajac,a	policajaca
navrat,a	navrata
prekid,a	prekida
posmatrač,a	posmatrača
izbeglica,ma	izbeg,licama
tbilisi,ja	t,bili,sija
posmatrač,e	posmatra,če
odmetnut,u	od,met,nu,tu
čas,a	časa
sukob,a	sukoba
šef,ovi	še,f,ovi
uobičajen,e	uobičajene
rus,i	rusi
položaj,e	položaje
odmetnut,oj	od,met,nu,toj
velik,om	velikom
sam,u	samu
sam,e	same
prizor,i	priz,ori
ruski,h	ruskih
tenk,ova	ten,kova
oebs,-a	oebs,-,a
teren,u	terenu
ko,me	kome
moguć,oj	moguć,oj
šef,ova	še,f,ova
avinjon,u	a,vin,jonu
istočnoevropski,h	istočno,evropskih
njen,ih	njenih
implikacija,ma	impli,ka,cijama
savez,a	saveza
plan,a	plana
napad,e	napade
siromaštvo,m	siroma,štvom
grk,a	gr,ka
vest,ima	ve,stima
nivo,a	nivoa
slom,a	slo,ma
kontinent,u	kontinen,tu
uticaj,u	uticaju
rumun,a	rumu,na
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
bazel,a	ba,ze,la
farmaceutski,h	farmaceut,skih
proizvod,a	proizvoda
zemun,u	zemunu
projekt,u	projektu
forum,u	forumu
margina,ma	marg,inama
savet,a	saveta
gas,a	gasa
basen,a	ba,sena
detalj,e	detalje
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrijskim
sektor,ima	sektorima
profit,a	profita
porez,i	pore,zi
odmor,e	od,more
vladin,ih	vladin,ih
vaterpolist,i	va,ter,poli,sti
neporažen,i	nepo,ra,ženi
emanuil,a	emanu,ila
milonakis,a	mil,ona,ki,sa
peking,u	pek,ingu
gol,a	gola
stil,u	stilu
protivnik,a	protivnika
šeref,a	še,re,fa
eroglu,a	e,ro,glu,a
kilogram,a	kilograma
čeh,a	če,ha
marek,a	ma,reka
švec,a	š,ve,ca
ženski,m	žen,skim
eliminacija,ma	eli,mina,cijama
nozadze,a	no,zad,ze,a
vreme,nom	vremenom
tenis,u	teni,su
kong,a	kon,ga
tvrd,oj	tvrdo,j
gol,ova	golova
teg,ova	te,gova
muški,h	muških
mešovit,im	mešovi,tim
stil,om	stilom
takmičar,a	takmičara
rvač,i	r,vači
meč,u	meču
slatkiš,a	sla,tki,ša
mraz,a	m,ra,za
pregled,u	pregledu
sport,a	sporta
njegov,om	njegovom
film,u	filmu
mraz,om	m,raz,om
vilenjak,om	vil,en,jakom
svoj,a	svoja
trg,a	trga
karusel,a	ka,ru,sela
velik,oj	velikoj
trg,u	trgu
klub,a	kluba
albanski,h	albanskih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	or,denom
majstor,a	majstora
fuad,a	fu,a,da
muzurović,a	mu,zu,r,ovića
selektor,a	selek,tora
blaž,a	bla,ža
slišković,a	sli,ško,vića
loš,eg	lošeg
kvalifikacija,ma	kvalifikacijama
savremen,e	savremene
rad,ova	radova
slikar,a	slikara
tematski,h	te,matskih
ciklus,a	ciklusa
pariz,u	parizu
kfor,-a	k,fo,r,-,a
srpski,m	srpskim
demonstrant,ima	demon,stran,tima
etnički,m	et,ničkim
vojnik,e	voj,nike
podeljen,og	pode,ljenog
naseljen,ih	nase,ljenih
sukob,i	sukobi
izveštaj,a	izveštaja
granata,ma	grana,tama
unmik,-a	un,mi,k,-,a
sever,u	severu
kfor,-u	k,fo,r,-,u
snaga,ma	snagama
sud,a	suda
srpski,h	srpskih
demonstrant,i	demon,stran,ti
razgovor,e	razgovore
kompleks,u	kompleksu
nered,a	ne,reda
februar,a	februara
un,-u	un,-,u
kosovski,m	kosov,skim
napet,a	nape,ta
pun,oj	punoj
pripadnik,e	pripadnike
prepad,u	pre,padu
okupljen,e	okup,ljene
povređen,i	povre,đeni
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	polj,skih
izvor,i	izvori
šef,a	šefa
pokušaj,i	pokušaji
nadležnost,i	nadležnosti
slobodan,om	slobod,anom
samardžić,em	sa,mar,dži,ćem
isključiv,u	isključi,vu
napad,u	napadu
red,a	reda
mikalis,a	mi,kali,sa
krisohoides,a	kri,so,ho,ide,sa
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	spratu
slatkiš,ima	sla,tki,šima
uvijen,i	uvi,jeni
ruka,ma	rukama
dim,a	dima
vasilakisov,om	vasi,lak,is,ovom
prijatelj,a	prijatelja
dragocen,og	dragocen,og
incident,i	inciden,ti
grad,ove	gradove
bbc,-u	bbc,-,u
prst,om	pr,stom
lista,ma	li,stama
terorist,a	terori,sta
moguć,eg	mogućeg
militant,ima	mili,tan,tima
grk,e	gr,ke
norlmalnost,i	nor,l,mal,nosti
naš,oj	našoj
sused,ima	su,se,dima
turist,e	turiste
netaknut,om	ne,tak,nu,tom
čist,om	či,stom
srednjovekovni,m	srednjovekov,nim
ilirski,m	i,lir,skim
ruševina,ma	ru,šev,inama
kampanja,ma	kampan,jama
posvećivanje,m	posve,ći,vanjem
prihod,a	prihoda
napor,i	napori
prihod,i	prihodi
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	pozi,ve
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	dostav,ljenu
miroljubiv,om	miro,ljubi,vom
miting,u	mi,tin,gu
đurčanj,a	đur,čanja
veče,ri	večeri
rojters,a	roj,ter,sa
ulica,ma	ulicama
voden,e	vodene
top,ove	topo,ve
demonstrant,e	demon,stran,te
fides,-a	fi,de,s,-,a
njihov,im	njihovim
poziv,ima	pozi,vima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinare
automobil,i	automob,ili
bdp,-a	bdp,-,a
porez,e	pore,ze
planiran,e	planirane
zdravstven,om	zdravstvenom
visok,om	visokom
sud,om	sudom
zločin,e	zločine
nato,-u	nato,-,u
glavni,h	glavnih
prioritet,a	prioriteta
tribunal,om	tribu,na,lom
mksj,-u	m,k,sj,-,u
počinjen,e	počin,jene
devedeseti,h	devedesetih
njegov,i	njegovi
hag,u	ha,gu
visok,a	visoka
general,a	generala
njihov,e	njihove
sukob,u	sukobu
bosanski,h	bosan,skih
rim,u	rimu
zid,a	zida
miloševićev,ih	miloševi,ćevih
sledbenik,a	sledb,enika
konsenzus,om	konsenzu,som
boris,a	bori,sa
tadić,a	ta,dića
vojislav,a	voji,slava
niš,u	nišu
jug,u	jugu
izveštaj,e	izveštaje
tribunal,a	tribu,nala
beograd,a	beograda
mogućnost,i	mogućnosti
dogovor,a	dogovora
srebrn,i	srebr,ni
predmet,i	predmeti
japan,u	japanu
kup,a	kupa
uzastopni,m	uzastop,nim
izložba,ma	izlož,bama
zamenik,a	zamenika
srebrn,ih	srebr,nih
antički,h	an,tičkih
predmet,a	predmeta
predmet,e	predmete
pronađen,e	prona,đene
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,struka
problem,a	problema
koleno,m	kol,enom
jirgen,a	j,ir,gena
melcer,a	mel,ce,ra
turnir,a	turnira
mec,u	me,cu
mons,u	mon,su
aleks,a	aleksa
bogdanović,a	bogdan,ovića
balkanski,h	balkanskih
pisac,a	pisaca
dobitnik,a	dobi,tnika
nobelov,e	nobel,ove
andrić,a	andri,ća
travnik,u	t,rav,niku
čitanje,m	či,tanjem
travnik,a	t,rav,nika
film,a	filma
dokument,a	dokumenta
rukopis,i	ruko,pisi
magazin,i	maga,z,ini
vek,a	veka
mlad,e	mlade
pirot,u	piro,tu
inspirisan,a	inspiri,sana
poslanik,u	poslani,ku
statut,u	statu,tu
radikal,a	radikala
irački,m	i,ra,čkim
novinar,em	novina,rem
džordž,a	džor,dža
buš,a	bu,ša
obrazloženje,m	obrazlož,enjem
režim,u	režimu
medij,i	mediji
cirkus,om	cirku,som
glasnogovornik,a	glas,no,govornika
poslanik,e	poslani,ke
jeftin,i	jeftini
poen,i	po,eni
poslovnik,a	poslov,nika
kraj,u	kraju
rajko,m	raj,kom
kuzmanović,em	kuz,man,ovićem
način,e	načine
cilj,u	cilju
skor,ije	sko,rije
škundrić,em	š,kun,dri,ćem
neki,h	nekih
skor,u	sko,ru
podeljen,im	pode,ljenim
grad,ovima	gradovima
obećanje,m	obeć,anjem
mera,ma	merama
težnja,ma	tež,njama
đorge,m	đ,org,em
ivanov,im	ivan,ovim
odnos,i	odnosi
brazil,om	braz,ilom
iran,a	i,rana
hrabrost,i	hrabrosti
dubok,e	duboke
zabrinutost,i	zabrinu,tosti
stons,i	sto,n,si
mik,u	mi,ku
džeger,u	dže,ger,u
stons,ima	sto,n,sima
mešovit,ih	mešovi,tih
par,ova	parova
vimbldon,u	vim,bl,do,nu
gitarist,om	gi,tari,stom
kit,om	ki,tom
ričards,om	ričar,d,som
sklop,u	sklopu
stons,a	sto,n,sa
obožavalac,a	obož,av,alaca
koncert,u	koncer,tu
sat,a	sata
trabzon,u	tra,b,zonu
luk,om	lu,kom
fudbal,u	fudbalu
vimbldon,a	vim,bl,dona
par,ovima	par,ovima
jonas,a	j,ona,sa
bjorkman,a	b,jor,k,mana
poraz,a	poraza
sliven,a	sli,vena
umetnik,a	umetnika
mok,-a	mo,k,-,a
siti,ju	si,tiju
akropolj,a	a,kro,polja
arhitekt,a	arhitekta
njen,oj	njenoj
mermer,e	mer,mere
partenon,a	par,ten,ona
projektovan,e	projekt,ovane
sanduk,e	sandu,ke
punjen,e	pu,njene
velik,og	velikog
arhitekt,om	arhitek,tom
muzej,a	muzeja
bernar,om	ber,na,rom
čumi,jem	č,umi,jem
ambasador,a	ambasadora
artikal,a	artikala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnosti
antikvitet,a	anti,kvi,teta
metal,a	metala
sanduk,a	sandu,ka
nadzor,om	nadzorom
inženjer,a	inženjera
kostas,a	ko,sta,sa
zambas,a	za,mba,sa
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagrađ,i,vani
bernar,a	ber,na,ra
čumi,ja	ču,mija
njujork,u	njujorku
staklen,a	stakl,ena
stub,ovima	stub,ovima
kvadratni,h	kvadratnih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	anti,kvi,teti
privremen,i	privremeni
velik,a	velika
međusprat,u	međ,us,pra,tu
staklen,om	stakl,enom
njihov,u	njihovu
partenon,u	part,eno,nu
vek,ova	vekova
hram,a	hrama
akropolj,u	a,kro,polju
odnos,u	odnosu
stub,ove	stub,ove
savršenost,i	savrš,enosti
moj,ih	mojih
svojstven,o	svoj,stveno
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muzeju
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	impre,sioni,rani
mermer,a	mer,mera
ime,nom	imenom
elginov,i	el,gin,ovi
skulpturni,h	skulp,tur,nih
mermer,ima	mer,me,rima
friz,a	fri,za
uzeti,h	uze,tih
zabat,a	za,bata
erehtejon,a	e,re,hte,jona
fragment,e	frag,mente
nov,om	novom
liven,im	li,venim
zamena,ma	zamen,ama
kontinuitet,a	kontinuiteta
njen,og	njenog
mandat,a	mandata
organizacija,ma	organizacijama
bugarski,h	bugar,skih
mastriht,u	ma,stri,h,tu
određen,im	određenim
broj,em	brojem
beč,u	beču
ministar,a	ministara
nato,-a	nato,-,a
vankuver,a	van,ku,vera
vladivostok,a	vladi,vo,sto,ka
dokument,ima	dokumentima
obračun,u	obraču,nu
pretnja,ma	pret,njama
sigurnost,i	sigurnosti
materijal,ima	materijalima
format,u	formatu
zločin,a	zločina
prevremen,i	pre,vremen,i
tržišni,h	tržišnih
postignut,og	postignu,tog
održiv,og	održivog
konflikt,a	konflikta
jap,a	ja,pa
hop,a	ho,pa
šefer,a	š,efe,ra
pasi,ja	pa,sija
širok,e	široke
plakat,a	pla,kata
birač,a	birača
kandidat,e	kandi,date
kandidat,i	kandidati
skup,ove	sku,pove
