jeremić,a	jeremi�,�,�,a
paket,u	paket,u
njihov,o	njihovo
k,a	ka
standard,a	standard,a
propis,ima	propisim,a
džemil,a	dže,mil,a
čiček,a	či,čeka
sklad,u	sklad,u
sistem,om	sistemo,m
mesec,a	mesec,a
oblast,i	oblast,i
visok,i	visoki
april,a	april,a
izgled,e	izgled,e
razgovor,a	razgovor,a
hrvatski,m	hrvatski,m
šef,om	šefo,m
gordan,om	gordan,o,m
jandroković,em	jan,dro,kovi,ćem
jun,a	juna
pregovor,e	pregovor,e
jesen,i	jesen,i
međuvreme,nu	međuvremen,u
koji,h	koji,h
zagreb,u	zagreb,u
razgovor,i	razgovor,i
jul,a	jul,a
sve,mu	svem,u
pregovor,i	pregovor,i
pristup,u	pristup,u
korak,e	korak,e
neki,m	nekim
jun,u	jun,u
poziv,u	poziv,u
saobraćaj,a	saobraćaj,a
razlog,a	razlog,a
brisel,u	brisel,u
postavljen,e	postavljen,e
cilj,eve	ciljev,e
zagreb,a	zagreb,a
velik,e	velik,e
premijer,om	premijero,m
ivo,m	iv,o,m
sanader,om	san,ad,er,o,m
uslov,om	uslovo,m
razgovor,u	razgovor,u
ren,om	ren,o,m
kriterijum,a	kriterijum,a
poziv,a	poziva
spor,u	spor,u
samit,a	samit,a
makedonski,m	makedonski,m
branko,m	brank,o,m
crvenkovski,m	crven,ko,vs,kim
gruevski,m	gr,u,ev,ski,m
sekretar,om	sekretar,o,m
nato,-om	nat,o,-o,m
jap,om	ja,pom
hop,om	ho,pom
shefer,om	s,he,fe,ro,m
pomenut,i	pomenuti
nepromenjen,i	nepromenjen,i
domen,u	domen,u
sekretar,a	sekretar,a
lider,ima	liderim,a
izaslanik,om	izaslanik,o,m
un,-a	u,-a
metju,om	met,ju,o,m
nimic,om	ni,mi,com
vođa,ma	vođ,am,a
nimicov,ih	ni,mi,co,vi,h
predlog,a	predlog,a
prevremen,e	prevremen,e
izbor,e	izbor,e
vikend,a	vikend,a
makedonski,h	makedonski,h
spor,a	spor,a
okrilje,m	okrilje,m
obostran,o	obostran,o
prihvatljiv,o	prihvatljivo
osumnjičen,ih	osumnjičeni,h
sukob,e	sukob,e
napad,om	napado,m
unutrašnji,h	unutrašnji,h
osumnjičen,e	osumnjičen,e
neidentifikovan,a	ne,identifikovan,a
povezanost,i	povezanost,i
teroristički,m	teroristički,m
akcija,ma	akcijam,a
sarajevski,m	sarajevsk,im
kvart,ovima	kvart,ovim,a
eksploziv,a	eksploziv,a
mart,u	mart,u
hapšenje,m	hapšenj,em
dokaz,a	dokaza
martovski,m	mart,ovs,kim
uređaj,e	uređaje
crtež,e	crtež,e
priručnik,e	priručnik,e
uređaj,a	uređaj,a
detonator,e	det,ona,to,re
osumnjičen,i	osumnjičeni
povezan,i	povezani
pokret,om	pokreto,m
navodni,h	navodni,h
mirsad,om	mir,sad,o,m
bektašević,em	bek,ta,še,vi,ćem
teroristički,h	teroristički,h
vatren,og	vatreno,g
jusuf,a	ju,su,fa
barčić,a	bar,či,ć,a
ko,ga	kog,a
katolički,h	katolički,h
razvoj,u	razvoj,u
izvoznik,e	izvoznik,e
kilometar,a	kilometar,a
koman,a	kom,an,a
problem,u	problem,u
deklarisan,u	dek,la,ris,an,u
kosovski,h	kosovski,h
izvoznik,a	izvoznik,a
izvoz,a	izvoz,a
proizvod,i	proizvodi
skup,lji	skuplj,i
direktor,a	direktor,a
nedeklarisan,a	ne,dek,la,ris,an,a
sumnjiv,a	sumnjiv,a
potpun,o	potpuno
carinski,h	carinski,h
proizvod,e	proizvod,e
njihov,om	njihovo,m
reciprocitet,a	rec,i,pro,cit,et,a
reciprocitet,om	rec,i,pro,cit,et,o,m
pomoć,i	pomoć,i
grčki,h	grčki,h
brod,ovima	brodovim,a
aktivist,a	aktivist,a
velik,im	veliki,m
korak,om	korako,m
kapetan,a	kapetan,a
brod,ova	brodov,a
nov,u	nov,u
osnov,u	osnov,u
život,e	život,e
putnik,a	putnik,a
novinar,a	novinar,a
pritvor,u	pritvor,u
konvoj,a	kon,vo,ja
maj,u	maj,u
turski,h	turski,h
grčki,m	grčki,m
stran,im	strani,m
zastava,ma	zastav,am,a
protest,e	protest,e
propalestinski,h	propal,es,ti,n,ski,h
izrael,a	izrael,a
problem,e	problem,e
film,ova	filmov,a
džejms,om	džejms,o,m
bond,om	bon,dom
izrael,om	izrael,o,m
odnos,a	odnos,a
damask,a	da,mask,a
norma,ma	normam,a
bliskoistočni,h	blisko,istočni,h
mirovni,h	mirovni,h
posrednik,a	posrednik,a
kanal,a	kanal,a
uspostavljen,m	uspostavljen,m
kopnen,im	kopneni,m
prelaz,ima	prelazim,a
kompromis,a	kompromis,a
korišćenje,m	korišćenje,m
postojeći,h	postojeći,h
prihvatljiv,i	prihvatljivi
izrael,u	izrael,u
jul,u	jul,u
dvostruk,i	dvostruki
proces,u	proces,u
dan,a	dana
naš,e	naše
prijem,u	prijem,u
član,ove	članov,e
kor,a	kora
jak,om	jako,m
vest,i	vest,i
brisel,a	brisel,a
zelen,o	zeleno
promena,ma	promenam,a
reformski,h	reformski,h
članica,ma	članicam,a
lider,i	lider,i
jedinstven,o	jedinstveno
porast,u	porast,u
pregovarački,h	pregovaračk,i,h
poen,a	poen,a
pokušaj,a	pokušaj,a
predstojeći,m	predstojeći,m
forum,a	forum,a
unesko,-a	u,ne,sk,o,-a
pokrovitelj,i	pok,ro,vi,tel,j,i
avgust,a	avgust,a
grad,u	gradu
ohrid,u	ohrid,u
savest,i	savest,i
predsednik,e	predsednik,e
nevladin,ih	nevladini,h
ekspert,ima	ekspert,ima
jednakost,i	jednakost,i
ljudski,h	ljudski,h
radni,h	radni,h
skup,u	skup,u
demokratski,h	demokratski,h
cilj,eva	ciljev,a
pun,og	puno,g
različit,ih	različiti,h
etnički,h	etnički,h
pripadnost,i	pripadnost,i
civilizovan,u	civilizovan,u
održiv,a	održiv,a
april,u	april,u
visok,ih	visoki,h
zvaničnik,a	zvaničnik,a
nivo,u	nivo,u
naš,im	naši,m
oslabljen,u	oslabljen,u
profesor,ima	profesorim,a
studentski,m	studentski,m
kampus,e	kamp,use
protest,a	protest,a
osiguran,u	osiguran,u
bulevar,om	bulevar,o,m
ratifikovan,og	rati,fi,ko,van,o,g
univerzitet,ima	univerzitetim,a
škola,ma	školam,a
stepen,a	stepen,a
sistem,u	sistem,u
visok,og	visoko,g
velik,u	velik,u
status,a	status,a
azil,a	azil,a
nezabeležen,a	nez,a,beležen,a
glas,ovima	glasovim,a
konsenzus,u	konsenzus,u
moguć,ih	mogući,h
naslednik,a	naslednik,a
jorgos,a	jo,r,gos,a
papandreu,a	pap,an,dre,u,a
istorijski,m	istorijski,m
osnažen,a	os,na�,�,en,a
vođstvo,m	vođstvo,m
skori,jim	skorij,im
neuspeh,om	neuspeh,o,m
mesec,ima	mesecim,a
nekompetentnost,i	nekom,pet,en,t,nost,i
neefektivnost,i	ne,efektivnost,i
širok,om	široko,m
obrazovni,h	obrazovni,h
akademski,h	akademski,h
protest,i	protest,i
povezan,e	povezan,e
levičarski,m	lev,i,ča,rs,kim
stranka,ma	strankam,a
mlad,ih	mladi,h
rektor,a	rek,to,ra
otvoren,i	otvoreni
aristotelov,og	aristotel,ovog
univerzitet,a	univerzitet,a
solun,u	solun,u
prav,o	pravo
prolongiran,o	pro,lon,g,i,rano
univerzitet,i	univerzitet,i
garantor,i	garan,to,ri
legalitet,a	lega,li,te,ta
ustavnost,i	ustavnost,i
urban,i	urbani
britanski,h	britanski,h
diplomac,a	diplom,a,ca
setimes,u	se,time,su
predavački,h	predavač,ki,h
london,a	london,a
univerzitetski,h	univerzitetski,h
sistem,e	sistem,e
razborit,a	ra,zbor,it,a
zdrav,og	zdravo,g
razum,a	razum,a
ran,ih	rani,h
osamdeseti,h	osamdeseti,h
novoizabran,a	novo,izabran,a
glasački,h	glasačk,i,h
listić,a	listić,a
povezan,ih	povezani,h
izbor,u	izbor,u
studentski,h	studentski,h
obavezan,o	obaveza,no
vreme,na	vremen,a
udžbenik,a	udžbenik,a
internet,u	internet,u
spojen,e	spojen,e
faza,ma	fazam,a
narkotik,a	narkotik,a
balkan,u	balkan,u
pokušaj,u	pokušaj,u
krijumčar,ima	krij,um,ča,rim,a
dolar,a	dolar,a
krijumčar,a	krij,um,ča,ra
analitičar,i	analitičar,i
naj,nov,ija	najnovij,a
zdravstven,e	zdravstven,e
krijumčar,i	krij,um,ča,ri
sporazum,e	sporazum,e
izveštaj,u	izveštaj,u
put,eve	putev,e
podatak,a	podatak,a
američki,h	američki,h
avganistanski,h	av,ga,nist,an,ski,h
izvor,a	izvor,a
predložen,i	predloženi
januar,a	januar,a
albanski,m	albanski,m
vlast,ima	vlastim,a
heroin,a	heroin,a
prvi,h	prvi,h
promet,a	promet,a
poznat,i	poznati
mediteranski,m	mediteransk,im
promet,om	promet,o,m
izveštaj,ima	izveštajim,a
granica,ma	granicam,a
svoj,u	svoj,u
ivanov,u	ivanov,u
sopstven,u	sopstven,u
tranzit,a	tranzit,a
evropski,m	evropski,m
partnerski,h	partnerski,h
određen,a	određen,a
napad,a	napada
aktivist,i	aktivist,i
nevladin,e	nevladin,e
star,u	star,u
rad,om	rado,m
planiran,og	planirano,g
metar,a	metar,a
volonter,i	volonter,i
dug,a	dug,a
starost,i	starost,i
koji,m	kojim
aliani,ja	ali,an,ij,a
aliani,ju	ali,an,ij,u
grad,a	grad,a
savet,u	savet,u
unesko,-u	u,ne,sk,o,-u
abdulah,u	ab,du,la,h,u
gul,u	gu,lu
njegov,ih	njegovi,h
rimski,h	rimski,h
čvrst,u	čvrst,u
predviđen,om	predviđeno,m
plan,u	plan,u
otkriven,ih	otkriveni,h
komad,i	komad,i
metal,i	metal,i
staklen,i	stakleni
artefakt,i	artefakt,i
period,a	period,a
objekat,a	objekat,a
izvor,ima	izvorim,a
potapanje,m	potapanj,em
turist,a	turist,a
bog,a	boga
vek,u	vek,u
imperator,a	imperator,a
hadrijan,a	ha,dr,ij,an,a
lekovit,og	lekovito,g
izvorski,m	izvor,ski,m
voda,ma	vodam,a
lekovit,om	lekovito,m
stepen,i	stepen,i
celzijus,a	cel,zi,jus,a
ukrašen,e	ukrašen,e
čist,im	čisti,m
mermerni,m	mermer,ni,m
kamen,om	kameno,m
zaštićen,im	zaštićeni,m
trg,ovi	trgov,i
slučaj,evi	slučajev,i
važnost,i	važnost,i
običaj,i	običaj,i
pripadnik,a	pripadnik,a
brz,a	brz,a
različit,i	različiti
javnost,i	javnost,i
slučaj,eva	slučajev,a
tužen,e	tužen,e
strah,a	strah,a
maltretiranje,m	maltretiranj,em
pošten,a	pošten,a
rom,a	roma
ljudski,m	ljudski,m
žrtva,ma	žrtvam,a
sektor,u	sektor,u
ombudsman,om	ombudsman,o,m
telesni,h	telesni,h
grub,o	grubo
potpun,og	potpuno,g
ombudsman,a	ombudsman,a
iđet,a	i,đ,et,a
memeti,ja	me,meti,ja
delevoa,a	del,ev,o,a,a
kazneni,h	kazneni,h
tok,u	tok,u
policajac,a	policajac,a
navrat,a	navrat,a
prekid,a	prekid,a
posmatrač,a	posmatrač,a
izbeglica,ma	izbeglicam,a
tbilisi,ja	t,bil,is,ij,a
posmatrač,e	posmatrač,e
odmetnut,u	odm,etn,ut,u
čas,a	čas,a
sukob,a	sukob,a
šef,ovi	šefov,i
uobičajen,e	uobičajen,e
rus,i	rus,i
položaj,e	položaje
odmetnut,oj	odm,etn,ut,o,j
velik,om	veliko,m
sam,u	sam,u
sam,e	sam,e
prizor,i	prizor,i
ruski,h	ruski,h
tenk,ova	tenkov,a
oebs,-a	oeb,s,-a
teren,u	teren,u
ko,me	kom,e
moguć,oj	mogućo,j
šef,ova	šefov,a
avinjon,u	av,in,jon,u
istočnoevropski,h	istočnoevropski,h
njen,ih	njeni,h
implikacija,ma	implikacij,am,a
savez,a	savez,a
plan,a	plan,a
napad,e	napad,e
siromaštvo,m	siromaštv,o,m
grk,a	grk,a
vest,ima	vestim,a
nivo,a	nivo,a
slom,a	slom,a
kontinent,u	kontinent,u
uticaj,u	uticaj,u
rumun,a	rumun,a
njihov,a	njihov,a
ispitanik,a	ispitanik,a
smer,a	smer,a
bazel,a	baz,el,a
farmaceutski,h	farmaceutski,h
proizvod,a	proizvod,a
zemun,u	zemun,u
projekt,u	projekt,u
forum,u	forum,u
margina,ma	marginam,a
savet,a	savet,a
gas,a	gas,a
basen,a	basen,a
detalj,e	detalj,e
centar,a	centar,a
efikasnost,i	efikasnost,i
zaposlen,e	zaposlen,e
industrijski,m	industrijski,m
sektor,ima	sektorim,a
profit,a	profit,a
porez,i	porez,i
odmor,e	odmor,e
vladin,ih	vladini,h
vaterpolist,i	vaterpol,isti
neporažen,i	ne,poražen,i
emanuil,a	em,an,u,il,a
milonakis,a	milo,naki,sa
peking,u	peking,u
gol,a	gol,a
stil,u	stil,u
protivnik,a	protivnik,a
šeref,a	še,re,fa
eroglu,a	er,o,glu,a
kilogram,a	kilogram,a
čeh,a	če,ha
marek,a	mar,ek,a
švec,a	š,vec,a
ženski,m	ženski,m
eliminacija,ma	eliminacij,am,a
nozadze,a	no,za,d,ze,a
vreme,nom	vremeno,m
tenis,u	tenis,u
kong,a	kong,a
tvrd,oj	tvrdo,j
gol,ova	golov,a
teg,ova	tegov,a
muški,h	muški,h
mešovit,im	mešoviti,m
stil,om	stilo,m
takmičar,a	takmičar,a
rvač,i	r,va,či
meč,u	meč,u
slatkiš,a	slatkiš,a
mraz,a	m,ra,za
pregled,u	pregled,u
sport,a	sport,a
njegov,om	njegovo,m
film,u	film,u
mraz,om	m,ra,zo,m
vilenjak,om	vil,enj,ak,o,m
svoj,a	svoj,a
trg,a	trg,a
karusel,a	ka,rus,el,a
velik,oj	veliko,j
trg,u	trg,u
klub,a	klub,a
albanski,h	albanski,h
ličnost,i	ličnost,i
umetnost,i	umetnost,i
orden,om	orde,no,m
majstor,a	majstor,a
fuad,a	f,u,ad,a
muzurović,a	mu,zu,ro,vi,ć,a
selektor,a	selektor,a
blaž,a	b,laž,a
slišković,a	s,li,š,kovi,ć,a
loš,eg	loše,g
kvalifikacija,ma	kvalifikacijam,a
savremen,e	savremen,e
rad,ova	radov,a
slikar,a	slikar,a
tematski,h	tematski,h
ciklus,a	ciklus,a
pariz,u	pariz,u
kfor,-a	k,fo,r,-a
srpski,m	srpski,m
demonstrant,ima	demonstrant,ima
etnički,m	etnički,m
vojnik,e	vojnik,e
podeljen,og	podeljen,o,g
naseljen,ih	naseljeni,h
sukob,i	sukob,i
izveštaj,a	izveštaj,a
granata,ma	granat,am,a
unmik,-a	u,nm,ik,-a
sever,u	sever,u
kfor,-u	k,fo,r,-u
snaga,ma	snagam,a
sud,a	suda
srpski,h	srpski,h
demonstrant,i	demonstrant,i
razgovor,e	razgovor,e
kompleks,u	kompleks,u
nered,a	nered,a
februar,a	februar,a
un,-u	u,-u
kosovski,m	kosovski,m
napet,a	napet,a
pun,oj	puno,j
pripadnik,e	pripadnik,e
prepad,u	pre,pad,u
okupljen,e	okupljen,e
povređen,i	povređeni
policijski,h	policijski,h
kompleks,a	kompleksa
poljski,h	poljski,h
izvor,i	izvor,i
šef,a	šef,a
pokušaj,i	pokušaj,i
nadležnost,i	nadležnost,i
slobodan,om	slobodan,o,m
samardžić,em	sam,ar,d,ži,ćem
isključiv,u	isključiv,u
napad,u	napad,u
red,a	reda
mikalis,a	mik,ali,sa
krisohoides,a	kri,so,ho,ide,sa
objekt,u	objekt,u
saradnik,a	saradnik,a
sat,i	sat,i
sprat,u	sprat,u
slatkiš,ima	slatkiš,ima
uvijen,i	uvije,ni
ruka,ma	rukam,a
dim,a	dim,a
vasilakisov,om	vas,il,ak,is,ovom
prijatelj,a	prijatelj,a
dragocen,og	dragocen,o,g
incident,i	incident,i
grad,ove	gradov,e
bbc,-u	bb,c,-u
prst,om	prsto,m
lista,ma	listam,a
terorist,a	terorist,a
moguć,eg	moguće,g
militant,ima	mil,it,ant,ima
grk,e	grk,e
norlmalnost,i	no,r,l,mal,nost,i
naš,oj	našo,j
sused,ima	susedim,a
turist,e	turist,e
netaknut,om	netaknut,o,m
čist,om	čisto,m
srednjovekovni,m	srednjovekovni,m
ilirski,m	il,irsk,im
ruševina,ma	ruševinam,a
kampanja,ma	kampanjam,a
posvećivanje,m	posv,e,ćiv,anj,em
prihod,a	prihod,a
napor,i	napor,i
prihod,i	prihod,i
procvat,a	procva,ta
sektor,a	sektor,a
finansijski,h	finansijski,h
poziv,e	poziv,e
njegov,u	njegov,u
parlament,a	parlament,a
red,om	redo,m
pad,a	pad,a
dostavljen,u	dostavljen,u
miroljubiv,om	miro,ljub,i,vo,m
miting,u	miting,u
đurčanj,a	đur,ča,nj,a
veče,ri	večer,i
rojters,a	rojter,sa
ulica,ma	ulicam,a
voden,e	voden,e
top,ove	topov,e
demonstrant,e	demonstrant,e
fides,-a	fi,de,s,-a
njihov,im	njihovi,m
poziv,ima	poziv,ima
izbor,i	izbori
ekonomski,m	ekonomski,m
program,u	program,u
novinar,e	novinar,e
automobil,i	automobil,i
bdp,-a	bd,p,-a
porez,e	porez,e
planiran,e	planiran,e
zdravstven,om	zdravstveno,m
visok,om	visoko,m
sud,om	sudo,m
zločin,e	zločin,e
nato,-u	nat,o,-u
glavni,h	glavni,h
prioritet,a	prioritet,a
tribunal,om	tribunal,o,m
mksj,-u	mk,s,-u
počinjen,e	počinjen,e
devedeseti,h	devedeseti,h
njegov,i	njegovi
hag,u	hag,u
visok,a	visok,a
general,a	general,a
njihov,e	njihov,e
sukob,u	sukob,u
bosanski,h	bosanski,h
rim,u	rim,u
zid,a	zid,a
miloševićev,ih	milošević,ev,i,h
sledbenik,a	sledbenik,a
konsenzus,om	konsenzus,o,m
boris,a	boris,a
tadić,a	tadić,a
vojislav,a	vojislav,a
niš,u	niš,u
jug,u	jug,u
izveštaj,e	izveštaj,e
tribunal,a	tribunal,a
beograd,a	beograd,a
mogućnost,i	mogućnost,i
dogovor,a	dogovor,a
srebrn,i	srebrni
predmet,i	predmet,i
japan,u	japan,u
kup,a	kupa
uzastopni,m	uzastopni,m
izložba,ma	izložbam,a
zamenik,a	zamenik,a
srebrn,ih	srebrni,h
antički,h	antički,h
predmet,a	predmet,a
predmet,e	predmet,e
pronađen,e	pronađen,e
poslednji,h	poslednji,h
svetski,h	svetski,h
šampion,a	šampiona
četvorostruk,a	četvor,ost,ruk,a
problem,a	problem,a
koleno,m	kolen,o,m
jirgen,a	j,i,r,gen,a
melcer,a	me,l,ce,ra
turnir,a	turnir,a
mec,u	me,cu
mons,u	mon,su
aleks,a	aleks,a
bogdanović,a	bogdanovi�,�,�,a
balkanski,h	balkanski,h
pisac,a	pisac,a
dobitnik,a	dobitnik,a
nobelov,e	nobelov,e
andrić,a	andrić,a
travnik,u	trav,nik,u
čitanje,m	čitanje,m
travnik,a	trav,nika
film,a	film,a
dokument,a	dokument,a
rukopis,i	rukopis,i
magazin,i	magazin,i
vek,a	vek,a
mlad,e	mlad,e
pirot,u	pirot,u
inspirisan,a	inspirisan,a
poslanik,u	poslanik,u
statut,u	statut,u
radikal,a	radikal,a
irački,m	i,ra,č,kim
novinar,em	novinar,em
džordž,a	džordž,a
buš,a	bu,ša
obrazloženje,m	obrazloženje,m
režim,u	režim,u
medij,i	medij,i
cirkus,om	cirku,som
glasnogovornik,a	glasn,o,govornik,a
poslanik,e	poslanik,e
jeftin,i	jeftini
poen,i	poen,i
poslovnik,a	poslovni,ka
kraj,u	kraj,u
rajko,m	rajk,o,m
kuzmanović,em	ku,zma,novi,ćem
način,e	način,e
cilj,u	cilj,u
skor,ije	skorij,e
škundrić,em	š,kun,dr,ić,em
neki,h	neki,h
skor,u	skor,u
podeljen,im	podeljeni,m
grad,ovima	gradovim,a
obećanje,m	obećanj,em
mera,ma	meram,a
težnja,ma	težnj,am,a
đorge,m	�,�,�,or,gem
ivanov,im	ivanov,im
odnos,i	odnosi
brazil,om	brazil,o,m
iran,a	iran,a
hrabrost,i	hrabrost,i
dubok,e	dubok,e
zabrinutost,i	zabrinutost,i
stons,i	ston,si
mik,u	mik,u
džeger,u	dže,ge,ru
stons,ima	ston,si,ma
mešovit,ih	mešoviti,h
par,ova	parov,a
vimbldon,u	vimbldon,u
gitarist,om	gitarist,o,m
kit,om	kit,o,m
ričards,om	ričard,som
sklop,u	sklop,u
stons,a	ston,sa
obožavalac,a	obo,ža,val,a,ca
koncert,u	koncert,u
sat,a	sat,a
trabzon,u	tra,b,zon,u
luk,om	luko,m
fudbal,u	fudbal,u
vimbldon,a	vimbldon,a
par,ovima	parovim,a
jonas,a	jon,as,a
bjorkman,a	b,jo,r,k,man,a
poraz,a	poraz,a
sliven,a	s,liv,en,a
umetnik,a	umetnik,a
mok,-a	mo,k,-a
siti,ju	sitij,u
akropolj,a	ak,ro,polj,a
arhitekt,a	arhitekt,a
njen,oj	njeno,j
mermer,e	mermer,e
partenon,a	part,en,ona
projektovan,e	projektovan,e
sanduk,e	sanduk,e
punjen,e	pun,jen,e
velik,og	veliko,g
arhitekt,om	arhitekt,o,m
muzej,a	muzej,a
bernar,om	bernar,o,m
čumi,jem	č,um,ije,m
ambasador,a	ambasador,a
artikal,a	artikal,a
vremenski,h	vremenski,h
uslov,a	uslov,a
uslov,ima	uslovim,a
vlažnost,i	vlažnost,i
antikvitet,a	antik,vi,te,ta
metal,a	metal,a
sanduk,a	sanduk,a
nadzor,om	nadzoro,m
inženjer,a	inženjer,a
kostas,a	kost,as,a
zambas,a	za,m,bas,a
