jeremić,a	jere,mića
korak,e	korake
neki,m	nekim
jun,u	junu
poziv,u	pozivu
saobraćaj,a	saobraćaja
razlog,a	razloga
brisel,u	briselu
postavljen,e	postavljene
cilj,eve	ciljeve
zagreb,a	zagreba
velik,e	velike
premijer,om	premijerom
ivo,m	i,vom
sanader,om	sana,derom
uslov,om	uslovom
razgovor,u	razgovoru
ren,om	re,nom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	sporu
samit,a	sami,ta
makedonski,m	makedo,nskim
branko,m	bran,kom
crvenkovski,m	cr,ven,kov,skim
gruevski,m	gru,ev,skim
sekretar,om	sekreta,rom
nato,-om	nato,-,om
jap,om	ja,pom
hop,om	ho,pom
shefer,om	she,ferom
pomenut,i	pomenuti
nepromenjen,i	neprome,njeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	liderima
izaslanik,om	izasla,nikom
un,-a	un,-,a
metju,om	met,ju,om
nimic,om	ni,mi,com
vođa,ma	vođa,ma
nimicov,ih	ni,mi,co,vih
predlog,a	predloga
prevremen,e	pre,vremene
izbor,e	izbore
vikend,a	vikenda
makedonski,h	makedo,nskih
spor,a	spora
okrilje,m	okriljem
obostran,o	obostrano
prihvatljiv,o	prihvatljivo
osumnjičen,ih	osumnji,čenih
sukob,e	sukobe
napad,om	napadom
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnji,čene
neidentifikovan,a	nei,denti,fikovana
povezanost,i	povezanosti
teroristički,m	teroristi,čkim
akcija,ma	akcijama
sarajevski,m	saraje,vskim
kvart,ovima	kvar,tovima
eksploziv,a	eksplo,ziva
mart,u	martu
hapšenje,m	hap,šenjem
dokaz,a	dokaza
martovski,m	mar,tov,skim
uređaj,e	uređaje
crtež,e	crteže
priručnik,e	priruč,nike
uređaj,a	uređaja
detonator,e	de,tona,tore
osumnjičen,i	osumnjičeni
povezan,i	povezani
pokret,om	pokretom
navodni,h	navod,nih
mirsad,om	mirsa,dom
bektašević,em	bek,ta,ševi,ćem
teroristički,h	terorističkih
vatren,og	vatrenog
jusuf,a	ju,su,fa
barčić,a	bar,čića
ko,ga	koga
katolički,h	katoli,čkih
razvoj,u	razvoju
izvoznik,e	izvoz,nike
kilometar,a	kilometara
koman,a	ko,mana
problem,u	problemu
deklarisan,u	dekla,risa,nu
kosovski,h	kosov,skih
izvoznik,a	izvoz,nika
izvoz,a	izvoza
proizvod,i	proizvodi
skup,lji	skuplji
direktor,a	direktora
nedeklarisan,a	nede,kla,risana
sumnjiv,a	sumnji,va
potpun,o	potpuno
carinski,h	cari,nskih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	recipro,ci,teta
reciprocitet,om	recipro,ci,tetom
pomoć,i	pomoći
grčki,h	grčkih
brod,ovima	brodovima
aktivist,a	aktivista
velik,im	velikim
korak,om	korakom
kapetan,a	kapetana
brod,ova	brodova
nov,u	novu
osnov,u	osnovu
život,e	živote
putnik,a	putnika
novinar,a	novinara
pritvor,u	pritvoru
konvoj,a	kon,voja
maj,u	maju
turski,h	turskih
grčki,m	gr,čkim
stran,im	stranim
zastava,ma	zastava,ma
protest,e	prote,ste
propalestinski,h	propa,le,sti,nskih
izrael,a	izraela
problem,e	probleme
film,ova	filmova
džejms,om	džej,m,som
bond,om	bon,dom
izrael,om	izra,elom
odnos,a	odnosa
damask,a	dama,ska
norma,ma	normama
bliskoistočni,h	blisko,isto,čnih
mirovni,h	miro,vnih
posrednik,a	posrednika
kanal,a	kanala
uspostavljen,m	uspostavljen,m
kopnen,im	kopne,nim
prelaz,ima	prelazi,ma
kompromis,a	kompromisa
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatljivi
izrael,u	izraelu
jul,u	julu
dvostruk,i	dvostruki
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijemu
član,ove	članove
kor,a	kora
jak,om	jakom
vest,i	vesti
brisel,a	brise,la
zelen,o	zeleno
promena,ma	promenama
reformski,h	refor,mskih
članica,ma	članicama
lider,i	lideri
jedinstven,o	jedinstveno
porast,u	porastu
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predstoje,ćim
forum,a	foruma
unesko,-a	u,ne,sko,-,a
pokrovitelj,i	pokro,vi,telji
avgust,a	avgusta
grad,u	gradu
ohrid,u	oh,ri,du
savest,i	savesti
predsednik,e	predsed,nike
nevladin,ih	nevladinih
ekspert,ima	eksperti,ma
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skupu
demokratski,h	demokratskih
cilj,eva	ciljeva
pun,og	punog
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	civili,zovanu
održiv,a	održiva
april,u	aprilu
visok,ih	visokih
zvaničnik,a	zvaničnika
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,blje,nu
profesor,ima	profesorima
studentski,m	student,skim
kampus,e	kampu,se
protest,a	protesta
osiguran,u	osigura,nu
bulevar,om	bu,leva,rom
ratifikovan,og	rati,fikova,nog
univerzitet,ima	univerzitetima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	azila
nezabeležen,a	neza,bele,žena
glas,ovima	glasovima
konsenzus,u	konsenzu,su
moguć,ih	mogućih
naslednik,a	naslednika
jorgos,a	jor,go,sa
papandreu,a	papa,ndre,ua
istorijski,m	istorijskim
osnažen,a	osna,žena
vođstvo,m	vođstvom
skori,jim	sko,riji,m
neuspeh,om	neuspe,hom
mesec,ima	mesecima
nekompetentnost,i	nekom,pe,tent,nosti
neefektivnost,i	ne,e,fek,tivnosti
širok,om	širokom
obrazovni,h	obrazovnih
akademski,h	akademskih
protest,i	protesti
povezan,e	povezane
levičarski,m	levi,čar,skim
stranka,ma	strankama
mlad,ih	mladih
rektor,a	re,ktora
otvoren,i	otvoreni
aristotelov,og	aristo,telo,vog
univerzitet,a	univerziteta
solun,u	solu,nu
prav,o	pravo
prolongiran,o	pro,lon,gi,rano
univerzitet,i	univerzi,teti
garantor,i	garan,tori
legalitet,a	lega,liteta
ustavnost,i	ustavnosti
urban,i	urbani
britanski,h	britanskih
diplomac,a	diploma,ca
setimes,u	se,time,su
predavački,h	preda,vačkih
london,a	londona
univerzitetski,h	univerzitet,skih
sistem,e	sisteme
razborit,a	razbo,rita
zdrav,og	zdravog
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,iza,brana
glasački,h	glasačkih
listić,a	listića
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studentskih
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spoj,ene
faza,ma	fazama
narkotik,a	narko,tika
balkan,u	balkanu
pokušaj,u	pokušaju
krijumčar,ima	krijum,čarima
dolar,a	dolara
krijumčar,a	krijum,čara
analitičar,i	analitičari
naj,nov,ija	najnovija
zdravstven,e	zdravstvene
krijumčar,i	krijum,čari
sporazum,e	sporazume
izveštaj,u	izveštaju
put,eve	puteve
podatak,a	podataka
američki,h	američkih
avganistanski,h	av,ganista,nskih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	alba,nskim
vlast,ima	vlastima
heroin,a	hero,ina
prvi,h	prvih
promet,a	prometa
poznat,i	poznati
mediteranski,m	mediteran,skim
promet,om	prometom
izveštaj,ima	izveštajima
granica,ma	granicama
svoj,u	svoju
ivanov,u	i,vano,vu
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partnerskih
određen,a	određena
napad,a	napada
aktivist,i	aktivisti
nevladin,e	nevladine
star,u	staru
rad,om	radom
planiran,og	planiranog
metar,a	metara
volonter,i	volonteri
dug,a	duga
starost,i	starosti
koji,m	kojim
aliani,ja	ali,a,nija
aliani,ju	ali,a,niju
grad,a	grada
savet,u	savetu
unesko,-u	u,ne,sko,-,u
abdulah,u	ab,dula,hu
gul,u	gu,lu
njegov,ih	njegovih
rimski,h	rimskih
čvrst,u	čvrstu
predviđen,om	predviđenom
plan,u	planu
otkriven,ih	otkri,venih
komad,i	komadi
metal,i	metali
staklen,i	stakle,ni
artefakt,i	artefa,kti
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pota,panjem
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	impera,tora
hadrijan,a	had,rijana
lekovit,og	lekovi,tog
izvorski,m	izvor,skim
voda,ma	vodama
lekovit,om	lekovi,tom
stepen,i	stepeni
celzijus,a	celzijusa
ukrašen,e	ukra,šene
čist,im	čistim
mermerni,m	mer,mer,nim
kamen,om	kamenom
zaštićen,im	zaštićenim
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običaji
pripadnik,a	pripadnika
brz,a	brza
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tu,žene
strah,a	straha
maltretiranje,m	maltre,tiranjem
pošten,a	po,štena
rom,a	roma
ljudski,m	ljudskim
žrtva,ma	žrtvama
sektor,u	sektoru
ombudsman,om	ombuds,manom
telesni,h	tele,snih
grub,o	grubo
potpun,og	potpunog
ombudsman,a	ombuds,mana
iđet,a	i,đe,ta
memeti,ja	me,me,tija
delevoa,a	dele,vo,aa
kazneni,h	kaznenih
tok,u	toku
policajac,a	policajaca
navrat,a	navrata
prekid,a	prekida
posmatrač,a	posmatrača
izbeglica,ma	izbegli,cama
tbilisi,ja	t,bili,sija
posmatrač,e	posmatra,če
odmetnut,u	odmet,nu,tu
čas,a	časa
sukob,a	sukoba
šef,ovi	še,fovi
uobičajen,e	uobičajene
rus,i	rusi
položaj,e	položaje
odmetnut,oj	odmet,nu,toj
velik,om	velikom
sam,u	samu
sam,e	same
prizor,i	pri,zori
ruski,h	ruskih
tenk,ova	tenkova
oebs,-a	oebs,-,a
teren,u	terenu
ko,me	kome
moguć,oj	mogućoj
šef,ova	še,fova
avinjon,u	avi,njo,nu
istočnoevropski,h	istočno,evro,pskih
njen,ih	njenih
implikacija,ma	im,plika,cijama
savez,a	saveza
plan,a	plana
napad,e	napade
siromaštvo,m	siroma,štvom
grk,a	grka
vest,ima	vestima
nivo,a	nivoa
slom,a	slo,ma
kontinent,u	kontinentu
uticaj,u	uticaju
rumun,a	ru,muna
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
bazel,a	ba,zela
farmaceutski,h	farmaceut,skih
proizvod,a	proizvoda
zemun,u	zemu,nu
projekt,u	projektu
forum,u	forumu
margina,ma	margi,nama
savet,a	saveta
gas,a	gasa
basen,a	ba,sena
detalj,e	detalje
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrijskim
sektor,ima	sektorima
profit,a	profita
porez,i	porezi
odmor,e	od,more
vladin,ih	vladinih
vaterpolist,i	vater,po,listi
neporažen,i	nepo,ra,ženi
emanuil,a	ema,nui,la
milonakis,a	milo,na,ki,sa
peking,u	pekingu
gol,a	gola
stil,u	stilu
protivnik,a	protivnika
šeref,a	še,re,fa
eroglu,a	e,ro,glu,a
kilogram,a	kilograma
čeh,a	če,ha
marek,a	mare,ka
švec,a	šve,ca
ženski,m	ženskim
eliminacija,ma	elimina,cijama
nozadze,a	no,zad,ze,a
vreme,nom	vremenom
tenis,u	teni,su
kong,a	kon,ga
tvrd,oj	tvrdo,j
gol,ova	golova
teg,ova	te,gova
muški,h	muških
mešovit,im	mešo,vitim
stil,om	stilom
takmičar,a	takmičara
rvač,i	rva,či
meč,u	meču
slatkiš,a	slatki,ša
mraz,a	mra,za
pregled,u	pregledu
sport,a	sporta
njegov,om	njegovom
film,u	filmu
mraz,om	mra,zom
vilenjak,om	vile,nja,kom
svoj,a	svoja
trg,a	trga
karusel,a	ka,ru,sela
velik,oj	velikoj
trg,u	trgu
klub,a	kluba
albanski,h	alba,nskih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	or,denom
majstor,a	majstora
fuad,a	fu,ada
muzurović,a	mu,zu,rovića
selektor,a	selek,tora
blaž,a	bla,ža
slišković,a	sli,škovića
loš,eg	lošeg
kvalifikacija,ma	kvalifikacijama
savremen,e	savremene
rad,ova	radova
slikar,a	slikara
tematski,h	tematskih
ciklus,a	ciklusa
pariz,u	parizu
kfor,-a	k,for,-,a
srpski,m	srpskim
demonstrant,ima	demonstra,ntima
etnički,m	etni,čkim
vojnik,e	vojnike
podeljen,og	podelje,nog
naseljen,ih	naseljenih
sukob,i	sukobi
izveštaj,a	izveštaja
granata,ma	granata,ma
unmik,-a	un,mi,k,-,a
sever,u	severu
kfor,-u	k,for,-,u
snaga,ma	snagama
sud,a	suda
srpski,h	srpskih
demonstrant,i	demonstra,nti
razgovor,e	razgovore
kompleks,u	kompleksu
nered,a	nereda
februar,a	februara
un,-u	un,-,u
kosovski,m	kosov,skim
napet,a	nape,ta
pun,oj	punoj
pripadnik,e	pripadnike
prepad,u	pre,padu
okupljen,e	okupljene
povređen,i	pov,ređeni
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	polj,skih
izvor,i	izvori
šef,a	šefa
pokušaj,i	pokušaji
nadležnost,i	nadležnosti
slobodan,om	sloboda,nom
samardžić,em	samar,dži,ćem
isključiv,u	isključi,vu
napad,u	napadu
red,a	reda
mikalis,a	mika,lisa
krisohoides,a	kri,so,ho,ide,sa
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	spratu
slatkiš,ima	slatki,šima
uvijen,i	uvije,ni
ruka,ma	rukama
dim,a	dima
vasilakisov,om	va,sila,ki,sovom
prijatelj,a	prijatelja
dragocen,og	dragoce,nog
incident,i	inci,denti
grad,ove	gradove
bbc,-u	bbc,-,u
prst,om	prstom
lista,ma	listama
terorist,a	terorista
moguć,eg	mogućeg
militant,ima	milita,ntima
grk,e	gr,ke
norlmalnost,i	nor,l,ma,lnosti
naš,oj	našoj
sused,ima	suse,dima
turist,e	turiste
netaknut,om	netak,nu,tom
čist,om	čistom
srednjovekovni,m	srednjoveko,vnim
ilirski,m	ili,rskim
ruševina,ma	ru,ševi,nama
kampanja,ma	kampa,njama
posvećivanje,m	posve,ći,vanjem
prihod,a	prihoda
napor,i	napori
prihod,i	prihodi
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	pozive
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	dostavlje,nu
miroljubiv,om	miro,ljubi,vom
miting,u	mi,tin,gu
đurčanj,a	đur,čanja
veče,ri	večeri
rojters,a	roj,ter,sa
ulica,ma	ulicama
voden,e	vodene
top,ove	to,pove
demonstrant,e	demon,stran,te
fides,-a	fi,de,s,-,a
njihov,im	njihovim
poziv,ima	pozi,vima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinare
automobil,i	automobili
bdp,-a	bdp,-,a
porez,e	poreze
planiran,e	planirane
zdravstven,om	zdravstvenom
visok,om	visokom
sud,om	sudom
zločin,e	zločine
nato,-u	nato,-,u
glavni,h	glavnih
prioritet,a	prioriteta
tribunal,om	tribuna,lom
mksj,-u	m,ks,j,-,u
počinjen,e	počinje,ne
devedeseti,h	devedesetih
njegov,i	njegovi
hag,u	hagu
visok,a	visoka
general,a	generala
njihov,e	njihove
sukob,u	sukobu
bosanski,h	bosanskih
rim,u	rimu
zid,a	zida
miloševićev,ih	miloševi,ćevih
sledbenik,a	sledbe,nika
konsenzus,om	konsenzu,som
boris,a	borisa
tadić,a	ta,dića
vojislav,a	vojislava
niš,u	nišu
jug,u	jugu
izveštaj,e	izveštaje
tribunal,a	tribuna,la
beograd,a	beograda
mogućnost,i	mogućnosti
dogovor,a	dogovora
srebrn,i	sreb,rni
predmet,i	predmeti
japan,u	japanu
kup,a	kupa
uzastopni,m	uzasto,pnim
izložba,ma	izložbama
zamenik,a	zamenika
srebrn,ih	srebr,nih
antički,h	anti,čkih
predmet,a	predmeta
predmet,e	predmete
pronađen,e	pronađene
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,stru,ka
problem,a	problema
koleno,m	kole,nom
jirgen,a	j,ir,gena
melcer,a	mel,cera
turnir,a	turnira
mec,u	me,cu
mons,u	mon,su
aleks,a	aleksa
bogdanović,a	bogda,novića
balkanski,h	balkanskih
pisac,a	pisaca
dobitnik,a	dobitnika
nobelov,e	nobe,love
andrić,a	and,rića
travnik,u	tra,vniku
čitanje,m	čitanjem
travnik,a	tra,vnika
film,a	filma
dokument,a	dokumenta
rukopis,i	ruko,pisi
magazin,i	maga,zini
vek,a	veka
mlad,e	mlade
pirot,u	piro,tu
inspirisan,a	inspi,risana
poslanik,u	posla,niku
statut,u	statu,tu
radikal,a	radikala
irački,m	ira,čkim
novinar,em	novina,rem
džordž,a	džordža
buš,a	bu,ša
obrazloženje,m	obrazloženjem
režim,u	režimu
medij,i	mediji
cirkus,om	cirku,som
glasnogovornik,a	glasno,govornika
poslanik,e	posla,nike
jeftin,i	jefti,ni
poen,i	po,eni
poslovnik,a	poslo,vnika
kraj,u	kraju
rajko,m	raj,kom
kuzmanović,em	kuzma,novićem
način,e	načine
cilj,u	cilju
skor,ije	sko,rije
škundrić,em	š,ku,ndri,ćem
neki,h	nekih
skor,u	sko,ru
podeljen,im	podelje,nim
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	težnja,ma
đorge,m	đor,ge,m
ivanov,im	i,vano,vim
odnos,i	odnosi
brazil,om	brazi,lom
iran,a	irana
hrabrost,i	hrabrosti
dubok,e	duboke
zabrinutost,i	zabrinutosti
stons,i	sto,nsi
mik,u	mi,ku
džeger,u	dže,geru
stons,ima	sto,n,sima
mešovit,ih	mešo,vitih
par,ova	parova
vimbldon,u	vi,mb,ldo,nu
gitarist,om	gitari,stom
kit,om	ki,tom
ričards,om	ričard,som
sklop,u	sklopu
stons,a	sto,nsa
obožavalac,a	obo,žavala,ca
koncert,u	koncertu
sat,a	sata
trabzon,u	tra,b,zonu
luk,om	lukom
fudbal,u	fudbalu
vimbldon,a	vi,mb,l,dona
par,ovima	parovima
jonas,a	jona,sa
bjorkman,a	bj,ork,mana
poraz,a	poraza
sliven,a	sli,vena
umetnik,a	umetnika
mok,-a	mo,k,-,a
siti,ju	si,tiju
akropolj,a	a,kro,polja
arhitekt,a	arhitekta
njen,oj	njenoj
mermer,e	mer,mere
partenon,a	par,teno,na
projektovan,e	projek,tovane
sanduk,e	sandu,ke
punjen,e	pu,njene
velik,og	velikog
arhitekt,om	arhitek,tom
muzej,a	muzeja
bernar,om	berna,rom
čumi,jem	ču,mijem
ambasador,a	ambasadora
artikal,a	artikala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnosti
antikvitet,a	anti,kvi,teta
metal,a	metala
sanduk,a	san,duka
nadzor,om	nadzorom
inženjer,a	inženjera
kostas,a	kosta,sa
zambas,a	za,mba,sa
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagrađi,vani
bernar,a	ber,nara
čumi,ja	ču,mija
njujork,u	njujorku
staklen,a	stakle,na
stub,ovima	stu,bovima
kvadratni,h	kvadratnih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	anti,kvi,teti
privremen,i	privremeni
velik,a	velika
međusprat,u	među,spra,tu
staklen,om	stakle,nom
njihov,u	njihovu
partenon,u	par,teno,nu
vek,ova	vekova
hram,a	hrama
akropolj,u	a,kro,polju
odnos,u	odnosu
stub,ove	stu,bove
savršenost,i	savrše,nosti
moj,ih	mojih
svojstven,o	svoj,stveno
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muzeju
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	impresio,nirani
mermer,a	mer,mera
ime,nom	imenom
elginov,i	el,gi,novi
skulpturni,h	skulp,tu,rnih
mermer,ima	mer,meri,ma
friz,a	fri,za
uzeti,h	uze,tih
zabat,a	zaba,ta
erehtejon,a	e,re,hte,j,ona
fragment,e	frag,mente
nov,om	novom
liven,im	li,venim
zamena,ma	zamena,ma
kontinuitet,a	kontinuiteta
njen,og	njenog
mandat,a	mandata
organizacija,ma	organizacijama
bugarski,h	bugar,skih
mastriht,u	ma,stri,h,tu
određen,im	određenim
broj,em	brojem
beč,u	beču
ministar,a	ministara
nato,-a	nato,-,a
vankuver,a	van,ku,vera
vladivostok,a	vladi,vo,sto,ka
dokument,ima	dokumentima
obračun,u	obračunu
pretnja,ma	pret,njama
sigurnost,i	sigurnosti
materijal,ima	materijalima
format,u	formatu
zločin,a	zločina
prevremen,i	pre,vremeni
tržišni,h	tržišnih
postignut,og	postignu,tog
održiv,og	održivog
konflikt,a	konflikta
jap,a	japa
hop,a	ho,pa
šefer,a	še,fera
pasi,ja	pa,sija
širok,e	široke
plakat,a	plakata
birač,a	birača
kandidat,e	kandidate
kandidat,i	kandidati
skup,ove	skupove
plav,o	plavo
crven,e	crvene
pobednik,u	pobe,dniku
širok,a	široka
pokazatelj,a	pokazatelja
žestok,a	žesto,ka
bilbord,e	bil,bor,de
podeljen,e	podelje,ne
crven,o	crveno
plav,oj	pla,voj
crven,oj	crvenoj
formulisan,a	formulisa,na
hdz,-u	hdz,-,u
pomoćnik,a	pomoćnika
sanader,a	sanadera
jurčić,u	jur,čiću
donator,a	donatora
izborni,h	izbornih
poslanički,h	posla,ničkih
azil,u	azi,lu
sudan,a	su,dana
veroispovest,i	veroispo,vesti
privatnost,i	privatnosti
