jeremić,a	jer,emi,ća
međuvreme,nu	međuvremenu
koji,h	kojih
zagreb,u	zagreb,u
razgovor,i	razgovor,i
jul,a	jula
sve,mu	svemu
pregovor,i	pregovori
pristup,u	pristupu
korak,e	korak,e
neki,m	nekim
jun,u	jun,u
poziv,u	poziv,u
saobraćaj,a	saobraćaja
razlog,a	razloga
brisel,u	brisel,u
postavljen,e	postavljene
cilj,eve	ciljeve
zagreb,a	zagreb,a
velik,e	velike
premijer,om	premijer,om
ivo,m	i,vom
sanader,om	san,ade,rom
uslov,om	uslovom
razgovor,u	razgovoru
ren,om	r,enom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	sporu
samit,a	sami,ta
makedonski,m	makedonsk,im
branko,m	branko,m
crvenkovski,m	crven,kov,skim
gruevski,m	gru,ev,skim
sekretar,om	sekretar,om
nato,-om	nato,-,om
jap,om	ja,pom
hop,om	ho,pom
shefer,om	s,he,fer,om
pomenut,i	pomenuti
nepromenjen,i	nepr,omen,jeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	lider,ima
izaslanik,om	iza,slanik,om
un,-a	un,-,a
metju,om	met,ju,om
nimic,om	n,imi,com
vođa,ma	vođa,ma
nimicov,ih	n,imi,cov,ih
predlog,a	predloga
prevremen,e	prev,remen,e
izbor,e	izbore
vikend,a	vikend,a
makedonski,h	makedonsk,ih
spor,a	spora
okrilje,m	okri,ljem
obostran,o	obo,strano
prihvatljiv,o	prihvatljivo
osumnjičen,ih	osumnjičen,ih
sukob,e	sukob,e
napad,om	napad,om
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnjičen,e
neidentifikovan,a	ne,identifikovan,a
povezanost,i	povezanosti
teroristički,m	terorističk,im
akcija,ma	akcijama
sarajevski,m	sarajev,skim
kvart,ovima	kvar,tovima
eksploziv,a	eksplo,ziva
mart,u	mart,u
hapšenje,m	hapšenj,em
dokaz,a	dokaza
martovski,m	mart,ovski,m
uređaj,e	uređaj,e
crtež,e	crt,eže
priručnik,e	prir,učnik,e
uređaj,a	uređaja
detonator,e	det,ona,tore
osumnjičen,i	osumnjičen,i
povezan,i	povezani
pokret,om	pokret,om
navodni,h	navod,nih
mirsad,om	mir,sad,om
bektašević,em	b,ekta,šević,em
teroristički,h	terorističk,ih
vatren,og	vatr,enog
jusuf,a	j,usu,fa
barčić,a	bar,čića
ko,ga	koga
katolički,h	katoličk,ih
razvoj,u	razvoju
izvoznik,e	izvoz,nike
kilometar,a	kilometara
koman,a	kom,ana
problem,u	problem,u
deklarisan,u	dek,lari,san,u
kosovski,h	kosovsk,ih
izvoznik,a	izvoz,nika
izvoz,a	izvoz,a
proizvod,i	proizvodi
skup,lji	skuplj,i
direktor,a	direktora
nedeklarisan,a	nede,klar,isana
sumnjiv,a	sumnjiv,a
potpun,o	potpuno
carinski,h	carinsk,ih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	reci,proc,iteta
reciprocitet,om	reci,proc,itet,om
pomoć,i	pomoći
grčki,h	grčk,ih
brod,ovima	brodo,vima
aktivist,a	aktivi,sta
velik,im	velikim
korak,om	korak,om
kapetan,a	kap,etan,a
brod,ova	brodo,va
nov,u	novu
osnov,u	osnovu
život,e	život,e
putnik,a	putnika
novinar,a	novinara
pritvor,u	prit,voru
konvoj,a	konv,oja
maj,u	maju
turski,h	turski,h
grčki,m	grčk,im
stran,im	stranim
zastava,ma	zasta,vama
protest,e	protest,e
propalestinski,h	propa,lesti,nskih
izrael,a	i,zra,ela
problem,e	probleme
film,ova	filmova
džejms,om	džej,ms,om
bond,om	bo,ndo,m
izrael,om	i,zra,elom
odnos,a	odnosa
damask,a	da,mask,a
norma,ma	norma,ma
bliskoistočni,h	blisko,istočn,ih
mirovni,h	mirov,nih
posrednik,a	posredni,ka
kanal,a	kanala
uspostavljen,m	uspostavljen,m
kopnen,im	kop,nen,im
prelaz,ima	prelazi,ma
kompromis,a	kompromis,a
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatljiv,i
izrael,u	i,zra,elu
jul,u	jul,u
dvostruk,i	dvostruk,i
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijem,u
član,ove	članove
kor,a	kora
jak,om	jako,m
vest,i	vesti
brisel,a	brisel,a
zelen,o	zelen,o
promena,ma	promenama
reformski,h	reform,skih
članica,ma	članica,ma
lider,i	lider,i
jedinstven,o	jedinstveno
porast,u	porast,u
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predst,ojeć,im
forum,a	forum,a
unesko,-a	un,e,s,k,o,-,a
pokrovitelj,i	pokr,ovite,lji
avgust,a	avgusta
grad,u	gradu
ohrid,u	o,hri,du
savest,i	saves,ti
predsednik,e	predsednik,e
nevladin,ih	nev,ladin,ih
ekspert,ima	ekspert,ima
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skup,u
demokratski,h	demokratski,h
cilj,eva	ciljeva
pun,og	puno,g
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	civiliz,ovan,u
održiv,a	održiv,a
april,u	april,u
visok,ih	visokih
zvaničnik,a	zvaničnik,a
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,bljen,u
profesor,ima	profesor,ima
studentski,m	studentsk,im
kampus,e	kamp,use
protest,a	protesta
osiguran,u	osiguran,u
bulevar,om	bul,eva,rom
ratifikovan,og	rati,fikovan,og
univerzitet,ima	univerzitet,ima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	azila
nezabeležen,a	neza,beležena
glas,ovima	glasov,ima
konsenzus,u	kons,enz,usu
moguć,ih	mogućih
naslednik,a	naslednik,a
jorgos,a	j,org,osa
papandreu,a	p,apan,dre,ua
istorijski,m	istorijskim
osnažen,a	osnaž,ena
vođstvo,m	vođ,stvom
skori,jim	skori,jim
neuspeh,om	ne,uspeh,om
mesec,ima	meseci,ma
nekompetentnost,i	nekom,peten,tnosti
neefektivnost,i	ne,efektivnost,i
širok,om	široko,m
obrazovni,h	obrazovnih
akademski,h	akademski,h
protest,i	protest,i
povezan,e	povezane
levičarski,m	levi,čarsk,im
stranka,ma	stranka,ma
mlad,ih	mladih
rektor,a	rektora
otvoren,i	otvoreni
aristotelov,og	a,risto,telo,vog
univerzitet,a	univerziteta
solun,u	so,lu,nu
prav,o	pravo
prolongiran,o	prol,ong,irano
univerzitet,i	univerzitet,i
garantor,i	garant,ori
legalitet,a	legal,iteta
ustavnost,i	ustavno,sti
urban,i	urbani
britanski,h	britanski,h
diplomac,a	diploma,ca
setimes,u	se,tim,esu
predavački,h	predava,čkih
london,a	london,a
univerzitetski,h	univerzitetsk,ih
sistem,e	sisteme
razborit,a	razb,orit,a
zdrav,og	zdravo,g
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,izabran,a
glasački,h	glasa,čkih
listić,a	listi,ća
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studentsk,ih
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spoj,ene
faza,ma	fazama
narkotik,a	nar,kot,ika
balkan,u	balkanu
pokušaj,u	pokušaju
krijumčar,ima	kri,jum,čari,ma
dolar,a	dolara
krijumčar,a	kri,jum,čara
analitičar,i	analitič,ari
naj,nov,ija	naj,novij,a
zdravstven,e	zdravstvene
krijumčar,i	kri,jum,čari
sporazum,e	sporazum,e
izveštaj,u	izveštaju
put,eve	putev,e
podatak,a	podataka
američki,h	američkih
avganistanski,h	avg,anist,anskih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	albansk,im
vlast,ima	vlasti,ma
heroin,a	hero,ina
prvi,h	prvih
promet,a	promet,a
poznat,i	poznati
mediteranski,m	medi,teran,skim
promet,om	promet,om
izveštaj,ima	izveštajima
granica,ma	granicama
svoj,u	svoju
ivanov,u	ivanov,u
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partners,kih
određen,a	određena
napad,a	napada
aktivist,i	aktivi,sti
nevladin,e	nev,ladin,e
star,u	star,u
rad,om	radom
planiran,og	planirano,g
metar,a	metara
volonter,i	vol,onte,ri
dug,a	duga
starost,i	starosti
koji,m	kojim
aliani,ja	ali,anija
aliani,ju	ali,anij,u
grad,a	grada
savet,u	savet,u
unesko,-u	un,e,s,k,o,-,u
abdulah,u	a,b,dul,ah,u
gul,u	g,ulu
njegov,ih	njegovih
rimski,h	rimsk,ih
čvrst,u	čvrst,u
predviđen,om	predviđeno,m
plan,u	planu
otkriven,ih	otkriven,ih
komad,i	komad,i
metal,i	metal,i
staklen,i	staklen,i
artefakt,i	arte,fakt,i
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pot,apanj,em
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	imper,atora
hadrijan,a	ha,dri,jana
lekovit,og	lekovit,og
izvorski,m	izvor,skim
voda,ma	voda,ma
lekovit,om	lekovit,om
stepen,i	stepeni
celzijus,a	c,el,ziju,sa
ukrašen,e	ukra,šene
čist,im	čisti,m
mermerni,m	mer,merni,m
kamen,om	kamen,om
zaštićen,im	zaštićeni,m
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običaj,i
pripadnik,a	pripadnika
brz,a	brza
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tužen,e
strah,a	straha
maltretiranje,m	mal,tretiranj,em
pošten,a	pošten,a
rom,a	roma
ljudski,m	ljudskim
žrtva,ma	žrtva,ma
sektor,u	sektoru
ombudsman,om	omb,uds,mano,m
telesni,h	telesn,ih
grub,o	gru,bo
potpun,og	potpuno,g
ombudsman,a	omb,uds,mana
iđet,a	i,đe,ta
memeti,ja	me,meti,ja
delevoa,a	del,evo,a,a
kazneni,h	kazne,nih
tok,u	toku
policajac,a	polic,aja,ca
navrat,a	nav,rata
prekid,a	prekida
posmatrač,a	posmatrač,a
izbeglica,ma	izbegli,cama
tbilisi,ja	t,bili,sija
posmatrač,e	posmatrač,e
odmetnut,u	odm,etnu,tu
čas,a	čas,a
sukob,a	sukoba
šef,ovi	šef,ovi
uobičajen,e	uobičajen,e
rus,i	rusi
položaj,e	položaj,e
odmetnut,oj	odm,etnu,toj
velik,om	velikom
sam,u	sam,u
sam,e	same
prizor,i	priz,ori
ruski,h	ruski,h
tenk,ova	ten,kova
oebs,-a	o,e,b,s,-,a
teren,u	terenu
ko,me	kome
moguć,oj	moguć,oj
šef,ova	šef,ova
avinjon,u	a,vinj,onu
istočnoevropski,h	istočno,evropskih
njen,ih	njenih
implikacija,ma	implikacij,ama
savez,a	saveza
plan,a	plana
napad,e	napad,e
siromaštvo,m	siromaštv,om
grk,a	gr,ka
vest,ima	vesti,ma
nivo,a	nivoa
slom,a	slom,a
kontinent,u	kontinent,u
uticaj,u	uticaju
rumun,a	rumun,a
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
bazel,a	ba,zel,a
farmaceutski,h	farmaceutsk,ih
proizvod,a	proizvoda
zemun,u	zem,unu
projekt,u	projektu
forum,u	forum,u
margina,ma	margin,ama
savet,a	saveta
gas,a	gasa
basen,a	bas,ena
detalj,e	detalj,e
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrijski,m
sektor,ima	sektor,ima
profit,a	profita
porez,i	porez,i
odmor,e	odmor,e
vladin,ih	vladin,ih
vaterpolist,i	vate,rp,olis,ti
neporažen,i	nepo,raženi
emanuil,a	e,manu,ila
milonakis,a	mil,onak,isa
peking,u	pe,king,u
gol,a	gola
stil,u	stil,u
protivnik,a	protivnik,a
šeref,a	še,ref,a
eroglu,a	e,rogl,ua
kilogram,a	kilo,grama
čeh,a	ä,į,eha
marek,a	mar,eka
švec,a	åł,vec,a
ženski,m	ženski,m
eliminacija,ma	eliminacij,ama
nozadze,a	n,oza,d,ze,a
vreme,nom	vremenom
tenis,u	tenis,u
kong,a	kon,ga
tvrd,oj	tvrd,oj
gol,ova	gol,ova
teg,ova	tego,va
muški,h	mušk,ih
mešovit,im	mešovit,im
stil,om	stilo,m
takmičar,a	takmičar,a
rvač,i	rva,či
meč,u	meč,u
slatkiš,a	slat,kiš,a
mraz,a	m,raza
pregled,u	pregled,u
sport,a	sporta
njegov,om	njegovom
film,u	filmu
mraz,om	m,razo,m
vilenjak,om	vile,njak,om
svoj,a	svoja
trg,a	trg,a
karusel,a	kar,use,la
velik,oj	velikoj
trg,u	trg,u
klub,a	kluba
albanski,h	albansk,ih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	ord,enom
majstor,a	majstor,a
fuad,a	f,ua,da
muzurović,a	mu,zu,rović,a
selektor,a	selekt,ora
blaž,a	bl,aža
slišković,a	sl,išk,ovića
loš,eg	loše,g
kvalifikacija,ma	kvalifikacija,ma
savremen,e	savremene
rad,ova	radova
slikar,a	slikar,a
tematski,h	tematski,h
ciklus,a	ciklusa
pariz,u	pariz,u
kfor,-a	k,f,or,-,a
srpski,m	srpskim
demonstrant,ima	demonstr,antim,a
etnički,m	etnički,m
vojnik,e	vojnik,e
podeljen,og	podeljen,og
naseljen,ih	naseljen,ih
sukob,i	sukob,i
izveštaj,a	izveštaja
granata,ma	granat,ama
unmik,-a	un,mi,k,-,a
sever,u	sever,u
kfor,-u	k,f,or,-,u
snaga,ma	snaga,ma
sud,a	suda
srpski,h	srpskih
demonstrant,i	demonstr,anti
razgovor,e	razgovor,e
kompleks,u	kompleks,u
nered,a	nere,da
februar,a	februara
un,-u	un,-,u
kosovski,m	kosovsk,im
napet,a	nap,eta
pun,oj	puno,j
pripadnik,e	pripadnik,e
prepad,u	prepa,du
okupljen,e	okuplj,ene
povređen,i	povređen,i
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	poljsk,ih
izvor,i	izvori
šef,a	šef,a
pokušaj,i	pokušaj,i
nadležnost,i	nadležnosti
slobodan,om	slobodan,om
samardžić,em	sam,ard,žić,em
isključiv,u	isključiv,u
napad,u	napad,u
red,a	reda
mikalis,a	mi,kali,sa
krisohoides,a	kris,oho,ides,a
objekt,u	objekt,u
saradnik,a	saradnika
sat,i	sati
sprat,u	sprat,u
slatkiš,ima	slat,kiš,ima
uvijen,i	uvi,jeni
ruka,ma	rukama
dim,a	dima
vasilakisov,om	vasil,aki,sovo,m
prijatelj,a	prijatelja
dragocen,og	dragocen,og
incident,i	incident,i
grad,ove	gradov,e
bbc,-u	b,b,c,-,u
prst,om	prst,om
lista,ma	lista,ma
terorist,a	terorist,a
moguć,eg	moguće,g
militant,ima	mili,tanti,ma
grk,e	gr,ke
norlmalnost,i	nor,lm,alnosti
naš,oj	našoj
sused,ima	sused,ima
turist,e	turist,e
netaknut,om	neta,knut,om
čist,om	čisto,m
srednjovekovni,m	srednjovekov,nim
ilirski,m	ili,rskim
ruševina,ma	rušev,inama
kampanja,ma	kampanj,ama
posvećivanje,m	posveć,ivanjem
prihod,a	prihoda
napor,i	napor,i
prihod,i	prihodi
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	poziv,e
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	dostavlj,enu
miroljubiv,om	miro,ljubi,vom
miting,u	miti,ng,u
đurčanj,a	đur,čanj,a
veče,ri	večer,i
rojters,a	ro,jte,rsa
ulica,ma	ulica,ma
voden,e	voden,e
top,ove	topo,ve
demonstrant,e	demonstr,ante
fides,-a	f,i,d,e,s,-,a
njihov,im	njihovim
poziv,ima	poziv,ima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinar,e
automobil,i	automobil,i
bdp,-a	b,d,p,-,a
porez,e	porez,e
planiran,e	planiran,e
zdravstven,om	zdravstveno,m
visok,om	visokom
sud,om	sudo,m
zločin,e	zločin,e
nato,-u	nato,-,u
glavni,h	glavnih
prioritet,a	prioritet,a
tribunal,om	tribu,nalo,m
mksj,-u	m,k,s,j,-,u
počinjen,e	počinje,ne
devedeseti,h	devedesetih
njegov,i	njegovi
hag,u	ha,gu
visok,a	visoka
general,a	general,a
njihov,e	njihove
sukob,u	sukob,u
bosanski,h	bosansk,ih
rim,u	rim,u
zid,a	zida
miloševićev,ih	milošević,evi,h
sledbenik,a	sled,benika
konsenzus,om	kons,enz,us,om
boris,a	boris,a
tadić,a	ta,dić,a
vojislav,a	vojislav,a
niš,u	nišu
jug,u	jug,u
izveštaj,e	izveštaje
tribunal,a	tribu,nala
beograd,a	beograda
mogućnost,i	mogućnosti
dogovor,a	dogovor,a
srebrn,i	srebrn,i
predmet,i	predmeti
japan,u	japan,u
kup,a	kupa
uzastopni,m	uza,stop,nim
izložba,ma	izložb,ama
zamenik,a	zamenik,a
srebrn,ih	srebrn,ih
antički,h	antički,h
predmet,a	predmeta
predmet,e	predmete
pronađen,e	pronađen,e
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,struk,a
problem,a	problema
koleno,m	kole,nom
jirgen,a	j,ir,gena
melcer,a	me,lc,era
turnir,a	turnir,a
mec,u	me,cu
mons,u	mon,su
aleks,a	aleksa
bogdanović,a	bogdanović,a
balkanski,h	balkansk,ih
pisac,a	pisac,a
dobitnik,a	dobit,nika
nobelov,e	n,obel,ove
andrić,a	andrić,a
travnik,u	tra,vnik,u
čitanje,m	čitanje,m
travnik,a	tra,vnika
film,a	filma
dokument,a	dokumenta
rukopis,i	rukopis,i
magazin,i	maga,zini
vek,a	veka
mlad,e	mlade
pirot,u	pi,rot,u
inspirisan,a	inspiris,ana
poslanik,u	poslanik,u
statut,u	statu,tu
radikal,a	radikala
irački,m	irač,kim
novinar,em	novinar,em
džordž,a	džordž,a
buš,a	b,uša
obrazloženje,m	obrazložen,jem
režim,u	režim,u
medij,i	mediji
cirkus,om	cir,kus,om
glasnogovornik,a	glasno,govornika
poslanik,e	poslanik,e
jeftin,i	jeftin,i
poen,i	poen,i
poslovnik,a	poslovni,ka
kraj,u	kraju
rajko,m	raj,kom
kuzmanović,em	ku,zma,nović,em
način,e	načine
cilj,u	cilju
skor,ije	skori,je
škundrić,em	åł,kund,rić,em
neki,h	nekih
skor,u	skor,u
podeljen,im	podeljen,im
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	težnj,ama
đorge,m	ä,ĳ,org,em
ivanov,im	ivanov,im
odnos,i	odnosi
brazil,om	brazil,om
iran,a	i,rana
hrabrost,i	hrabr,osti
dubok,e	dubok,e
zabrinutost,i	zabrinutost,i
stons,i	st,ons,i
mik,u	mi,ku
džeger,u	dže,ger,u
stons,ima	st,ons,ima
mešovit,ih	mešovit,ih
par,ova	paro,va
vimbldon,u	vi,mb,ld,onu
gitarist,om	gita,risto,m
kit,om	ki,tom
ričards,om	ri,čar,ds,om
sklop,u	sklopu
stons,a	st,ons,a
obožavalac,a	obo,žava,laca
koncert,u	koncert,u
sat,a	sata
trabzon,u	tra,b,zon,u
luk,om	luko,m
fudbal,u	fudbal,u
vimbldon,a	vi,mb,ld,ona
par,ovima	paro,vima
jonas,a	j,ona,sa
bjorkman,a	b,jor,km,ana
poraz,a	poraz,a
sliven,a	sl,iven,a
umetnik,a	umetnika
mok,-a	m,o,k,-,a
siti,ju	si,tiju
akropolj,a	a,kro,polja
arhitekt,a	arhitekt,a
njen,oj	njenoj
mermer,e	mer,mere
partenon,a	part,eno,na
projektovan,e	projektovan,e
sanduk,e	sand,uke
punjen,e	punjen,e
velik,og	velikog
arhitekt,om	arhitekto,m
muzej,a	muzej,a
bernar,om	ber,naro,m
čumi,jem	ä,į,umi,jem
ambasador,a	ambasador,a
artikal,a	artik,ala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnost,i
antikvitet,a	antik,vite,ta
metal,a	metala
sanduk,a	sand,uka
nadzor,om	nadzor,om
inženjer,a	inženjer,a
kostas,a	k,osta,sa
zambas,a	z,amba,sa
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagra,điva,ni
bernar,a	ber,nara
čumi,ja	ä,į,umi,ja
njujork,u	njujork,u
staklen,a	staklen,a
stub,ovima	stub,ovima
kvadratni,h	kvadrat,nih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	antik,vite,ti
privremen,i	privremeni
velik,a	velika
međusprat,u	među,sprat,u
staklen,om	staklen,om
njihov,u	njihovu
partenon,u	part,eno,nu
vek,ova	vekov,a
hram,a	hram,a
akropolj,u	a,kro,polju
odnos,u	odnosu
stub,ove	stub,ove
savršenost,i	savršeno,sti
moj,ih	moj,ih
svojstven,o	svojstven,o
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muzej,u
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	imp,resi,oniran,i
mermer,a	mer,mera
ime,nom	imenom
elginov,i	e,lg,inovi
skulpturni,h	skul,ptu,rnih
mermer,ima	mer,merima
friz,a	fri,za
uzeti,h	uzeti,h
zabat,a	zab,ata
erehtejon,a	e,re,hte,jona
fragment,e	fragment,e
nov,om	novom
liven,im	liv,enim
zamena,ma	zamen,ama
kontinuitet,a	kontinuitet,a
njen,og	njenog
mandat,a	mandata
organizacija,ma	organizacijama
bugarski,h	bugarsk,ih
mastriht,u	mas,tri,ht,u
određen,im	određenim
broj,em	brojem
beč,u	beč,u
ministar,a	ministar,a
