mogul,u	mogu,lu
odustajanje,m	odu,stajanj,em
naš,eg	našeg
identitet,a	identiteta
Irak,u	I,raku
poduhvat,a	poduhvat,a
vojnik,a	vojnika
vojni,m	vojni,m
misija,ma	misija,ma
Avganistan,u	A,v,gani,stanu
Liban,u	L,ib,anu
mirovni,m	mirov,nim
operacija,ma	operacija,ma
aranžman,a	aranžman,a
potpunost,i	potpunosti
odgovornost,i	odgovornosti
štab,u	štab,u
harmonizovan,e	harmoni,zovane
period,u	periodu
put,u	putu
tempo,m	temp,om
preduslov,e	preduslov,e
pregovor,a	pregovora
režim,a	režima
ostvarljiv,i	ostvar,ljivi
sopstven,ih	sopstvenih
slabost,i	slabost,i
sledeći,h	sledećih
pregovor,ima	pregovori,ma
kraj,a	kraja
sporazum,a	sporazuma
dijalog,a	dijaloga
slučaj,u	slučaju
vaš,e	vaše
značaj,a	značaja
region,om	region,om
nov,a	nova
sukob,ima	sukob,ima
posvećen,i	posvećen,i
isti,m	istim
demokratski,m	demokratski,m
vrednost,ima	vrednostima
amandman,a	aman,dma,na
cilj,em	ciljem
standard,ima	standardima
maj,a	maja
amandman,e	aman,dma,ne
prevrat,a	prev,rata
okvir,u	okviru
sud,ovi	sudovi
predstavnik,a	predstavnika
načelnik,a	načelnika
odbor,u	odbor,u
pol,ova	polov,a
pun,u	pun,u
ustav,a	ustava
jednak,a	jednaka
vlast,i	vlasti
suverenitet,a	suverenitet,a
princip,a	principa
bezbednost,i	bezbednosti
rat,om	rato,m
stanje,m	stanje,m
opasnost,i	opasnosti
niko,me	nikom,e
zakon,i	zakoni
zakon,ima	zakonima
usvojen,im	usvojen,im
slučaj,evima	slučajevima
suprotnost,i	suprotnosti
YOK,-a	Y,O,K,-,a
sud,ova	sudova
vojni,h	vojnih
zakon,u	zakonu
poslanik,a	poslanika
paket,u	paket,u
njihov,o	njihovo
k,a	ka
standard,a	standarda
propis,ima	propisima
Džemil,a	Dže,mila
Čiček,a	Či,čeka
sklad,u	skladu
sistem,om	sistemom
mesec,a	meseca
oblast,i	oblasti
visok,i	visoki
april,a	aprila
izgled,e	izgled,e
razgovor,a	razgovora
hrvatski,m	hrvatski,m
šef,om	šef,om
Gordan,om	Gor,dano,m
Jandroković,em	Jan,dro,ković,em
jun,a	juna
pregovor,e	pregovor,e
jesen,i	jesen,i
međuvreme,nu	međuvremenu
koji,h	kojih
Zagreb,u	Zagreb,u
razgovor,i	razgovor,i
jul,a	jula
sve,mu	svemu
pregovor,i	pregovori
pristup,u	pristupu
korak,e	korak,e
neki,m	nekim
jun,u	jun,u
poziv,u	poziv,u
saobraćaj,a	saobraćaja
razlog,a	razloga
Brisel,u	Brisel,u
postavljen,e	postavljene
cilj,eve	ciljeve
Zagreb,a	Zagreb,a
velik,e	velike
premijer,om	premijer,om
Ivo,m	I,vom
Sanader,om	San,ade,rom
uslov,om	uslovom
razgovor,u	razgovoru
Ren,om	R,enom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	sporu
samit,a	sami,ta
makedonski,m	makedonsk,im
Branko,m	Branko,m
Crvenkovski,m	Crven,kov,skim
Gruevski,m	Gru,ev,skim
sekretar,om	sekretar,om
NATO,-om	NATO,-,om
Jap,om	Ja,pom
Hop,om	Ho,pom
Shefer,om	S,he,fer,om
pomenut,i	pomenuti
nepromenjen,i	nepr,omen,jeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	lider,ima
izaslanik,om	iza,slanik,om
UN,-a	UN,-,a
Metju,om	Met,ju,om
Nimic,om	N,imi,com
vođa,ma	vođa,ma
Nimicov,ih	N,imi,cov,ih
predlog,a	predloga
prevremen,e	prev,remen,e
izbor,e	izbore
vikend,a	vikend,a
makedonski,h	makedonsk,ih
spor,a	spora
okrilje,m	okri,ljem
obostran,o	obo,strano
prihvatljiv,o	prihvatljivo
osumnjičen,ih	osumnjičen,ih
sukob,e	sukob,e
napad,om	napad,om
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnjičen,e
neidentifikovan,a	ne,identifikovan,a
povezanost,i	povezanosti
teroristički,m	terorističk,im
akcija,ma	akcijama
sarajevski,m	sarajev,skim
kvart,ovima	kvar,tovima
eksploziv,a	eksplo,ziva
mart,u	mart,u
hapšenje,m	hapšenj,em
dokaz,a	dokaza
martovski,m	mart,ovski,m
uređaj,e	uređaj,e
crtež,e	crt,eže
priručnik,e	prir,učnik,e
uređaj,a	uređaja
detonator,e	det,ona,tore
osumnjičen,i	osumnjičen,i
povezan,i	povezani
pokret,om	pokret,om
navodni,h	navod,nih
Mirsad,om	Mir,sad,om
Bektašević,em	B,ekta,šević,em
teroristički,h	terorističk,ih
vatren,og	vatr,enog
Jusuf,a	J,usu,fa
Barčić,a	Bar,čića
ko,ga	koga
katolički,h	katoličk,ih
razvoj,u	razvoju
izvoznik,e	izvoz,nike
kilometar,a	kilometara
Koman,a	Kom,ana
problem,u	problem,u
deklarisan,u	dek,lari,san,u
kosovski,h	kosovsk,ih
izvoznik,a	izvoz,nika
izvoz,a	izvoz,a
proizvod,i	proizvodi
skup,lji	skuplj,i
direktor,a	direktora
nedeklarisan,a	nede,klar,isana
sumnjiv,a	sumnjiv,a
potpun,o	potpuno
carinski,h	carinsk,ih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	reci,proc,iteta
reciprocitet,om	reci,proc,itet,om
pomoć,i	pomoći
grčki,h	grčk,ih
brod,ovima	brodo,vima
aktivist,a	aktivi,sta
velik,im	velikim
korak,om	korak,om
kapetan,a	kap,etan,a
brod,ova	brodo,va
nov,u	novu
osnov,u	osnovu
život,e	život,e
putnik,a	putnika
novinar,a	novinara
pritvor,u	prit,voru
konvoj,a	konv,oja
maj,u	maju
turski,h	turski,h
grčki,m	grčk,im
stran,im	stranim
zastava,ma	zasta,vama
protest,e	protest,e
propalestinski,h	propa,lesti,nskih
Izrael,a	I,zra,ela
problem,e	probleme
film,ova	filmova
Džejms,om	Džej,ms,om
Bond,om	Bo,ndo,m
Izrael,om	I,zra,elom
odnos,a	odnosa
Damask,a	Da,mask,a
norma,ma	norma,ma
bliskoistočni,h	blisko,istočn,ih
mirovni,h	mirov,nih
posrednik,a	posredni,ka
kanal,a	kanala
uspostavljen,m	uspostavljen,m
kopnen,im	kop,nen,im
prelaz,ima	prelazi,ma
kompromis,a	kompromis,a
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatljiv,i
Izrael,u	I,zra,elu
jul,u	jul,u
dvostruk,i	dvostruk,i
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijem,u
član,ove	članove
kor,a	kora
jak,om	jako,m
vest,i	vesti
Brisel,a	Brisel,a
zelen,o	zelen,o
promena,ma	promenama
reformski,h	reform,skih
članica,ma	članica,ma
lider,i	lider,i
jedinstven,o	jedinstveno
porast,u	porast,u
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predst,ojeć,im
forum,a	forum,a
UNESKO,-a	UN,E,S,K,O,-,a
pokrovitelj,i	pokr,ovite,lji
avgust,a	avgusta
grad,u	gradu
Ohrid,u	O,hri,du
savest,i	saves,ti
predsednik,e	predsednik,e
nevladin,ih	nev,ladin,ih
ekspert,ima	ekspert,ima
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skup,u
demokratski,h	demokratski,h
cilj,eva	ciljeva
pun,og	puno,g
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	civiliz,ovan,u
održiv,a	održiv,a
april,u	april,u
visok,ih	visokih
zvaničnik,a	zvaničnik,a
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,bljen,u
profesor,ima	profesor,ima
studentski,m	studentsk,im
kampus,e	kamp,use
protest,a	protesta
osiguran,u	osiguran,u
bulevar,om	bul,eva,rom
ratifikovan,og	rati,fikovan,og
univerzitet,ima	univerzitet,ima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	azila
nezabeležen,a	neza,beležena
glas,ovima	glasov,ima
konsenzus,u	kons,enz,usu
moguć,ih	mogućih
naslednik,a	naslednik,a
Jorgos,a	J,org,osa
Papandreu,a	P,apan,dre,ua
istorijski,m	istorijskim
osnažen,a	osnaž,ena
vođstvo,m	vođ,stvom
skori,jim	skori,jim
neuspeh,om	ne,uspeh,om
mesec,ima	meseci,ma
nekompetentnost,i	nekom,peten,tnosti
neefektivnost,i	ne,efektivnost,i
širok,om	široko,m
obrazovni,h	obrazovnih
akademski,h	akademski,h
protest,i	protest,i
povezan,e	povezane
levičarski,m	levi,čarsk,im
stranka,ma	stranka,ma
mlad,ih	mladih
rektor,a	rektora
otvoren,i	otvoreni
Aristotelov,og	A,risto,telo,vog
univerzitet,a	univerziteta
Solun,u	So,lu,nu
prav,o	pravo
prolongiran,o	prol,ong,irano
univerzitet,i	univerzitet,i
garantor,i	garant,ori
legalitet,a	legal,iteta
ustavnost,i	ustavno,sti
urban,i	urbani
britanski,h	britanski,h
diplomac,a	diploma,ca
SETimes,u	SE,Tim,esu
predavački,h	predava,čkih
London,a	London,a
univerzitetski,h	univerzitetsk,ih
sistem,e	sisteme
razborit,a	razb,orit,a
zdrav,og	zdravo,g
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,izabran,a
glasački,h	glasa,čkih
listić,a	listi,ća
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studentsk,ih
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spoj,ene
faza,ma	fazama
narkotik,a	nar,kot,ika
Balkan,u	Balkanu
pokušaj,u	pokušaju
krijumčar,ima	kri,jum,čari,ma
dolar,a	dolara
krijumčar,a	kri,jum,čara
analitičar,i	analitič,ari
naj,nov,ija	naj,novij,a
zdravstven,e	zdravstvene
krijumčar,i	kri,jum,čari
sporazum,e	sporazum,e
izveštaj,u	izveštaju
put,eve	putev,e
podatak,a	podataka
američki,h	američkih
avganistanski,h	avg,anist,anskih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	albansk,im
vlast,ima	vlasti,ma
heroin,a	hero,ina
prvi,h	prvih
promet,a	promet,a
poznat,i	poznati
mediteranski,m	medi,teran,skim
promet,om	promet,om
izveštaj,ima	izveštajima
granica,ma	granicama
svoj,u	svoju
Ivanov,u	Ivanov,u
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partners,kih
određen,a	određena
napad,a	napada
aktivist,i	aktivi,sti
nevladin,e	nev,ladin,e
star,u	star,u
rad,om	radom
planiran,og	planirano,g
metar,a	metara
volonter,i	vol,onte,ri
dug,a	duga
starost,i	starosti
koji,m	kojim
Aliani,ja	Ali,anija
Aliani,ju	Ali,anij,u
grad,a	grada
savet,u	savet,u
UNESKO,-u	UN,E,S,K,O,-,u
Abdulah,u	A,b,dul,ah,u
Gul,u	G,ulu
njegov,ih	njegovih
rimski,h	rimsk,ih
čvrst,u	čvrst,u
predviđen,om	predviđeno,m
plan,u	planu
otkriven,ih	otkriven,ih
komad,i	komad,i
metal,i	metal,i
staklen,i	staklen,i
artefakt,i	arte,fakt,i
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pot,apanj,em
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	imper,atora
Hadrijan,a	Ha,dri,jana
lekovit,og	lekovit,og
izvorski,m	izvor,skim
voda,ma	voda,ma
lekovit,om	lekovit,om
stepen,i	stepeni
Celzijus,a	C,el,ziju,sa
ukrašen,e	ukra,šene
čist,im	čisti,m
mermerni,m	mer,merni,m
kamen,om	kamen,om
zaštićen,im	zaštićeni,m
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običaj,i
pripadnik,a	pripadnika
brz,a	brza
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tužen,e
strah,a	straha
maltretiranje,m	mal,tretiranj,em
pošten,a	pošten,a
Rom,a	Roma
ljudski,m	ljudskim
žrtva,ma	žrtva,ma
sektor,u	sektoru
ombudsman,om	omb,uds,mano,m
telesni,h	telesn,ih
grub,o	gru,bo
potpun,og	potpuno,g
ombudsman,a	omb,uds,mana
Iđet,a	I,đe,ta
Memeti,ja	Me,meti,ja
Delevoa,a	Del,evo,a,a
kazneni,h	kazne,nih
tok,u	toku
policajac,a	polic,aja,ca
navrat,a	nav,rata
prekid,a	prekida
posmatrač,a	posmatrač,a
izbeglica,ma	izbegli,cama
Tbilisi,ja	T,bili,sija
posmatrač,e	posmatrač,e
odmetnut,u	odm,etnu,tu
čas,a	čas,a
sukob,a	sukoba
šef,ovi	šef,ovi
uobičajen,e	uobičajen,e
Rus,i	Rusi
položaj,e	položaj,e
odmetnut,oj	odm,etnu,toj
velik,om	velikom
sam,u	sam,u
sam,e	same
prizor,i	priz,ori
ruski,h	ruski,h
tenk,ova	ten,kova
OEBS,-a	O,E,B,S,-,a
teren,u	terenu
ko,me	kome
moguć,oj	moguć,oj
šef,ova	šef,ova
Avinjon,u	A,vinj,onu
istočnoevropski,h	istočno,evropskih
njen,ih	njenih
implikacija,ma	implikacij,ama
savez,a	saveza
plan,a	plana
napad,e	napad,e
siromaštvo,m	siromaštv,om
Grk,a	Gr,ka
vest,ima	vesti,ma
nivo,a	nivoa
slom,a	slom,a
kontinent,u	kontinent,u
uticaj,u	uticaju
Rumun,a	Rumun,a
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
Bazel,a	Ba,zel,a
farmaceutski,h	farmaceutsk,ih
proizvod,a	proizvoda
Zemun,u	Zem,unu
projekt,u	projektu
forum,u	forum,u
margina,ma	margin,ama
savet,a	saveta
gas,a	gasa
basen,a	bas,ena
detalj,e	detalj,e
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrijski,m
sektor,ima	sektor,ima
profit,a	profita
porez,i	porez,i
odmor,e	odmor,e
vladin,ih	vladin,ih
vaterpolist,i	vate,rp,olis,ti
neporažen,i	nepo,raženi
Emanuil,a	E,manu,ila
Milonakis,a	Mil,onak,isa
Peking,u	Pe,king,u
gol,a	gola
stil,u	stil,u
protivnik,a	protivnik,a
Šeref,a	Še,ref,a
Eroglu,a	E,rogl,ua
kilogram,a	kilo,grama
Čeh,a	Ä,Į,eha
Marek,a	Mar,eka
Švec,a	Åł,vec,a
ženski,m	ženski,m
eliminacija,ma	eliminacij,ama
Nozadze,a	N,oza,d,ze,a
vreme,nom	vremenom
tenis,u	tenis,u
Kong,a	Kon,ga
tvrd,oj	tvrd,oj
gol,ova	gol,ova
teg,ova	tego,va
muški,h	mušk,ih
mešovit,im	mešovit,im
stil,om	stilo,m
takmičar,a	takmičar,a
rvač,i	rva,či
meč,u	meč,u
slatkiš,a	slat,kiš,a
Mraz,a	M,raza
pregled,u	pregled,u
sport,a	sporta
njegov,om	njegovom
film,u	filmu
Mraz,om	M,razo,m
vilenjak,om	vile,njak,om
svoj,a	svoja
trg,a	trg,a
karusel,a	kar,use,la
velik,oj	velikoj
trg,u	trg,u
klub,a	kluba
albanski,h	albansk,ih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	ord,enom
majstor,a	majstor,a
Fuad,a	F,ua,da
Muzurović,a	Mu,zu,rović,a
selektor,a	selekt,ora
Blaž,a	Bl,aža
Slišković,a	Sl,išk,ovića
loš,eg	loše,g
kvalifikacija,ma	kvalifikacija,ma
savremen,e	savremene
rad,ova	radova
slikar,a	slikar,a
tematski,h	tematski,h
ciklus,a	ciklusa
Pariz,u	Pariz,u
KFOR,-a	K,F,OR,-,a
srpski,m	srpskim
demonstrant,ima	demonstr,antim,a
etnički,m	etnički,m
vojnik,e	vojnik,e
podeljen,og	podeljen,og
naseljen,ih	naseljen,ih
sukob,i	sukob,i
izveštaj,a	izveštaja
granata,ma	granat,ama
UNMIK,-a	UN,MI,K,-,a
sever,u	sever,u
KFOR,-u	K,F,OR,-,u
snaga,ma	snaga,ma
sud,a	suda
srpski,h	srpskih
demonstrant,i	demonstr,anti
razgovor,e	razgovor,e
kompleks,u	kompleks,u
nered,a	nere,da
februar,a	februara
UN,-u	UN,-,u
kosovski,m	kosovsk,im
napet,a	nap,eta
pun,oj	puno,j
pripadnik,e	pripadnik,e
prepad,u	prepa,du
okupljen,e	okuplj,ene
povređen,i	povređen,i
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	poljsk,ih
izvor,i	izvori
šef,a	šef,a
pokušaj,i	pokušaj,i
nadležnost,i	nadležnosti
Slobodan,om	Slobodan,om
Samardžić,em	Sam,ard,žić,em
isključiv,u	isključiv,u
napad,u	napad,u
red,a	reda
Mikalis,a	Mi,kali,sa
Krisohoides,a	Kris,oho,ides,a
objekt,u	objekt,u
saradnik,a	saradnika
sat,i	sati
sprat,u	sprat,u
slatkiš,ima	slat,kiš,ima
uvijen,i	uvi,jeni
ruka,ma	rukama
dim,a	dima
Vasilakisov,om	Vasil,aki,sovo,m
prijatelj,a	prijatelja
dragocen,og	dragocen,og
incident,i	incident,i
grad,ove	gradov,e
BBC,-u	B,B,C,-,u
prst,om	prst,om
lista,ma	lista,ma
terorist,a	terorist,a
moguć,eg	moguće,g
militant,ima	mili,tanti,ma
Grk,e	Gr,ke
norlmalnost,i	nor,lm,alnosti
naš,oj	našoj
sused,ima	sused,ima
turist,e	turist,e
netaknut,om	neta,knut,om
čist,om	čisto,m
srednjovekovni,m	srednjovekov,nim
ilirski,m	ili,rskim
ruševina,ma	rušev,inama
kampanja,ma	kampanj,ama
posvećivanje,m	posveć,ivanjem
prihod,a	prihoda
napor,i	napor,i
prihod,i	prihodi
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	poziv,e
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	dostavlj,enu
miroljubiv,om	miro,ljubi,vom
miting,u	miti,ng,u
Đurčanj,a	Đur,čanj,a
veče,ri	večer,i
Rojters,a	Ro,jte,rsa
ulica,ma	ulica,ma
voden,e	voden,e
top,ove	topo,ve
demonstrant,e	demonstr,ante
FIDES,-a	F,I,D,E,S,-,a
njihov,im	njihovim
poziv,ima	poziv,ima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinar,e
automobil,i	automobil,i
BDP,-a	B,D,P,-,a
porez,e	porez,e
planiran,e	planiran,e
zdravstven,om	zdravstveno,m
visok,om	visokom
sud,om	sudo,m
zločin,e	zločin,e
NATO,-u	NATO,-,u
glavni,h	glavnih
prioritet,a	prioritet,a
tribunal,om	tribu,nalo,m
MKSJ,-u	M,K,S,J,-,u
počinjen,e	počinje,ne
devedeseti,h	devedesetih
njegov,i	njegovi
Hag,u	Ha,gu
visok,a	visoka
general,a	general,a
njihov,e	njihove
sukob,u	sukob,u
bosanski,h	bosansk,ih
Rim,u	Rim,u
zid,a	zida
Miloševićev,ih	Milošević,evi,h
sledbenik,a	sled,benika
konsenzus,om	kons,enz,us,om
Boris,a	Boris,a
Tadić,a	Ta,dić,a
Vojislav,a	Vojislav,a
Niš,u	Nišu
jug,u	jug,u
izveštaj,e	izveštaje
tribunal,a	tribu,nala
Beograd,a	Beograda
mogućnost,i	mogućnosti
dogovor,a	dogovor,a
srebrn,i	srebrn,i
predmet,i	predmeti
Japan,u	Japan,u
kup,a	kupa
uzastopni,m	uza,stop,nim
izložba,ma	izložb,ama
zamenik,a	zamenik,a
srebrn,ih	srebrn,ih
antički,h	antički,h
predmet,a	predmeta
predmet,e	predmete
pronađen,e	pronađen,e
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,struk,a
problem,a	problema
koleno,m	kole,nom
Jirgen,a	J,ir,gena
Melcer,a	Me,lc,era
turnir,a	turnir,a
Mec,u	Me,cu
Mons,u	Mon,su
Aleks,a	Aleksa
Bogdanović,a	Bogdanović,a
balkanski,h	balkansk,ih
pisac,a	pisac,a
dobitnik,a	dobit,nika
Nobelov,e	N,obel,ove
Andrić,a	Andrić,a
Travnik,u	Tra,vnik,u
čitanje,m	čitanje,m
Travnik,a	Tra,vnika
film,a	filma
dokument,a	dokumenta
rukopis,i	rukopis,i
magazin,i	maga,zini
vek,a	veka
mlad,e	mlade
Pirot,u	Pi,rot,u
inspirisan,a	inspiris,ana
poslanik,u	poslanik,u
statut,u	statu,tu
radikal,a	radikala
irački,m	irač,kim
novinar,em	novinar,em
Džordž,a	Džordž,a
Buš,a	B,uša
obrazloženje,m	obrazložen,jem
režim,u	režim,u
medij,i	mediji
cirkus,om	cir,kus,om
glasnogovornik,a	glasno,govornika
poslanik,e	poslanik,e
jeftin,i	jeftin,i
poen,i	poen,i
poslovnik,a	poslovni,ka
kraj,u	kraju
Rajko,m	Raj,kom
Kuzmanović,em	Ku,zma,nović,em
način,e	načine
cilj,u	cilju
skor,ije	skori,je
Škundrić,em	Åł,kund,rić,em
neki,h	nekih
skor,u	skor,u
podeljen,im	podeljen,im
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	težnj,ama
Đorge,m	Ä,Ĳ,org,em
Ivanov,im	Ivanov,im
odnos,i	odnosi
Brazil,om	Brazil,om
Iran,a	I,rana
hrabrost,i	hrabr,osti
dubok,e	dubok,e
zabrinutost,i	zabrinutost,i
Stons,i	St,ons,i
Mik,u	Mi,ku
Džeger,u	Dže,ger,u
Stons,ima	St,ons,ima
mešovit,ih	mešovit,ih
par,ova	paro,va
Vimbldon,u	Vi,mb,ld,onu
gitarist,om	gita,risto,m
Kit,om	Ki,tom
Ričards,om	Ri,čar,ds,om
sklop,u	sklopu
Stons,a	St,ons,a
obožavalac,a	obo,žava,laca
koncert,u	koncert,u
sat,a	sata
Trabzon,u	Tra,b,zon,u
luk,om	luko,m
fudbal,u	fudbal,u
Vimbldon,a	Vi,mb,ld,ona
par,ovima	paro,vima
Jonas,a	J,ona,sa
Bjorkman,a	B,jor,km,ana
poraz,a	poraz,a
Sliven,a	Sl,iven,a
umetnik,a	umetnika
MOK,-a	M,O,K,-,a
Siti,ju	Si,tiju
Akropolj,a	A,kro,polja
arhitekt,a	arhitekt,a
njen,oj	njenoj
mermer,e	mer,mere
Partenon,a	Part,eno,na
projektovan,e	projektovan,e
sanduk,e	sand,uke
punjen,e	punjen,e
velik,og	velikog
arhitekt,om	arhitekto,m
muzej,a	muzej,a
Bernar,om	Ber,naro,m
Čumi,jem	Ä,Į,umi,jem
ambasador,a	ambasador,a
artikal,a	artik,ala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnost,i
antikvitet,a	antik,vite,ta
metal,a	metala
sanduk,a	sand,uka
nadzor,om	nadzor,om
inženjer,a	inženjer,a
Kostas,a	K,osta,sa
Zambas,a	Z,amba,sa
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagra,điva,ni
Bernar,a	Ber,nara
Čumi,ja	Ä,Į,umi,ja
Njujork,u	Njujork,u
staklen,a	staklen,a
stub,ovima	stub,ovima
kvadratni,h	kvadrat,nih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	antik,vite,ti
privremen,i	privremeni
velik,a	velika
međusprat,u	među,sprat,u
staklen,om	staklen,om
njihov,u	njihovu
Partenon,u	Part,eno,nu
vek,ova	vekov,a
hram,a	hram,a
Akropolj,u	A,kro,polju
odnos,u	odnosu
stub,ove	stub,ove
savršenost,i	savršeno,sti
moj,ih	moj,ih
svojstven,o	svojstven,o
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muzej,u
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	imp,resi,oniran,i
mermer,a	mer,mera
