mogul,u	mogu,lu
Irak,u	,ira,ku
poduhvat,a	poduhvata
vojnik,a	vojnika
vojni,m	vojnim
misija,ma	misija,ma
Avganistan,u	,av,ga,nista,nu
Liban,u	,li,ba,nu
mirovni,m	miro,vnim
operacija,ma	opera,cijama
aranžman,a	aranž,mana
potpunost,i	potpunosti
odgovornost,i	odgovornosti
štab,u	šta,bu
harmonizovan,e	harmoni,zovane
period,u	periodu
put,u	putu
tempo,m	tem,pom
preduslov,e	predu,slove
pregovor,a	pregovora
režim,a	režima
ostvarljiv,i	ostva,r,ljivi
sopstven,ih	sopstvenih
slabost,i	slabosti
sledeći,h	sledećih
pregovor,ima	pre,govorima
kraj,a	kraja
sporazum,a	sporazuma
dijalog,a	dijaloga
slučaj,u	slučaju
vaš,e	vaše
značaj,a	značaja
region,om	regio,nom
nov,a	nova
sukob,ima	sukobima
posvećen,i	posvećeni
isti,m	istim
demokratski,m	demokratskim
vrednost,ima	vrednostima
amandman,a	amandmana
cilj,em	ciljem
standard,ima	standardima
maj,a	maja
amandman,e	amand,mane
prevrat,a	pre,vrata
okvir,u	okviru
sud,ovi	sudovi
predstavnik,a	predstavnika
načelnik,a	nače,lnika
odbor,u	odboru
pol,ova	polova
pun,u	punu
ustav,a	ustava
jednak,a	jednaka
vlast,i	vlasti
suverenitet,a	suvereniteta
princip,a	principa
bezbednost,i	bezbednosti
rat,om	ratom
stanje,m	stanjem
opasnost,i	opasnosti
niko,me	niko,me
zakon,i	zakoni
zakon,ima	zakonima
usvojen,im	usvoje,nim
slučaj,evima	slučajevima
suprotnost,i	suprotnosti
YOK,-a	,y,ok,-,a
sud,ova	sudova
vojni,h	vojnih
zakon,u	zakonu
poslanik,a	poslanika
paket,u	pake,tu
njihov,o	njihovo
k,a	ka
standard,a	standarda
propis,ima	propisima
Džemil,a	,dže,mila
Čiček,a	,či,če,ka
sklad,u	skladu
sistem,om	sistemom
mesec,a	meseca
oblast,i	oblasti
visok,i	visoki
april,a	aprila
izgled,e	iz,gle,de
razgovor,a	razgovora
hrvatski,m	hrvat,skim
šef,om	še,fom
Gordan,om	,gor,da,nom
Jandroković,em	,ja,ndro,kovi,ćem
jun,a	juna
pregovor,e	pre,govore
jesen,i	jeseni
međuvreme,nu	međuvremenu
koji,h	kojih
Zagreb,u	,zagrebu
razgovor,i	razgovori
jul,a	jula
sve,mu	svemu
pregovor,i	pregovori
pristup,u	pristupu
korak,e	korake
neki,m	nekim
jun,u	junu
poziv,u	pozivu
saobraćaj,a	saobraćaja
razlog,a	razloga
Brisel,u	,bri,se,lu
postavljen,e	postavljene
cilj,eve	ciljeve
Zagreb,a	,zagreba
velik,e	velike
premijer,om	premije,rom
Ivo,m	,i,vom
Sanader,om	,sa,na,de,rom
uslov,om	uslovom
razgovor,u	razgovoru
Ren,om	,re,nom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	spo,ru
samit,a	sami,ta
makedonski,m	makedo,nskim
Branko,m	,bran,kom
Crvenkovski,m	,crven,kov,skim
Gruevski,m	,gru,ev,skim
sekretar,om	sekreta,rom
NATO,-om	,nato,-,om
Jap,om	,ja,pom
Hop,om	,ho,pom
Shefer,om	,she,ferom
pomenut,i	pomenuti
nepromenjen,i	neprome,njeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	li,de,rima
izaslanik,om	izasla,nikom
UN,-a	,un,-,a
Metju,om	,met,ju,om
Nimic,om	,ni,mi,com
vođa,ma	vođa,ma
Nimicov,ih	,ni,mi,co,vih
predlog,a	predloga
prevremen,e	pre,vremene
izbor,e	izbore
vikend,a	vi,ken,da
makedonski,h	makedo,nskih
spor,a	spora
okrilje,m	okriljem
obostran,o	obo,stra,no
prihvatljiv,o	prihvat,ljivo
osumnjičen,ih	osumnji,čenih
sukob,e	sukobe
napad,om	napa,dom
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnji,čene
neidentifikovan,a	ne,identi,fikovana
povezanost,i	povezanosti
teroristički,m	teroristi,čkim
akcija,ma	akcijama
sarajevski,m	sarajev,skim
kvart,ovima	kvar,tovima
eksploziv,a	eksplo,ziva
mart,u	martu
hapšenje,m	hap,šenjem
dokaz,a	dokaza
martovski,m	mar,tov,skim
uređaj,e	uređa,je
crtež,e	crte,že
priručnik,e	priru,čni,ke
uređaj,a	uređaja
detonator,e	de,tona,tore
osumnjičen,i	osumnji,čeni
povezan,i	povezani
pokret,om	pokre,tom
navodni,h	navod,nih
Mirsad,om	,mi,rsa,dom
Bektašević,em	,be,kta,ševi,ćem
teroristički,h	terorističkih
vatren,og	vatre,nog
Jusuf,a	,ju,su,fa
Barčić,a	,bar,čića
ko,ga	koga
katolički,h	katoli,čkih
razvoj,u	razvoju
izvoznik,e	izvo,zni,ke
kilometar,a	kilo,metara
Koman,a	,ko,mana
problem,u	problemu
deklarisan,u	dekla,risa,nu
kosovski,h	kosov,skih
izvoznik,a	izvo,z,nika
izvoz,a	izvo,za
proizvod,i	proizvodi
skup,lji	skup,lji
direktor,a	direktora
nedeklarisan,a	nede,kla,ri,sana
sumnjiv,a	sumnji,va
potpun,o	potpuno
carinski,h	cari,nskih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	recipro,ci,teta
reciprocitet,om	recipro,ci,tetom
pomoć,i	pomoći
grčki,h	grčkih
brod,ovima	bro,dovima
aktivist,a	aktivi,sta
velik,im	velikim
korak,om	kora,kom
kapetan,a	kape,tana
brod,ova	bro,dova
nov,u	novu
osnov,u	osnovu
život,e	živote
putnik,a	putnika
novinar,a	novinara
pritvor,u	pri,tvo,ru
konvoj,a	kon,voja
maj,u	maju
turski,h	turskih
grčki,m	grčkim
stran,im	stranim
zastava,ma	za,stava,ma
protest,e	prote,ste
propalestinski,h	propa,le,sti,nskih
Izrael,a	,izra,ela
problem,e	probleme
film,ova	filmova
Džejms,om	,dže,jm,som
Bond,om	,bo,n,dom
Izrael,om	,izra,e,lom
odnos,a	odnosa
Damask,a	,dama,ska
norma,ma	normama
bliskoistočni,h	blisko,isto,čnih
mirovni,h	miro,vnih
posrednik,a	posred,nika
kanal,a	kanala
uspostavljen,m	uspostavljen,m
kopnen,im	kop,ne,nim
prelaz,ima	prelazi,ma
kompromis,a	kompromi,sa
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvat,ljivi
Izrael,u	,izra,elu
jul,u	julu
dvostruk,i	dvostru,ki
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prije,mu
član,ove	članove
kor,a	kora
jak,om	ja,kom
vest,i	vesti
Brisel,a	,bri,sela
zelen,o	zele,no
promena,ma	promenama
reformski,h	reform,skih
članica,ma	članicama
lider,i	li,deri
jedinstven,o	jedinstveno
porast,u	porastu
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	pred,stoje,ćim
forum,a	foruma
UNESKO,-a	,une,sko,-,a
pokrovitelj,i	pokrovi,telji
avgust,a	avgusta
grad,u	gradu
Ohrid,u	,ohri,du
savest,i	save,sti
predsednik,e	predsedni,ke
nevladin,ih	nevladinih
ekspert,ima	eksperti,ma
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skupu
demokratski,h	demokratskih
cilj,eva	ciljeva
pun,og	punog
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	ci,vili,zovanu
održiv,a	održi,va
april,u	aprilu
visok,ih	visokih
zvaničnik,a	zvani,čnika
nivo,u	nivou
naš,im	našim
oslabljen,u	oslablje,nu
profesor,ima	profeso,rima
studentski,m	studen,tskim
kampus,e	ka,mpu,se
protest,a	protesta
osiguran,u	osigu,ranu
bulevar,om	bu,leva,rom
ratifikovan,og	rati,fikova,nog
univerzitet,ima	univerzitetima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	a,zila
nezabeležen,a	neza,bele,žena
glas,ovima	glaso,vima
konsenzus,u	konsenzu,su
moguć,ih	mogućih
naslednik,a	naslednika
Jorgos,a	,jor,go,sa
Papandreu,a	,papa,ndre,ua
istorijski,m	istorijskim
osnažen,a	osna,žena
vođstvo,m	vođ,stvom
skori,jim	sko,riji,m
neuspeh,om	neuspe,hom
mesec,ima	mesecima
nekompetentnost,i	nekom,pe,tent,nosti
neefektivnost,i	nee,fek,tivnosti
širok,om	širokom
obrazovni,h	obrazovnih
akademski,h	akademskih
protest,i	prote,sti
povezan,e	povezane
levičarski,m	levi,čar,skim
stranka,ma	stranka,ma
mlad,ih	mladih
rektor,a	rek,tora
otvoren,i	otvoreni
Aristotelov,og	,aristotelo,vog
univerzitet,a	univerziteta
Solun,u	,solunu
prav,o	pravo
prolongiran,o	pro,lo,ngi,rano
univerzitet,i	univerzi,teti
garantor,i	garan,tori
legalitet,a	lega,liteta
ustavnost,i	ustav,nosti
urban,i	urbani
britanski,h	britan,skih
diplomac,a	diplo,maca
SETimes,u	SE,T,ime,su
predavački,h	preda,va,čkih
London,a	,londo,na
univerzitetski,h	univerzitet,skih
sistem,e	sisteme
razborit,a	raz,bori,ta
zdrav,og	zdravog
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,iza,brana
glasački,h	glasa,čkih
listić,a	listi,ća
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studen,tskih
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spo,jene
faza,ma	fazama
narkotik,a	narko,tika
Balkan,u	,balkanu
pokušaj,u	pokušaju
krijumčar,ima	kri,jum,čarima
dolar,a	dolara
krijumčar,a	kri,jum,čara
analitičar,i	analiti,čari
naj,nov,ija	naj,novija
zdravstven,e	zdravstvene
krijumčar,i	kri,jum,čari
sporazum,e	spo,razume
izveštaj,u	izveštaju
put,eve	puteve
podatak,a	podataka
američki,h	američkih
avganistanski,h	av,ga,nista,nskih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	alba,nskim
vlast,ima	vlastima
heroin,a	hero,ina
prvi,h	prvih
promet,a	prometa
poznat,i	poznati
mediteranski,m	mediteran,skim
promet,om	prome,tom
izveštaj,ima	izvešta,jima
granica,ma	granicama
svoj,u	svoju
Ivanov,u	,i,vano,vu
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partner,skih
određen,a	određena
napad,a	napada
aktivist,i	ak,tivisti
nevladin,e	nevladine
star,u	staru
rad,om	radom
planiran,og	plani,ranog
metar,a	metara
volonter,i	volon,teri
dug,a	duga
starost,i	starosti
koji,m	kojim
Aliani,ja	,ali,a,nija
Aliani,ju	,ali,a,niju
grad,a	grada
savet,u	savetu
UNESKO,-u	,une,sko,-,u
Abdulah,u	,ab,dula,hu
Gul,u	,gu,lu
njegov,ih	njegovih
rimski,h	rimskih
čvrst,u	čvr,stu
predviđen,om	predvi,đenom
plan,u	planu
otkriven,ih	otkri,venih
komad,i	koma,di
metal,i	metali
staklen,i	stakle,ni
artefakt,i	artefa,kti
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pota,pa,njem
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	impera,tora
Hadrijan,a	,ha,d,rija,na
lekovit,og	lekovi,tog
izvorski,m	izvor,skim
voda,ma	vodama
lekovit,om	lekovi,tom
stepen,i	stepeni
Celzijus,a	,cel,ziju,sa
ukrašen,e	ukra,šene
čist,im	či,stim
mermerni,m	mer,mernim
kamen,om	kame,nom
zaštićen,im	zašti,ćenim
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običaji
pripadnik,a	pripadnika
brz,a	brza
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tu,žene
strah,a	straha
maltretiranje,m	mal,tretira,njem
pošten,a	po,štena
Rom,a	,roma
ljudski,m	ljudskim
žrtva,ma	žrtvama
sektor,u	sektoru
ombudsman,om	om,bu,d,sma,nom
telesni,h	telesnih
grub,o	grubo
potpun,og	potpunog
ombudsman,a	om,bu,ds,mana
Iđet,a	,i,đe,ta
Memeti,ja	,me,me,tija
Delevoa,a	,dele,vo,aa
kazneni,h	kazne,nih
tok,u	toku
policajac,a	poli,caja,ca
navrat,a	navrata
prekid,a	prekida
posmatrač,a	posmatrača
izbeglica,ma	izbeglicama
Tbilisi,ja	,t,bili,sija
posmatrač,e	posmatra,če
odmetnut,u	od,met,nu,tu
čas,a	časa
sukob,a	sukoba
šef,ovi	še,fo,vi
uobičajen,e	uobičajene
Rus,i	,rusi
položaj,e	položa,je
odmetnut,oj	od,met,nu,toj
velik,om	velikom
sam,u	samu
sam,e	same
prizor,i	pri,zori
ruski,h	ruskih
tenk,ova	ten,kova
OEBS,-a	,oebs,-,a
teren,u	terenu
ko,me	kome
moguć,oj	moguć,oj
šef,ova	še,fo,va
Avinjon,u	,avi,njo,nu
istočnoevropski,h	istočno,evrop,skih
njen,ih	njenih
implikacija,ma	implika,cijama
savez,a	saveza
plan,a	plana
napad,e	napa,de
siromaštvo,m	siroma,štvom
Grk,a	,grka
vest,ima	ve,stima
nivo,a	nivoa
slom,a	slo,ma
kontinent,u	kontine,ntu
uticaj,u	uticaju
Rumun,a	,rumuna
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
Bazel,a	,baze,la
farmaceutski,h	farmace,ut,skih
proizvod,a	proizvoda
Zemun,u	,zemunu
projekt,u	projektu
forum,u	fo,rumu
margina,ma	margi,nama
savet,a	saveta
gas,a	gasa
basen,a	basena
detalj,e	detalje
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	indust,rijskim
sektor,ima	sek,torima
profit,a	profita
porez,i	pore,zi
odmor,e	od,more
vladin,ih	vladi,nih
vaterpolist,i	va,ter,po,listi
neporažen,i	nepo,raženi
Emanuil,a	,e,manu,ila
Milonakis,a	,milo,na,ki,sa
Peking,u	,pe,ki,ngu
gol,a	gola
stil,u	stilu
protivnik,a	protivnika
Šeref,a	,še,re,fa
Eroglu,a	,ero,glu,a
kilogram,a	kilo,gra,ma
Čeh,a	,če,ha
Marek,a	,ma,reka
Švec,a	,š,ve,ca
ženski,m	žen,skim
eliminacija,ma	eli,mina,cijama
Nozadze,a	,no,zad,ze,a
vreme,nom	vremenom
tenis,u	te,nisu
Kong,a	,kon,ga
tvrd,oj	tvrdo,j
gol,ova	go,lova
teg,ova	te,gova
muški,h	muških
mešovit,im	mešovi,tim
stil,om	sti,lom
takmičar,a	takmi,čara
rvač,i	r,vači
meč,u	me,ču
slatkiš,a	sla,tki,ša
Mraz,a	,mra,za
pregled,u	pregledu
sport,a	spo,rta
njegov,om	njegovom
film,u	filmu
Mraz,om	,mra,zom
vilenjak,om	vile,nja,kom
svoj,a	svoja
trg,a	tr,ga
karusel,a	ka,ru,sela
velik,oj	velikoj
trg,u	tr,gu
klub,a	kluba
albanski,h	alba,nskih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	or,de,nom
majstor,a	majstora
Fuad,a	,fu,ada
Muzurović,a	,mu,zu,rovića
selektor,a	selek,tora
Blaž,a	,bla,ža
Slišković,a	,sli,škovića
loš,eg	lošeg
kvalifikacija,ma	kvalifika,cijama
savremen,e	savremene
rad,ova	radova
slikar,a	slikara
tematski,h	tematskih
ciklus,a	ciklusa
Pariz,u	,parizu
KFOR,-a	,k,for,-,a
srpski,m	srpskim
demonstrant,ima	demonstra,ntima
etnički,m	etničkim
vojnik,e	voj,nike
podeljen,og	pode,ljenog
naseljen,ih	nase,ljenih
sukob,i	sukobi
izveštaj,a	izveštaja
granata,ma	gra,nata,ma
UNMIK,-a	,un,mik,-,a
sever,u	severu
KFOR,-u	,k,for,-,u
snaga,ma	snagama
sud,a	suda
srpski,h	srpskih
demonstrant,i	demonstra,nti
razgovor,e	razgovore
kompleks,u	komplek,su
nered,a	nere,da
februar,a	februara
UN,-u	,un,-,u
kosovski,m	kosov,skim
napet,a	nape,ta
pun,oj	punoj
pripadnik,e	pripadnike
prepad,u	pre,pa,du
okupljen,e	okup,ljene
povređen,i	povre,đeni
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	polj,skih
izvor,i	izvori
šef,a	še,fa
pokušaj,i	pokušaji
nadležnost,i	nadležnosti
Slobodan,om	,sloboda,nom
Samardžić,em	,samar,dži,ćem
isključiv,u	isključi,vu
napad,u	napa,du
red,a	reda
Mikalis,a	,mi,ka,lisa
Krisohoides,a	,kri,so,ho,ide,sa
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	spra,tu
slatkiš,ima	sla,tki,ši,ma
uvijen,i	u,vije,ni
ruka,ma	rukama
dim,a	di,ma
Vasilakisov,om	,vasi,la,ki,sovom
prijatelj,a	prijatelja
dragocen,og	dragoce,nog
incident,i	in,ci,denti
grad,ove	gradove
BBC,-u	,b,bc,-,u
prst,om	pr,stom
lista,ma	lista,ma
terorist,a	terorista
moguć,eg	mogućeg
militant,ima	mili,ta,ntima
Grk,e	,gr,ke
norlmalnost,i	nor,l,ma,lnosti
naš,oj	našoj
sused,ima	suse,dima
turist,e	turi,ste
netaknut,om	ne,tak,nu,tom
čist,om	či,stom
srednjovekovni,m	srednjoveko,vnim
ilirski,m	ili,rskim
ruševina,ma	ru,ševi,nama
kampanja,ma	kampa,njama
posvećivanje,m	posve,ći,vanjem
prihod,a	prihoda
napor,i	napori
prihod,i	priho,di
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	pozi,ve
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	do,stavlje,nu
miroljubiv,om	miro,ljubi,vom
miting,u	mi,tin,gu
Đurčanj,a	,đur,ča,nja
veče,ri	večeri
Rojters,a	,ro,j,ter,sa
ulica,ma	ulica,ma
voden,e	vodene
top,ove	topo,ve
demonstrant,e	demonstra,nte
FIDES,-a	,fi,des,-,a
njihov,im	njihovim
poziv,ima	pozi,vima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novina,re
automobil,i	automo,bili
BDP,-a	,bdp,-,a
porez,e	pore,ze
planiran,e	plani,rane
zdravstven,om	zdravstve,nom
visok,om	visokom
sud,om	sudom
zločin,e	zlo,čine
NATO,-u	,nato,-,u
glavni,h	glavnih
prioritet,a	prioriteta
tribunal,om	tribuna,lom
MKSJ,-u	,m,ks,j,-,u
počinjen,e	poči,njene
devedeseti,h	devedesetih
njegov,i	njegovi
Hag,u	,ha,gu
visok,a	visoka
general,a	generala
njihov,e	njihove
sukob,u	sukobu
bosanski,h	bosan,skih
Rim,u	,rimu
zid,a	zida
Miloševićev,ih	,miloše,viće,vih
sledbenik,a	sledbe,nika
konsenzus,om	konsenzu,som
Boris,a	,bo,risa
Tadić,a	,ta,dića
Vojislav,a	,vojislava
Niš,u	,nišu
jug,u	jugu
izveštaj,e	izveštaje
tribunal,a	tribunala
Beograd,a	,beograda
mogućnost,i	mogućnosti
dogovor,a	do,govora
srebrn,i	sre,b,rni
predmet,i	predmeti
Japan,u	,japa,nu
kup,a	kupa
uzastopni,m	uza,sto,p,nim
izložba,ma	izlo,ž,bama
zamenik,a	zame,nika
srebrn,ih	srebr,nih
antički,h	antičkih
predmet,a	predmeta
predmet,e	predmete
pronađen,e	prona,đene
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	ša,mpi,ona
četvorostruk,a	četvoro,stru,ka
problem,a	problema
koleno,m	kole,nom
Jirgen,a	,ji,r,gena
Melcer,a	,me,l,ce,ra
turnir,a	tu,rni,ra
Mec,u	,me,cu
Mons,u	,mon,su
Aleks,a	,aleksa
Bogdanović,a	,bogda,novića
balkanski,h	balkanskih
pisac,a	pisaca
dobitnik,a	dobi,tnika
Nobelov,e	,no,be,love
Andrić,a	,andrića
Travnik,u	,tra,vniku
čitanje,m	čita,njem
Travnik,a	,tra,vnika
film,a	filma
dokument,a	dokumenta
rukopis,i	rukopisi
magazin,i	maga,zini
vek,a	veka
mlad,e	mlade
Pirot,u	,piro,tu
inspirisan,a	inspiri,sana
poslanik,u	posla,niku
statut,u	statu,tu
radikal,a	radika,la
irački,m	ira,čkim
novinar,em	novina,rem
Džordž,a	,džor,dža
Buš,a	,bu,ša
obrazloženje,m	obrazlo,ženjem
režim,u	režimu
medij,i	mediji
cirkus,om	cir,ku,som
glasnogovornik,a	glasno,govor,nika
poslanik,e	posla,nike
jeftin,i	jef,tini
poen,i	poe,ni
poslovnik,a	poslo,vnika
kraj,u	kraju
Rajko,m	,raj,kom
Kuzmanović,em	,ku,zma,novi,ćem
način,e	načine
cilj,u	cilju
skor,ije	sko,rije
Škundrić,em	,š,ku,ndri,ćem
neki,h	nekih
skor,u	sko,ru
podeljen,im	pode,ljenim
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	tež,njama
Đorge,m	,đor,ge,m
Ivanov,im	,i,vano,vim
odnos,i	odnosi
Brazil,om	,bra,zi,lom
Iran,a	,i,rana
hrabrost,i	hrabrosti
dubok,e	duboke
zabrinutost,i	zabrinu,tosti
Stons,i	,sto,nsi
Mik,u	,mi,ku
Džeger,u	,dže,ge,ru
Stons,ima	,sto,n,sima
mešovit,ih	mešovi,tih
par,ova	parova
Vimbldon,u	,vi,m,bl,do,nu
gitarist,om	gi,ta,risto,m
Kit,om	,ki,tom
Ričards,om	,ri,čar,d,som
sklop,u	sklopu
Stons,a	,sto,nsa
obožavalac,a	obo,ža,vala,ca
koncert,u	koncertu
sat,a	sata
Trabzon,u	,tra,b,zo,nu
luk,om	lu,kom
fudbal,u	fu,dba,lu
Vimbldon,a	,vi,m,bl,do,na
par,ovima	paro,vima
Jonas,a	,jona,sa
Bjorkman,a	,b,jo,rk,mana
poraz,a	pora,za
Sliven,a	,sli,vena
umetnik,a	umetnika
MOK,-a	,mo,k,-,a
Siti,ju	,si,tiju
Akropolj,a	,ak,ro,polja
arhitekt,a	arhitek,ta
njen,oj	njenoj
mermer,e	mer,mere
Partenon,a	,par,teno,na
projektovan,e	projek,tovane
sanduk,e	sandu,ke
punjen,e	pu,njene
velik,og	velikog
arhitekt,om	arhitek,tom
muzej,a	muzeja
Bernar,om	,be,rna,rom
Čumi,jem	,ču,mi,jem
ambasador,a	ambasa,dora
artikal,a	ar,tika,la
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnosti
antikvitet,a	anti,kvi,teta
metal,a	metala
sanduk,a	sandu,ka
nadzor,om	nadzo,rom
inženjer,a	inženjera
Kostas,a	,kosta,sa
Zambas,a	,za,mba,sa
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagra,đi,vani
Bernar,a	,be,rna,ra
Čumi,ja	,ču,mija
Njujork,u	,nju,jo,rku
staklen,a	stakle,na
stub,ovima	stu,bovima
kvadratni,h	kvadra,tnih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	anti,kvi,teti
privremen,i	privreme,ni
velik,a	velika
međusprat,u	među,spra,tu
staklen,om	stakle,nom
njihov,u	njihovu
Partenon,u	,par,teno,nu
vek,ova	vekova
hram,a	hrama
Akropolj,u	,ak,ro,po,lju
odnos,u	odnosu
stub,ove	stu,bove
savršenost,i	savrše,nosti
moj,ih	mojih
svojstven,o	svoj,stveno
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muzeju
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	impresioni,rani
mermer,a	mer,mera
ime,nom	imenom
Elginov,i	,el,gi,novi
skulpturni,h	skulp,tu,rnih
mermer,ima	mer,me,rima
friz,a	fri,za
uzeti,h	uze,tih
zabat,a	zaba,ta
Erehtejon,a	,ere,hte,jo,na
fragment,e	frag,mente
