jeremić,a	jere,mić,a
jandroković,em	jan,dro,ković,e,m
jun,a	juna
pregovor,e	pregovor,e
jesen,i	jesen,i
međuvreme,nu	međuvremenu
koji,h	kojih
zagreb,u	zagrebu
razgovor,i	razgovori
jul,a	jula
sve,mu	svemu
pregovor,i	pregovori
pristup,u	pristupu
korak,e	korak,e
neki,m	nekim
jun,u	jun,u
poziv,u	poziv,u
saobraćaj,a	saobraćaja
razlog,a	razloga
brisel,u	bris,elu
postavljen,e	postavljene
cilj,eve	ciljeve
zagreb,a	zagreba
velik,e	velike
premijer,om	premijer,o,m
ivo,m	ivom
sanader,om	sana,der,o,m
uslov,om	uslovom
razgovor,u	razgovoru
ren,om	reno,m
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	sporu
samit,a	sami,t,a
makedonski,m	makedonsk,i,m
branko,m	brank,o,m
crvenkovski,m	crven,kovsk,i,m
gruevski,m	gru,evsk,i,m
sekretar,om	sekretar,o,m
nato,-om	0,,,1,,,2,,,3,nato,-,om
jap,om	jap,o,m
hop,om	hop,o,m
shefer,om	s,h,efer,o,m
pomenut,i	pomenuti
nepromenjen,i	nepr,omen,jeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	lider,ima
izaslanik,om	iza,slanik,o,m
un,-a	0,,,1,u,n,-,a
metju,om	met,j,u,om
nimic,om	nimi,com
vođa,ma	vođa,m,a
nimicov,ih	nimi,cov,i,h
predlog,a	predloga
prevremen,e	prev,remen,e
izbor,e	izbore
vikend,a	vikend,a
makedonski,h	makedonsk,i,h
spor,a	spora
okrilje,m	okri,ljem
obostran,o	obo,strano
prihvatljiv,o	prihvatljivo
osumnjičen,ih	osumnjičen,i,h
sukob,e	sukob,e
napad,om	napad,o,m
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnjičen,e
neidentifikovan,a	ne,identifikovan,a
povezanost,i	povezanosti
teroristički,m	teroristički,m
akcija,ma	akcijama
sarajevski,m	sarajev,skim
kvart,ovima	kvart,ovima
eksploziv,a	eksploziv,a
mart,u	mart,u
hapšenje,m	hapšenj,e,m
dokaz,a	dokaza
martovski,m	mart,ovski,m
uređaj,e	uređaj,e
crtež,e	crt,eže
priručnik,e	prir,učnik,e
uređaj,a	uređaja
detonator,e	det,ona,tore
osumnjičen,i	osumnjičen,i
povezan,i	povezani
pokret,om	pokret,o,m
navodni,h	navod,nih
mirsad,om	mir,sad,o,m
bektašević,em	bek,taš,ević,e,m
teroristički,h	teroristički,h
vatren,og	vatre,nog
jusuf,a	jus,u,fa
barčić,a	bar,čića
ko,ga	koga
katolički,h	katoličk,i,h
razvoj,u	razvoju
izvoznik,e	izvoz,nike
kilometar,a	kilometara
koman,a	koman,a
problem,u	problem,u
deklarisan,u	dek,lari,sanu
kosovski,h	kosovsk,i,h
izvoznik,a	izvoz,nika
izvoz,a	izvoz,a
proizvod,i	proizvodi
skup,lji	skuplj,i
direktor,a	direktora
nedeklarisan,a	nede,klar,isana
sumnjiv,a	sumnjiv,a
potpun,o	potpuno
carinski,h	carinsk,i,h
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	reci,proc,iteta
reciprocitet,om	reci,proc,itet,o,m
pomoć,i	pomoći
grčki,h	grčki,h
brod,ovima	brod,ovima
aktivist,a	aktivi,sta
velik,im	velikim
korak,om	korak,o,m
kapetan,a	kapetan,a
brod,ova	brod,ova
nov,u	novu
osnov,u	osnovu
život,e	život,e
putnik,a	putnika
novinar,a	novinara
pritvor,u	pritvor,u
konvoj,a	konv,oja
maj,u	maju
turski,h	turski,h
grčki,m	grčki,m
stran,im	stranim
zastava,ma	zasta,vama
protest,e	protest,e
propalestinski,h	propa,lesti,nskih
izrael,a	izrael,a
problem,e	probleme
film,ova	filmova
džejms,om	dže,j,m,som
bond,om	bon,dom
izrael,om	izrael,o,m
odnos,a	odnosa
damask,a	dama,ska
norma,ma	norma,m,a
bliskoistočni,h	blisko,istočn,i,h
mirovni,h	mirov,nih
posrednik,a	posredni,k,a
kanal,a	kanala
uspostavljen,m	uspostavljen,m
kopnen,im	kop,nen,i,m
prelaz,ima	prelazi,m,a
kompromis,a	kompromis,a
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatljiv,i
izrael,u	izrael,u
jul,u	jul,u
dvostruk,i	dvostruk,i
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijem,u
član,ove	članove
kor,a	kora
jak,om	jako,m
vest,i	vesti
brisel,a	bris,ela
zelen,o	zelen,o
promena,ma	promenama
reformski,h	reform,skih
članica,ma	članica,m,a
lider,i	lider,i
jedinstven,o	jedinstveno
porast,u	porast,u
pregovarački,h	pregovara,čkih
poen,a	poe,na
pokušaj,a	pokušaja
predstojeći,m	predst,ojeć,i,m
forum,a	forum,a
unesko,-a	0,,,1,,,2,,,3,,,4,,,5,une,sko,-,a
pokrovitelj,i	pokr,ovit,elji
avgust,a	avgusta
grad,u	gradu
ohrid,u	ohr,idu
savest,i	saves,t,i
predsednik,e	predsednik,e
nevladin,ih	nev,ladin,i,h
ekspert,ima	ekspert,ima
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skup,u
demokratski,h	demokratski,h
cilj,eva	ciljeva
pun,og	puno,g
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	civiliz,ovan,u
održiv,a	održiv,a
april,u	april,u
visok,ih	visokih
zvaničnik,a	zvaničnik,a
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,bljen,u
profesor,ima	profesor,ima
studentski,m	studentsk,i,m
kampus,e	kamp,use
protest,a	protest,a
osiguran,u	osiguran,u
bulevar,om	bulevar,o,m
ratifikovan,og	rati,fikovan,o,g
univerzitet,ima	univerzitet,ima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	azila
nezabeležen,a	neza,beležena
glas,ovima	glasov,ima
konsenzus,u	kons,enz,usu
moguć,ih	mogućih
naslednik,a	naslednik,a
jorgos,a	jor,gos,a
papandreu,a	pap,andre,u,a
istorijski,m	istorijskim
osnažen,a	osnaž,ena
vođstvo,m	vođstv,o,m
skori,jim	skori,jim
neuspeh,om	n,eus,peh,o,m
mesec,ima	meseci,m,a
nekompetentnost,i	nekom,peten,tnosti
neefektivnost,i	ne,efektivnost,i
širok,om	široko,m
obrazovni,h	obrazovnih
akademski,h	akademski,h
protest,i	protest,i
povezan,e	povezane
levičarski,m	levi,čarsk,i,m
stranka,ma	stranka,m,a
mlad,ih	mladih
rektor,a	rektora
otvoren,i	otvoreni
aristotelov,og	aristotel,ovog
univerzitet,a	univerziteta
solun,u	solu,n,u
prav,o	pravo
prolongiran,o	prol,ong,irano
univerzitet,i	univerzitet,i
garantor,i	garant,ori
legalitet,a	legal,iteta
ustavnost,i	ustavno,sti
urban,i	urbani
britanski,h	britanski,h
diplomac,a	diploma,c,a
setimes,u	0,,,1,,,2,seti,mes,u
predavački,h	predava,čkih
london,a	london,a
univerzitetski,h	univerzitetsk,i,h
sistem,e	sisteme
razborit,a	razb,orit,a
zdrav,og	zdravo,g
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,izabran,a
glasački,h	glasa,čkih
listić,a	listi,äĩ,a
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studentsk,i,h
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spoj,ene
faza,ma	faza,m,a
narkotik,a	nar,kot,ika
balkan,u	balkanu
pokušaj,u	pokušaju
krijumčar,ima	krij,u,m,čari,m,a
dolar,a	dolara
krijumčar,a	krij,u,m,čara
analitičar,i	analitičar,i
naj,nov,ija	naj,novij,a
zdravstven,e	zdravstvene
krijumčar,i	krij,u,m,čari
sporazum,e	sporazum,e
izveštaj,u	izveštaju
put,eve	putev,e
podatak,a	podataka
američki,h	američkih
avganistanski,h	avg,anist,anskih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	albansk,i,m
vlast,ima	vlasti,m,a
heroin,a	hero,ina
prvi,h	prvih
promet,a	promet,a
poznat,i	poznati
mediteranski,m	mediteransk,i,m
promet,om	promet,o,m
izveštaj,ima	izveštajima
granica,ma	granicama
svoj,u	svoju
ivanov,u	ivanov,u
sopstven,u	sopstvenu
tranzit,a	tranzi,t,a
evropski,m	evropskim
partnerski,h	partners,kih
određen,a	određena
napad,a	napada
aktivist,i	aktivi,sti
nevladin,e	nev,ladin,e
star,u	star,u
rad,om	radom
planiran,og	planirano,g
metar,a	metara
volonter,i	vol,onte,r,i
dug,a	duga
starost,i	starosti
koji,m	kojim
aliani,ja	ali,anija
aliani,ju	ali,anij,u
grad,a	grada
savet,u	savetu
unesko,-u	0,,,1,,,2,,,3,,,4,,,5,une,sko,-,u
abdulah,u	abd,ula,h,u
gul,u	gul,u
njegov,ih	njegovih
rimski,h	rimsk,i,h
čvrst,u	čvrst,u
predviđen,om	predviđeno,m
plan,u	planu
otkriven,ih	otkriven,i,h
komad,i	komad,i
metal,i	metal,i
staklen,i	staklen,i
artefakt,i	arte,fakt,i
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pot,apanj,e,m
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	imper,atora
hadrijan,a	h,adri,jana
lekovit,og	lekovit,o,g
izvorski,m	izvor,skim
voda,ma	voda,m,a
lekovit,om	lekovit,o,m
stepen,i	stepeni
celzijus,a	cel,ziju,s,a
ukrašen,e	ukra,šen,e
čist,im	čisti,m
mermerni,m	mer,merni,m
kamen,om	kamen,o,m
zaštićen,im	zaštićeni,m
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običaj,i
pripadnik,a	pripadnika
brz,a	brz,a
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tužen,e
strah,a	strah,a
maltretiranje,m	malt,reti,ranjem
pošten,a	pošte,na
rom,a	roma
ljudski,m	ljudskim
žrtva,ma	žrtva,m,a
sektor,u	sektoru
ombudsman,om	omb,uds,mano,m
telesni,h	telesn,i,h
grub,o	grub,o
potpun,og	potpuno,g
ombudsman,a	omb,uds,mana
iđet,a	iđe,t,a
memeti,ja	mem,eti,j,a
delevoa,a	dele,voa,a
kazneni,h	kazne,nih
tok,u	toku
policajac,a	polic,aja,c,a
navrat,a	nav,rata
prekid,a	prekida
posmatrač,a	posmatrač,a
izbeglica,ma	izbeglica,m,a
tbilisi,ja	t,bili,sija
posmatrač,e	posmatrač,e
odmetnut,u	odm,etnu,t,u
čas,a	čas,a
sukob,a	sukoba
šef,ovi	šef,ovi
uobičajen,e	uobičajen,e
rus,i	rusi
položaj,e	položaj,e
odmetnut,oj	odm,etnu,toj
velik,om	velikom
sam,u	sam,u
sam,e	same
prizor,i	priz,ori
ruski,h	ruskih
tenk,ova	ten,kova
oebs,-a	0,,,1,,,2,,,3,o,e,bs,-,a
teren,u	terenu
ko,me	kome
moguć,oj	moguć,o,j
šef,ova	šef,ova
avinjon,u	avin,jon,u
istočnoevropski,h	istočno,evropskih
njen,ih	njenih
implikacija,ma	implikacij,ama
savez,a	saveza
plan,a	plana
napad,e	napad,e
siromaštvo,m	siromaštv,o,m
grk,a	g,rka
vest,ima	vesti,m,a
nivo,a	nivoa
slom,a	slo,m,a
kontinent,u	kontinent,u
uticaj,u	uticaju
rumun,a	rumun,a
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
bazel,a	baze,l,a
farmaceutski,h	farmaceutsk,i,h
proizvod,a	proizvoda
zemun,u	zemun,u
projekt,u	projektu
forum,u	forum,u
margina,ma	margina,m,a
savet,a	saveta
gas,a	gasa
basen,a	bas,ena
detalj,e	detalj,e
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrijski,m
sektor,ima	sektor,ima
profit,a	profita
porez,i	porez,i
odmor,e	odmor,e
vladin,ih	vladin,i,h
vaterpolist,i	vate,r,polis,t,i
neporažen,i	nepo,raženi
emanuil,a	eman,u,ila
milonakis,a	milo,nak,isa
peking,u	pek,ing,u
gol,a	gola
stil,u	stil,u
protivnik,a	protivnik,a
šeref,a	å¡,ere,f,a
eroglu,a	ero,glu,a
kilogram,a	kilograma
čeh,a	äį,eha
marek,a	mar,eka
švec,a	å¡,vec,a
ženski,m	ženski,m
eliminacija,ma	eliminacij,ama
nozadze,a	noz,adz,e,a
vreme,nom	vremenom
tenis,u	tenis,u
kong,a	kong,a
tvrd,oj	tvrd,o,j
gol,ova	golo,v,a
teg,ova	tego,v,a
muški,h	muški,h
mešovit,im	mešovit,i,m
stil,om	stilo,m
takmičar,a	takmičar,a
rvač,i	rva,äį,i
meč,u	meč,u
slatkiš,a	slat,kiš,a
mraz,a	mra,z,a
pregled,u	pregled,u
sport,a	sporta
njegov,om	njegovom
film,u	filmu
mraz,om	mra,zom
vilenjak,om	vile,njak,o,m
svoj,a	svoja
trg,a	trg,a
karusel,a	kar,use,l,a
velik,oj	velikoj
trg,u	trg,u
klub,a	kluba
albanski,h	albansk,i,h
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	ord,enom
majstor,a	majstor,a
fuad,a	f,u,ada
muzurović,a	muz,uro,vića
selektor,a	selekt,ora
blaž,a	blaž,a
slišković,a	sli,škovi,äĩ,a
loš,eg	loše,g
kvalifikacija,ma	kvalifikacija,m,a
savremen,e	savremene
rad,ova	radova
slikar,a	slikar,a
tematski,h	tematski,h
ciklus,a	ciklusa
pariz,u	parizu
kfor,-a	0,,,1,,,2,,,3,k,for,-,a
srpski,m	srpskim
demonstrant,ima	demonstr,antim,a
etnički,m	etnički,m
vojnik,e	vojnik,e
podeljen,og	podeljen,o,g
naseljen,ih	naseljen,i,h
sukob,i	sukob,i
izveštaj,a	izveštaja
granata,ma	granat,ama
unmik,-a	0,,,1,,,2,,,3,,,4,u,n,mik,-,a
sever,u	sever,u
kfor,-u	0,,,1,,,2,,,3,k,for,-,u
snaga,ma	snaga,m,a
sud,a	suda
srpski,h	srpskih
demonstrant,i	demonstr,anti
razgovor,e	razgovor,e
kompleks,u	kompleks,u
nered,a	nere,d,a
februar,a	februara
un,-u	0,,,1,u,n,-,u
kosovski,m	kosovsk,i,m
napet,a	nap,eta
pun,oj	puno,j
pripadnik,e	pripadnik,e
prepad,u	prep,adu
okupljen,e	okupljen,e
povređen,i	povređen,i
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	poljsk,i,h
izvor,i	izvori
šef,a	šef,a
pokušaj,i	pokušaj,i
nadležnost,i	nadležnosti
slobodan,om	slobodan,o,m
samardžić,em	sama,r,dži,ćem
isključiv,u	isključiv,u
napad,u	napad,u
red,a	reda
mikalis,a	mik,alis,a
krisohoides,a	kris,oho,ides,a
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	sprat,u
slatkiš,ima	slat,kiš,ima
uvijen,i	uvi,jeni
ruka,ma	rukama
dim,a	dima
vasilakisov,om	vasil,aki,sovo,m
prijatelj,a	prijatelja
dragocen,og	dragocen,o,g
incident,i	incident,i
grad,ove	gradov,e
bbc,-u	0,,,1,,,2,b,b,c,-,u
prst,om	prst,o,m
lista,ma	lista,m,a
terorist,a	terorist,a
moguć,eg	moguće,g
militant,ima	mili,tanti,m,a
grk,e	g,rke
norlmalnost,i	nor,l,malno,sti
naš,oj	našoj
sused,ima	sused,ima
turist,e	turist,e
netaknut,om	neta,knut,o,m
čist,om	čisto,m
srednjovekovni,m	srednjovekovni,m
ilirski,m	ili,rskim
ruševina,ma	rušev,inama
kampanja,ma	kampanj,ama
posvećivanje,m	posveć,ivanjem
prihod,a	prihoda
napor,i	napor,i
prihod,i	prihod,i
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	poziv,e
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	dostavlj,enu
miroljubiv,om	miro,ljubi,vom
miting,u	miti,ngu
đurčanj,a	đur,čanj,a
veče,ri	večer,i
rojters,a	roj,ters,a
ulica,ma	ulica,m,a
voden,e	voden,e
top,ove	topo,ve
demonstrant,e	demonstr,ante
fides,-a	0,,,1,,,2,,,3,,,4,f,ides,-,a
njihov,im	njihovim
poziv,ima	poziv,ima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinar,e
automobil,i	automobil,i
bdp,-a	0,,,1,,,2,b,d,p,-,a
porez,e	porez,e
planiran,e	planiran,e
zdravstven,om	zdravstveno,m
visok,om	visokom
sud,om	sudo,m
zločin,e	zločin,e
nato,-u	0,,,1,,,2,,,3,nato,-,u
glavni,h	glavnih
prioritet,a	prioritet,a
tribunal,om	tribunal,o,m
mksj,-u	0,,,1,,,2,,,3,m,k,s,j,-,u
počinjen,e	počinje,ne
devedeseti,h	devedesetih
njegov,i	njegovi
hag,u	h,agu
visok,a	visoka
general,a	general,a
njihov,e	njihove
sukob,u	sukob,u
bosanski,h	bosansk,i,h
rim,u	rim,u
zid,a	zida
miloševićev,ih	milošević,evi,h
sledbenik,a	sled,benika
konsenzus,om	kons,enz,u,som
boris,a	boris,a
tadić,a	tadi,äĩ,a
vojislav,a	vojislav,a
niš,u	nišu
jug,u	jug,u
izveštaj,e	izveštaje
tribunal,a	tribunal,a
beograd,a	beograda
mogućnost,i	mogućnosti
dogovor,a	dogovor,a
srebrn,i	srebrn,i
predmet,i	predmeti
japan,u	japan,u
kup,a	kupa
uzastopni,m	uza,stop,nim
izložba,ma	izložba,m,a
zamenik,a	zamenik,a
srebrn,ih	srebrn,i,h
antički,h	antički,h
predmet,a	predmeta
predmet,e	predmet,e
pronađen,e	pronađen,e
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,struk,a
problem,a	problema
koleno,m	kole,nom
jirgen,a	j,i,rgen,a
melcer,a	mel,cer,a
turnir,a	turnir,a
mec,u	m,ecu
mons,u	mons,u
aleks,a	aleksa
bogdanović,a	bogdan,ovića
balkanski,h	balkanski,h
pisac,a	pisac,a
dobitnik,a	dobit,nika
nobelov,e	n,obel,ove
andrić,a	andrić,a
travnik,u	trav,niku
čitanje,m	čitanje,m
travnik,a	trav,nika
film,a	filma
dokument,a	dokumenta
rukopis,i	rukopis,i
magazin,i	magazin,i
vek,a	veka
mlad,e	mlade
pirot,u	pirot,u
inspirisan,a	inspirisan,a
poslanik,u	poslanik,u
statut,u	statut,u
radikal,a	radikala
irački,m	irač,kim
novinar,em	novinar,e,m
džordž,a	džordž,a
buš,a	b,uša
obrazloženje,m	obrazložen,jem
režim,u	režimu
medij,i	mediji
cirkus,om	cirku,som
glasnogovornik,a	glasno,govornika
poslanik,e	poslanik,e
jeftin,i	jeftin,i
poen,i	poe,n,i
poslovnik,a	poslovni,k,a
kraj,u	kraju
rajko,m	rajk,o,m
kuzmanović,em	k,uzm,anović,e,m
način,e	načine
cilj,u	cilju
skor,ije	skori,j,e
škundrić,em	šku,ndri,ćem
neki,h	nekih
skor,u	skor,u
podeljen,im	podeljen,i,m
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	težnj,ama
đorge,m	đor,g,em
ivanov,im	ivanov,i,m
odnos,i	odnosi
brazil,om	brazil,o,m
iran,a	irana
hrabrost,i	hrabrost,i
dubok,e	dubok,e
zabrinutost,i	zabrinutost,i
stons,i	ston,s,i
mik,u	mik,u
džeger,u	dže,ger,u
stons,ima	ston,sima
mešovit,ih	mešovit,i,h
par,ova	paro,v,a
vimbldon,u	vim,b,l,don,u
gitarist,om	gita,risto,m
kit,om	kit,o,m
ričards,om	riča,r,d,som
sklop,u	sklopu
stons,a	ston,s,a
obožavalac,a	obo,žava,laca
koncert,u	koncert,u
sat,a	sata
trabzon,u	tra,b,zon,u
luk,om	luko,m
fudbal,u	fudbal,u
vimbldon,a	vim,b,l,dona
par,ovima	paro,vima
jonas,a	jona,s,a
bjorkman,a	b,jork,mana
poraz,a	poraz,a
sliven,a	sliv,ena
umetnik,a	umetnika
mok,-a	0,,,1,,,2,mok,-,a
siti,ju	siti,j,u
akropolj,a	akro,polja
arhitekt,a	arhitekt,a
njen,oj	njenoj
mermer,e	mer,mere
partenon,a	part,eno,na
projektovan,e	projektovan,e
sanduk,e	sand,uke
punjen,e	punjen,e
velik,og	velikog
arhitekt,om	arhitekto,m
muzej,a	muzeja
bernar,om	ber,naro,m
čumi,jem	äį,umi,jem
ambasador,a	ambasador,a
artikal,a	artik,ala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnost,i
antikvitet,a	antik,vite,t,a
metal,a	metala
sanduk,a	sand,uka
nadzor,om	nadzor,o,m
inženjer,a	inženjer,a
kostas,a	kost,asa
zambas,a	zam,bas,a
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagra,điva,n,i
bernar,a	ber,nara
čumi,ja	äį,umi,j,a
njujork,u	njujorku
staklen,a	staklen,a
stub,ovima	stub,ovima
kvadratni,h	kvadrat,nih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	antik,vite,t,i
privremen,i	privremeni
velik,a	velika
međusprat,u	među,sprat,u
staklen,om	staklen,o,m
njihov,u	njihovu
partenon,u	part,eno,n,u
vek,ova	vekov,a
hram,a	hram,a
akropolj,u	akro,polju
odnos,u	odnosu
stub,ove	stub,ove
savršenost,i	savršeno,sti
moj,ih	moj,i,h
svojstven,o	svojstven,o
postepen,o	postepeno
