jeremić,a	jere,mića
jun,u	junu
poziv,u	pozivu
saobraćaj,a	saobraćaja
razlog,a	razloga
brisel,u	briselu
postavljen,e	postavljene
cilj,eve	ciljeve
zagreb,a	zagreba
velik,e	velike
premijer,om	premijerom
ivo,m	i,vom
sanader,om	sa,na,de,rom
uslov,om	uslovom
razgovor,u	razgovoru
ren,om	re,nom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	sporu
samit,a	sami,ta
makedonski,m	makedo,nskim
branko,m	bran,kom
crvenkovski,m	cr,ven,kov,skim
gruevski,m	gru,ev,skim
sekretar,om	sekreta,rom
nato,-om	nato,-,om
jap,om	ja,pom
hop,om	ho,pom
shefer,om	she,ferom
pomenut,i	pomenuti
nepromenjen,i	neprome,njeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	liderima
izaslanik,om	izasla,nikom
un,-a	un,-,a
metju,om	me,tju,om
nimic,om	ni,mi,com
vođa,ma	vođa,ma
nimicov,ih	ni,mi,co,vih
predlog,a	predloga
prevremen,e	pre,vremene
izbor,e	izbore
vikend,a	vikenda
makedonski,h	makedo,nskih
spor,a	spora
okrilje,m	okriljem
obostran,o	obostrano
prihvatljiv,o	prihvatljivo
osumnjičen,ih	osumnjičenih
sukob,e	sukobe
napad,om	napadom
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnji,čene
neidentifikovan,a	ne,identi,fikovana
povezanost,i	povezanosti
teroristički,m	teroristi,čkim
akcija,ma	akcijama
sarajevski,m	sara,jev,skim
kvart,ovima	kvar,tovima
eksploziv,a	eksplo,ziva
mart,u	martu
hapšenje,m	hap,šenjem
dokaz,a	dokaza
martovski,m	mar,tov,skim
uređaj,e	uređaje
crtež,e	crte,že
priručnik,e	priru,čni,ke
uređaj,a	uređaja
detonator,e	de,tona,tore
osumnjičen,i	osumnjičeni
povezan,i	povezani
pokret,om	pokretom
navodni,h	navod,nih
mirsad,om	mi,rsa,dom
bektašević,em	be,kta,ševi,ćem
teroristički,h	terorističkih
vatren,og	vatrenog
jusuf,a	ju,su,fa
barčić,a	bar,čića
ko,ga	koga
katolički,h	katoli,čkih
razvoj,u	razvoju
izvoznik,e	izvo,zni,ke
kilometar,a	kilometara
koman,a	ko,mana
problem,u	problemu
deklarisan,u	dekla,risa,nu
kosovski,h	kosovskih
izvoznik,a	izvoz,nika
izvoz,a	izvoza
proizvod,i	proizvodi
skup,lji	skuplji
direktor,a	direktora
nedeklarisan,a	nede,kla,risana
sumnjiv,a	sumnji,va
potpun,o	potpuno
carinski,h	carinskih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	recipro,citeta
reciprocitet,om	recipro,ci,tetom
pomoć,i	pomoći
grčki,h	grčkih
brod,ovima	brodovima
aktivist,a	aktivista
velik,im	velikim
korak,om	korakom
kapetan,a	kapetana
brod,ova	brodova
nov,u	novu
osnov,u	osnovu
život,e	živote
putnik,a	putnika
novinar,a	novinara
pritvor,u	pritvoru
konvoj,a	kon,voja
maj,u	maju
turski,h	turskih
grčki,m	grčkim
stran,im	stranim
zastava,ma	zastava,ma
protest,e	proteste
propalestinski,h	propa,le,sti,nskih
izrael,a	izraela
problem,e	probleme
film,ova	filmova
džejms,om	džejm,som
bond,om	bon,dom
izrael,om	izra,elom
odnos,a	odnosa
damask,a	dama,ska
norma,ma	normama
bliskoistočni,h	blisko,isto,čnih
mirovni,h	mirovnih
posrednik,a	posrednika
kanal,a	kanala
uspostavljen,m	uspostavljen,m
kopnen,im	kopne,nim
prelaz,ima	prelazima
kompromis,a	kompromisa
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatlji,vi
izrael,u	izraelu
jul,u	julu
dvostruk,i	dvostruki
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijemu
član,ove	članove
kor,a	kora
jak,om	jakom
vest,i	vesti
brisel,a	brisela
zelen,o	zeleno
promena,ma	promenama
reformski,h	refor,mskih
članica,ma	članicama
lider,i	lideri
jedinstven,o	jedinstveno
porast,u	porastu
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predstoje,ćim
forum,a	foruma
unesko,-a	une,sko,-,a
pokrovitelj,i	pokrovi,telji
avgust,a	avgusta
grad,u	gradu
ohrid,u	ohri,du
savest,i	savesti
predsednik,e	predsedni,ke
nevladin,ih	nevladinih
ekspert,ima	eksperti,ma
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skupu
demokratski,h	demokratskih
cilj,eva	ciljeva
pun,og	punog
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	civili,zovanu
održiv,a	održi,va
april,u	aprilu
visok,ih	visokih
zvaničnik,a	zvaničnika
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,blje,nu
profesor,ima	profesorima
studentski,m	student,skim
kampus,e	kampu,se
protest,a	protesta
osiguran,u	osigu,ranu
bulevar,om	buleva,rom
ratifikovan,og	rati,fikovanog
univerzitet,ima	univerzitetima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	azila
nezabeležen,a	neza,bele,žena
glas,ovima	glaso,vima
konsenzus,u	konsenzu,su
moguć,ih	mogućih
naslednik,a	naslednika
jorgos,a	jor,gosa
papandreu,a	papa,ndre,ua
istorijski,m	istorijskim
osnažen,a	osna,žena
vođstvo,m	vođstvom
skori,jim	sko,riji,m
neuspeh,om	neuspe,hom
mesec,ima	mesecima
nekompetentnost,i	nekom,pete,ntnosti
neefektivnost,i	nee,fe,ktivnosti
širok,om	širokom
obrazovni,h	obrazovnih
akademski,h	akademskih
protest,i	protesti
povezan,e	povezane
levičarski,m	levi,čarskim
stranka,ma	strankama
mlad,ih	mladih
rektor,a	re,ktora
otvoren,i	otvoreni
aristotelov,og	aristo,telo,vog
univerzitet,a	univerziteta
solun,u	solunu
prav,o	pravo
prolongiran,o	pro,longi,rano
univerzitet,i	univerzi,teti
garantor,i	garan,tori
legalitet,a	lega,liteta
ustavnost,i	ustavnosti
urban,i	urbani
britanski,h	britanskih
diplomac,a	diploma,ca
setimes,u	se,time,su
predavački,h	preda,vačkih
london,a	londona
univerzitetski,h	univerzitet,skih
sistem,e	sisteme
razborit,a	razbo,rita
zdrav,og	zdravog
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,iza,brana
glasački,h	glasa,čkih
listić,a	listića
povezan,ih	povezanih
izbor,u	izboru
studentski,h	studentskih
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spo,jene
faza,ma	fazama
narkotik,a	narkotika
balkan,u	balkanu
pokušaj,u	pokušaju
krijumčar,ima	krijum,čarima
dolar,a	dolara
krijumčar,a	krijum,čara
analitičar,i	analitičari
naj,nov,ija	najnovija
zdravstven,e	zdravstvene
krijumčar,i	krijum,čari
sporazum,e	sporazume
izveštaj,u	izveštaju
put,eve	puteve
podatak,a	podataka
američki,h	američkih
avganistanski,h	av,ganista,nskih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	alban,skim
vlast,ima	vlastima
heroin,a	hero,ina
prvi,h	prvih
promet,a	prometa
poznat,i	poznati
mediteranski,m	mediteran,skim
promet,om	prome,tom
izveštaj,ima	izveštajima
granica,ma	granicama
svoj,u	svoju
ivanov,u	i,vano,vu
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partnerskih
određen,a	određena
napad,a	napada
aktivist,i	aktivisti
nevladin,e	nevladine
star,u	staru
rad,om	radom
planiran,og	planiranog
metar,a	metara
volonter,i	volon,teri
dug,a	duga
starost,i	starosti
koji,m	kojim
aliani,ja	a,lia,nija
aliani,ju	a,lia,niju
grad,a	grada
savet,u	savetu
unesko,-u	une,sko,-,u
abdulah,u	ab,dula,hu
gul,u	gu,lu
njegov,ih	njegovih
rimski,h	rimskih
čvrst,u	čvrstu
predviđen,om	predviđenom
plan,u	planu
otkriven,ih	otkri,venih
komad,i	komadi
metal,i	metali
staklen,i	stakle,ni
artefakt,i	artefa,kti
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pota,panjem
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	impera,tora
hadrijan,a	had,rijana
lekovit,og	lekovitog
izvorski,m	izvor,skim
voda,ma	vodama
lekovit,om	lekovi,tom
stepen,i	stepeni
celzijus,a	cel,ziju,sa
ukrašen,e	ukra,šene
čist,im	čistim
mermerni,m	mer,mernim
kamen,om	kamenom
zaštićen,im	zaštićenim
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običaji
pripadnik,a	pripadnika
brz,a	brza
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tu,žene
strah,a	straha
maltretiranje,m	maltreti,ranjem
pošten,a	po,štena
rom,a	roma
ljudski,m	ljudskim
žrtva,ma	žrtvama
sektor,u	sektoru
ombudsman,om	om,bud,sma,nom
telesni,h	telesnih
grub,o	grubo
potpun,og	potpunog
ombudsman,a	ombudsmana
iđet,a	i,đe,ta
memeti,ja	me,me,tija
delevoa,a	de,levo,aa
kazneni,h	kazne,nih
tok,u	toku
policajac,a	policajaca
navrat,a	navrata
prekid,a	prekida
posmatrač,a	posmatrača
izbeglica,ma	izbeglicama
tbilisi,ja	t,bili,sija
posmatrač,e	posmatra,če
odmetnut,u	od,met,nu,tu
čas,a	časa
sukob,a	sukoba
šef,ovi	še,fovi
uobičajen,e	uobičajene
rus,i	rusi
položaj,e	položaje
odmetnut,oj	od,met,nu,toj
velik,om	velikom
sam,u	samu
sam,e	same
prizor,i	pri,zori
ruski,h	ruskih
tenk,ova	tenkova
oebs,-a	oebs,-,a
teren,u	terenu
ko,me	kome
moguć,oj	mogućoj
šef,ova	še,fova
avinjon,u	avi,njo,nu
istočnoevropski,h	istočno,evropskih
njen,ih	njenih
implikacija,ma	implika,cijama
savez,a	saveza
plan,a	plana
napad,e	napade
siromaštvo,m	siroma,štvom
grk,a	grka
vest,ima	vestima
nivo,a	nivoa
slom,a	sloma
kontinent,u	kontinentu
uticaj,u	uticaju
rumun,a	rumu,na
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
bazel,a	ba,zela
farmaceutski,h	farmaceutskih
proizvod,a	proizvoda
zemun,u	zemunu
projekt,u	projektu
forum,u	forumu
margina,ma	margi,nama
savet,a	saveta
gas,a	gasa
basen,a	basena
detalj,e	detalje
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrijskim
sektor,ima	sektorima
profit,a	profita
porez,i	porezi
odmor,e	od,more
vladin,ih	vladinih
vaterpolist,i	vater,po,listi
neporažen,i	nepo,ra,ženi
emanuil,a	emanu,ila
milonakis,a	milo,na,ki,sa
peking,u	pekingu
gol,a	gola
stil,u	stilu
protivnik,a	protivnika
šeref,a	še,re,fa
eroglu,a	e,ro,glu,a
kilogram,a	kilograma
čeh,a	če,ha
marek,a	mare,ka
švec,a	šve,ca
ženski,m	ženskim
eliminacija,ma	elimina,cijama
nozadze,a	no,zad,ze,a
vreme,nom	vremenom
tenis,u	teni,su
kong,a	kon,ga
tvrd,oj	tvrdo,j
gol,ova	golova
teg,ova	te,gova
muški,h	muških
mešovit,im	mešovi,tim
stil,om	stilom
takmičar,a	takmičara
rvač,i	rva,či
meč,u	meču
slatkiš,a	slatki,ša
mraz,a	mra,za
pregled,u	pregledu
sport,a	sporta
njegov,om	njegovom
film,u	filmu
mraz,om	mra,zom
vilenjak,om	vile,nja,kom
svoj,a	svoja
trg,a	trga
karusel,a	ka,ru,sela
velik,oj	velikoj
trg,u	trgu
klub,a	kluba
albanski,h	albanskih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	or,denom
majstor,a	majstora
fuad,a	fu,ada
muzurović,a	mu,zu,rovića
selektor,a	selektora
blaž,a	bla,ža
slišković,a	sli,škovića
loš,eg	lošeg
kvalifikacija,ma	kvalifikacijama
savremen,e	savremene
rad,ova	radova
slikar,a	slikara
tematski,h	tematskih
ciklus,a	ciklusa
pariz,u	parizu
kfor,-a	kfor,-,a
srpski,m	srpskim
demonstrant,ima	demonstran,tima
etnički,m	etničkim
vojnik,e	vojnike
podeljen,og	pode,ljenog
naseljen,ih	naseljenih
sukob,i	sukobi
izveštaj,a	izveštaja
granata,ma	granata,ma
unmik,-a	un,mik,-,a
sever,u	severu
kfor,-u	kfor,-,u
snaga,ma	snagama
sud,a	suda
srpski,h	srpskih
demonstrant,i	demonstran,ti
razgovor,e	razgovore
kompleks,u	kompleksu
nered,a	nereda
februar,a	februara
un,-u	un,-,u
kosovski,m	kosov,skim
napet,a	nape,ta
pun,oj	punoj
pripadnik,e	pripadnike
prepad,u	prepa,du
okupljen,e	okup,ljene
povređen,i	povre,đeni
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	polj,skih
izvor,i	izvori
šef,a	šefa
pokušaj,i	pokušaji
nadležnost,i	nadležnosti
slobodan,om	sloboda,nom
samardžić,em	sama,rdži,ćem
isključiv,u	isključi,vu
napad,u	napadu
red,a	reda
mikalis,a	mika,lisa
krisohoides,a	kri,so,ho,ide,sa
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	spratu
slatkiš,ima	slatki,šima
uvijen,i	u,vije,ni
ruka,ma	rukama
dim,a	dima
vasilakisov,om	va,sila,ki,sovom
prijatelj,a	prijatelja
dragocen,og	dragoce,nog
incident,i	incide,nti
grad,ove	gradove
bbc,-u	bbc,-,u
prst,om	pr,stom
lista,ma	listama
terorist,a	terorista
moguć,eg	mogućeg
militant,ima	milita,ntima
grk,e	g,rke
norlmalnost,i	nor,l,ma,lnosti
naš,oj	našoj
sused,ima	susedima
turist,e	turiste
netaknut,om	netak,nu,tom
čist,om	čistom
srednjovekovni,m	srednjoveko,vnim
ilirski,m	ili,rskim
ruševina,ma	ruše,vinama
kampanja,ma	kampa,njama
posvećivanje,m	posve,ći,vanjem
prihod,a	prihoda
napor,i	napori
prihod,i	prihodi
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	pozive
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	do,stavljenu
miroljubiv,om	miro,ljubi,vom
miting,u	mi,tin,gu
đurčanj,a	đur,čanja
veče,ri	večeri
rojters,a	roj,ter,sa
ulica,ma	ulicama
voden,e	vodene
top,ove	to,pove
demonstrant,e	demonstran,te
fides,-a	fi,de,s,-,a
njihov,im	njihovim
poziv,ima	pozi,vima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinare
automobil,i	automobili
bdp,-a	bdp,-,a
porez,e	poreze
planiran,e	planirane
zdravstven,om	zdravstvenom
visok,om	visokom
sud,om	sudom
zločin,e	zločine
nato,-u	nato,-,u
glavni,h	glavnih
prioritet,a	prioriteta
tribunal,om	tribu,na,lom
mksj,-u	m,ks,j,-,u
počinjen,e	poči,njene
devedeseti,h	devedesetih
njegov,i	njegovi
hag,u	hagu
visok,a	visoka
general,a	generala
njihov,e	njihove
sukob,u	sukobu
bosanski,h	bosa,nskih
rim,u	rimu
zid,a	zida
miloševićev,ih	miloše,viće,vih
sledbenik,a	sledbenika
konsenzus,om	konsenzu,som
boris,a	borisa
tadić,a	tadića
vojislav,a	vojislava
niš,u	nišu
jug,u	jugu
izveštaj,e	izveštaje
tribunal,a	tribunala
beograd,a	beograda
mogućnost,i	mogućnosti
dogovor,a	dogovora
srebrn,i	sreb,rni
predmet,i	predmeti
japan,u	japanu
kup,a	kupa
uzastopni,m	uzastop,nim
izložba,ma	izlo,žbama
zamenik,a	zamenika
srebrn,ih	sreb,rnih
antički,h	antičkih
predmet,a	predmeta
predmet,e	predmete
pronađen,e	pronađene
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,stru,ka
problem,a	problema
koleno,m	kole,nom
jirgen,a	j,ir,gena
melcer,a	mel,cera
turnir,a	turnira
mec,u	me,cu
mons,u	mon,su
aleks,a	aleksa
bogdanović,a	bogda,novića
balkanski,h	balkanskih
pisac,a	pisaca
dobitnik,a	dobi,tnika
nobelov,e	nobelove
andrić,a	andrića
travnik,u	tra,vniku
čitanje,m	čitanjem
travnik,a	tra,vnika
film,a	filma
dokument,a	dokumenta
rukopis,i	ruko,pisi
magazin,i	maga,zini
vek,a	veka
mlad,e	mlade
pirot,u	pirotu
inspirisan,a	inspi,risana
poslanik,u	posla,niku
statut,u	statu,tu
radikal,a	radikala
irački,m	ira,čkim
novinar,em	novina,rem
džordž,a	džordža
buš,a	bu,ša
obrazloženje,m	obrazlože,njem
režim,u	režimu
medij,i	mediji
cirkus,om	cirku,som
glasnogovornik,a	glasno,govor,nika
poslanik,e	poslanike
jeftin,i	jefti,ni
poen,i	poe,ni
poslovnik,a	poslo,vnika
kraj,u	kraju
rajko,m	raj,kom
kuzmanović,em	kuzma,novićem
način,e	načine
cilj,u	cilju
skor,ije	skorije
škundrić,em	š,ku,ndri,ćem
neki,h	nekih
skor,u	sko,ru
podeljen,im	pode,ljenim
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	težnja,ma
đorge,m	đor,ge,m
ivanov,im	i,vano,vim
odnos,i	odnosi
brazil,om	bra,zi,lom
iran,a	irana
hrabrost,i	hrabrosti
dubok,e	duboke
zabrinutost,i	zabrinutosti
stons,i	sto,nsi
mik,u	mi,ku
džeger,u	dže,ge,ru
stons,ima	sto,nsi,ma
mešovit,ih	mešovitih
par,ova	parova
vimbldon,u	vimbl,do,nu
gitarist,om	gitari,stom
kit,om	ki,tom
ričards,om	ričard,som
sklop,u	sklopu
stons,a	s,ton,sa
obožavalac,a	obo,žavala,ca
koncert,u	koncertu
sat,a	sata
trabzon,u	tra,b,zonu
luk,om	lu,kom
fudbal,u	fudbalu
vimbldon,a	vimbl,dona
par,ovima	parovima
jonas,a	jona,sa
bjorkman,a	b,jork,mana
poraz,a	poraza
sliven,a	sli,vena
umetnik,a	umetnika
mok,-a	mo,k,-,a
siti,ju	si,tiju
akropolj,a	a,kro,polja
arhitekt,a	arhitekta
njen,oj	njenoj
mermer,e	me,rme,re
partenon,a	par,teno,na
projektovan,e	projekto,vane
sanduk,e	sandu,ke
punjen,e	pu,njene
velik,og	velikog
arhitekt,om	arhite,ktom
muzej,a	muzeja
bernar,om	ber,na,rom
čumi,jem	ču,mi,jem
ambasador,a	ambasadora
artikal,a	artikala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnosti
antikvitet,a	anti,kvi,teta
metal,a	metala
sanduk,a	sandu,ka
nadzor,om	nadzorom
inženjer,a	inženjera
kostas,a	kosta,sa
zambas,a	za,mba,sa
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagra,đivani
bernar,a	ber,nara
čumi,ja	ču,mija
njujork,u	njujorku
staklen,a	stakle,na
stub,ovima	stu,bovima
kvadratni,h	kvadratnih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	anti,kvi,teti
privremen,i	privremeni
velik,a	velika
međusprat,u	među,spra,tu
staklen,om	stakle,nom
njihov,u	njihovu
partenon,u	par,teno,nu
vek,ova	vekova
hram,a	hrama
akropolj,u	a,kro,polju
odnos,u	odnosu
stub,ove	stu,bove
savršenost,i	savrše,nosti
moj,ih	mojih
svojstven,o	svoj,stveno
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muzeju
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	impresioni,rani
mermer,a	mer,mera
ime,nom	imenom
elginov,i	el,gi,novi
skulpturni,h	skulp,tu,rnih
mermer,ima	me,rme,rima
friz,a	fri,za
uzeti,h	uze,tih
zabat,a	zaba,ta
erehtejon,a	e,re,hte,jona
fragment,e	frag,mente
nov,om	novom
liven,im	li,venim
zamena,ma	zamena,ma
kontinuitet,a	kontinuiteta
njen,og	njenog
mandat,a	mandata
organizacija,ma	organizacijama
bugarski,h	bugarskih
mastriht,u	ma,stri,h,tu
određen,im	određenim
broj,em	brojem
beč,u	beču
ministar,a	ministara
nato,-a	nato,-,a
vankuver,a	van,ku,vera
vladivostok,a	vladi,vo,sto,ka
dokument,ima	dokumentima
obračun,u	obračunu
pretnja,ma	pretnjama
sigurnost,i	sigurnosti
materijal,ima	materijalima
format,u	formatu
zločin,a	zločina
prevremen,i	pre,vremeni
tržišni,h	tržišnih
postignut,og	postignu,tog
održiv,og	održivog
konflikt,a	konflikta
jap,a	japa
hop,a	ho,pa
šefer,a	še,fera
pasi,ja	pa,sija
širok,e	široke
plakat,a	pla,kata
birač,a	birača
kandidat,e	kandidate
kandidat,i	kandidati
skup,ove	skupove
plav,o	plavo
crven,e	crvene
pobednik,u	pobe,dniku
širok,a	široka
pokazatelj,a	pokazatelja
žestok,a	žesto,ka
bilbord,e	bil,bor,de
podeljen,e	podeljene
crven,o	crveno
plav,oj	pla,voj
crven,oj	crve,noj
formulisan,a	formulisa,na
hdz,-u	hd,z,-,u
pomoćnik,a	pomoćnika
sanader,a	sa,na,dera
jurčić,u	j,ur,čiću
donator,a	dona,tora
izborni,h	izbornih
poslanički,h	posla,ničkih
azil,u	azi,lu
sudan,a	su,dana
veroispovest,i	veroispovesti
privatnost,i	privatnosti
katić,a	ka,tića
pasoš,em	paso,šem
zdravstven,u	zdravstvenu
pretendent,e	prete,nde,nte
