jeremić,a	jere,mića
pregovor,i	pregovori
pristup,u	pristupu
korak,e	korake
neki,m	nekim
jun,u	junu
poziv,u	pozivu
saobraćaj,a	saobraćaja
razlog,a	razloga
brisel,u	briselu
postavljen,e	postavljene
cilj,eve	ciljeve
zagreb,a	zagreba
velik,e	velike
premijer,om	premije,rom
ivo,m	i,vom
sanader,om	sa,na,de,rom
uslov,om	uslovom
razgovor,u	razgovoru
ren,om	re,nom
kriterijum,a	kriterijuma
poziv,a	poziva
spor,u	sporu
samit,a	sami,ta
makedonski,m	makedo,nskim
branko,m	bran,kom
crvenkovski,m	cr,ven,kov,skim
gruevski,m	gru,ev,skim
sekretar,om	sekreta,rom
nato,-om	nato,-,om
jap,om	ja,pom
hop,om	ho,pom
shefer,om	she,fe,rom
pomenut,i	pomenuti
nepromenjen,i	neprome,njeni
domen,u	domenu
sekretar,a	sekretara
lider,ima	li,derima
izaslanik,om	izasla,nikom
un,-a	un,-,a
metju,om	me,tju,om
nimic,om	ni,mi,com
vođa,ma	vođa,ma
nimicov,ih	ni,mi,co,vih
predlog,a	predloga
prevremen,e	pre,vremene
izbor,e	izbore
vikend,a	vikenda
makedonski,h	makedo,nskih
spor,a	spora
okrilje,m	okri,ljem
obostran,o	obo,strano
prihvatljiv,o	prihvat,ljivo
osumnjičen,ih	osumnji,čenih
sukob,e	sukobe
napad,om	napa,dom
unutrašnji,h	unutrašnjih
osumnjičen,e	osumnji,čene
neidentifikovan,a	ne,identi,fikovana
povezanost,i	povezanosti
teroristički,m	teroristi,čkim
akcija,ma	akcijama
sarajevski,m	sara,jev,skim
kvart,ovima	kvar,tovima
eksploziv,a	eksplo,ziva
mart,u	martu
hapšenje,m	hap,šenjem
dokaz,a	dokaza
martovski,m	mar,tov,skim
uređaj,e	uređaje
crtež,e	crte,že
priručnik,e	priru,čni,ke
uređaj,a	uređaja
detonator,e	de,tona,tore
osumnjičen,i	osumnji,čeni
povezan,i	povezani
pokret,om	pokre,tom
navodni,h	navod,nih
mirsad,om	mi,rsa,dom
bektašević,em	be,kta,ševi,ćem
teroristički,h	terorističkih
vatren,og	vatre,nog
jusuf,a	ju,su,fa
barčić,a	bar,čića
ko,ga	koga
katolički,h	katoli,čkih
razvoj,u	razvoju
izvoznik,e	izvo,zni,ke
kilometar,a	kilometara
koman,a	ko,mana
problem,u	problemu
deklarisan,u	dekla,risa,nu
kosovski,h	kosov,skih
izvoznik,a	izvoz,nika
izvoz,a	izvoza
proizvod,i	proizvodi
skup,lji	skup,lji
direktor,a	direktora
nedeklarisan,a	nede,kla,risana
sumnjiv,a	sumnji,va
potpun,o	potpuno
carinski,h	cari,nskih
proizvod,e	proizvode
njihov,om	njihovom
reciprocitet,a	recipro,ci,teta
reciprocitet,om	recipro,ci,tetom
pomoć,i	pomoći
grčki,h	grčkih
brod,ovima	bro,dovima
aktivist,a	aktivi,sta
velik,im	velikim
korak,om	kora,kom
kapetan,a	kape,tana
brod,ova	brodova
nov,u	novu
osnov,u	osnovu
život,e	živote
putnik,a	putnika
novinar,a	novinara
pritvor,u	pritvoru
konvoj,a	kon,voja
maj,u	maju
turski,h	turskih
grčki,m	gr,čkim
stran,im	stranim
zastava,ma	zastava,ma
protest,e	prote,ste
propalestinski,h	propa,le,sti,nskih
izrael,a	izraela
problem,e	probleme
film,ova	filmova
džejms,om	džejm,som
bond,om	bon,dom
izrael,om	izra,e,lom
odnos,a	odnosa
damask,a	da,ma,ska
norma,ma	normama
bliskoistočni,h	blisko,isto,čnih
mirovni,h	miro,vnih
posrednik,a	posrednika
kanal,a	kanala
uspostavljen,m	uspostavljen,m
kopnen,im	kopne,nim
prelaz,ima	prelazi,ma
kompromis,a	kompromi,sa
korišćenje,m	korišćenjem
postojeći,h	postojećih
prihvatljiv,i	prihvatlji,vi
izrael,u	izra,elu
jul,u	julu
dvostruk,i	dvostru,ki
proces,u	procesu
dan,a	dana
naš,e	naše
prijem,u	prijemu
član,ove	članove
kor,a	kora
jak,om	ja,kom
vest,i	vesti
brisel,a	brise,la
zelen,o	zele,no
promena,ma	promenama
reformski,h	refor,mskih
članica,ma	članicama
lider,i	lideri
jedinstven,o	jedinstveno
porast,u	porastu
pregovarački,h	pregovara,čkih
poen,a	poena
pokušaj,a	pokušaja
predstojeći,m	predstoje,ćim
forum,a	foruma
unesko,-a	une,sko,-,a
pokrovitelj,i	pokrovi,telji
avgust,a	avgusta
grad,u	gradu
ohrid,u	ohri,du
savest,i	sa,vesti
predsednik,e	predsedni,ke
nevladin,ih	nevladi,nih
ekspert,ima	eksperti,ma
jednakost,i	jednakosti
ljudski,h	ljudskih
radni,h	radnih
skup,u	skupu
demokratski,h	demokratskih
cilj,eva	ciljeva
pun,og	punog
različit,ih	različitih
etnički,h	etničkih
pripadnost,i	pripadnosti
civilizovan,u	civili,zovanu
održiv,a	održi,va
april,u	aprilu
visok,ih	visokih
zvaničnik,a	zvaničnika
nivo,u	nivou
naš,im	našim
oslabljen,u	osla,blje,nu
profesor,ima	profeso,rima
studentski,m	student,skim
kampus,e	ka,mpu,se
protest,a	protesta
osiguran,u	osigu,ranu
bulevar,om	bu,leva,rom
ratifikovan,og	rati,fikova,nog
univerzitet,ima	univerzitetima
škola,ma	školama
stepen,a	stepena
sistem,u	sistemu
visok,og	visokog
velik,u	veliku
status,a	statusa
azil,a	azila
nezabeležen,a	neza,bele,žena
glas,ovima	glaso,vima
konsenzus,u	konsenzu,su
moguć,ih	mogućih
naslednik,a	naslednika
jorgos,a	jor,go,sa
papandreu,a	papa,nd,re,ua
istorijski,m	istorijskim
osnažen,a	osna,žena
vođstvo,m	vođstvom
skori,jim	sko,riji,m
neuspeh,om	neuspe,hom
mesec,ima	mesecima
nekompetentnost,i	nekom,pete,ntnosti
neefektivnost,i	nee,fe,ktivnosti
širok,om	širokom
obrazovni,h	obrazovnih
akademski,h	akademskih
protest,i	prote,sti
povezan,e	povezane
levičarski,m	levi,čar,skim
stranka,ma	strankama
mlad,ih	mladih
rektor,a	re,ktora
otvoren,i	otvoreni
aristotelov,og	aristo,telo,vog
univerzitet,a	univerziteta
solun,u	solu,nu
prav,o	pravo
prolongiran,o	pro,lon,gi,rano
univerzitet,i	univerzi,teti
garantor,i	garan,tori
legalitet,a	lega,liteta
ustavnost,i	ustav,nosti
urban,i	urbani
britanski,h	britan,skih
diplomac,a	diploma,ca
setimes,u	se,time,su
predavački,h	preda,vačkih
london,a	londo,na
univerzitetski,h	univerzitet,skih
sistem,e	sisteme
razborit,a	razbo,rita
zdrav,og	zdravog
razum,a	razuma
ran,ih	ranih
osamdeseti,h	osamdesetih
novoizabran,a	novo,iza,brana
glasački,h	glasa,čkih
listić,a	listi,ća
povezan,ih	povezanih
izbor,u	izboru
studentski,h	student,skih
obavezan,o	obaveza,no
vreme,na	vremena
udžbenik,a	udžbenika
internet,u	internetu
spojen,e	spo,jene
faza,ma	fazama
narkotik,a	narko,tika
balkan,u	balkanu
pokušaj,u	pokušaju
krijumčar,ima	krijum,čarima
dolar,a	dolara
krijumčar,a	krijum,čara
analitičar,i	analiti,čari
naj,nov,ija	najnovi,ja
zdravstven,e	zdravstvene
krijumčar,i	krijum,čari
sporazum,e	sporazume
izveštaj,u	izveštaju
put,eve	puteve
podatak,a	podataka
američki,h	američkih
avganistanski,h	av,ganista,nskih
izvor,a	izvora
predložen,i	predloženi
januar,a	januara
albanski,m	alban,skim
vlast,ima	vlastima
heroin,a	hero,ina
prvi,h	prvih
promet,a	prometa
poznat,i	poznati
mediteranski,m	mediteran,skim
promet,om	prome,tom
izveštaj,ima	izveštajima
granica,ma	granicama
svoj,u	svoju
ivanov,u	i,vano,vu
sopstven,u	sopstvenu
tranzit,a	tranzi,ta
evropski,m	evropskim
partnerski,h	partner,skih
određen,a	određena
napad,a	napada
aktivist,i	aktivi,sti
nevladin,e	nevla,dine
star,u	staru
rad,om	radom
planiran,og	plani,ranog
metar,a	metara
volonter,i	volon,teri
dug,a	duga
starost,i	starosti
koji,m	kojim
aliani,ja	a,lia,nija
aliani,ju	a,lia,niju
grad,a	grada
savet,u	save,tu
unesko,-u	une,sko,-,u
abdulah,u	ab,dula,hu
gul,u	gu,lu
njegov,ih	njegovih
rimski,h	ri,mskih
čvrst,u	čvr,stu
predviđen,om	predvi,đenom
plan,u	planu
otkriven,ih	otkri,venih
komad,i	koma,di
metal,i	metali
staklen,i	stakle,ni
artefakt,i	arte,fa,kti
period,a	perioda
objekat,a	objekata
izvor,ima	izvorima
potapanje,m	pota,pa,njem
turist,a	turista
bog,a	boga
vek,u	veku
imperator,a	impera,tora
hadrijan,a	ha,d,rija,na
lekovit,og	lekovi,tog
izvorski,m	izvor,skim
voda,ma	vodama
lekovit,om	lekovi,tom
stepen,i	stepeni
celzijus,a	c,el,ziju,sa
ukrašen,e	ukra,šene
čist,im	či,stim
mermerni,m	mer,mer,nim
kamen,om	kame,nom
zaštićen,im	zašti,ćenim
trg,ovi	trgovi
slučaj,evi	slučajevi
važnost,i	važnosti
običaj,i	običa,ji
pripadnik,a	pripadnika
brz,a	brza
različit,i	različiti
javnost,i	javnosti
slučaj,eva	slučajeva
tužen,e	tu,žene
strah,a	straha
maltretiranje,m	maltreti,ranjem
pošten,a	po,štena
rom,a	roma
ljudski,m	ljudskim
žrtva,ma	žrtvama
sektor,u	sektoru
ombudsman,om	om,bu,d,sma,nom
telesni,h	telesnih
grub,o	grubo
potpun,og	potpunog
ombudsman,a	ombudsmana
iđet,a	i,đe,ta
memeti,ja	me,me,tija
delevoa,a	de,levo,aa
kazneni,h	kazne,nih
tok,u	toku
policajac,a	policajaca
navrat,a	navrata
prekid,a	prekida
posmatrač,a	posmatrača
izbeglica,ma	izbegli,cama
tbilisi,ja	t,bili,sija
posmatrač,e	posmatra,če
odmetnut,u	od,met,nu,tu
čas,a	časa
sukob,a	sukoba
šef,ovi	še,fo,vi
uobičajen,e	uobičajene
rus,i	rusi
položaj,e	položaje
odmetnut,oj	od,met,nu,toj
velik,om	velikom
sam,u	samu
sam,e	same
prizor,i	pri,zori
ruski,h	ruskih
tenk,ova	ten,kova
oebs,-a	oebs,-,a
teren,u	terenu
ko,me	kome
moguć,oj	moguć,oj
šef,ova	še,fova
avinjon,u	avi,njo,nu
istočnoevropski,h	istočno,evrop,skih
njen,ih	njenih
implikacija,ma	implika,cijama
savez,a	saveza
plan,a	plana
napad,e	napade
siromaštvo,m	siroma,štvom
grk,a	grka
vest,ima	ve,stima
nivo,a	nivoa
slom,a	slo,ma
kontinent,u	kontine,ntu
uticaj,u	uticaju
rumun,a	rumu,na
njihov,a	njihova
ispitanik,a	ispitanika
smer,a	smera
bazel,a	ba,zela
farmaceutski,h	farmaceut,skih
proizvod,a	proizvoda
zemun,u	zemunu
projekt,u	projektu
forum,u	forumu
margina,ma	margi,nama
savet,a	saveta
gas,a	gasa
basen,a	ba,sena
detalj,e	detalje
centar,a	centara
efikasnost,i	efikasnosti
zaposlen,e	zaposlene
industrijski,m	industrijskim
sektor,ima	sektorima
profit,a	profita
porez,i	pore,zi
odmor,e	od,more
vladin,ih	vladi,nih
vaterpolist,i	va,ter,po,listi
neporažen,i	nepo,ra,ženi
emanuil,a	emanu,ila
milonakis,a	milo,na,ki,sa
peking,u	pe,kingu
gol,a	gola
stil,u	stilu
protivnik,a	protivnika
šeref,a	še,re,fa
eroglu,a	e,ro,glu,a
kilogram,a	kilograma
čeh,a	če,ha
marek,a	ma,re,ka
švec,a	š,ve,ca
ženski,m	že,nskim
eliminacija,ma	eli,mina,cijama
nozadze,a	no,zad,ze,a
vreme,nom	vremenom
tenis,u	teni,su
kong,a	kon,ga
tvrd,oj	tvrdo,j
gol,ova	golova
teg,ova	te,gova
muški,h	muških
mešovit,im	mešovi,tim
stil,om	stilom
takmičar,a	takmičara
rvač,i	rva,či
meč,u	meču
slatkiš,a	slatki,ša
mraz,a	m,ra,za
pregled,u	pregledu
sport,a	sporta
njegov,om	njegovom
film,u	filmu
mraz,om	m,ra,zom
vilenjak,om	vile,nja,kom
svoj,a	svoja
trg,a	tr,ga
karusel,a	ka,ru,se,la
velik,oj	velikoj
trg,u	trgu
klub,a	kluba
albanski,h	alba,nskih
ličnost,i	ličnosti
umetnost,i	umetnosti
orden,om	or,denom
majstor,a	majstora
fuad,a	fu,a,da
muzurović,a	mu,zu,rovića
selektor,a	sele,ktora
blaž,a	bla,ža
slišković,a	sli,ško,vića
loš,eg	lošeg
kvalifikacija,ma	kvalifikacijama
savremen,e	savremene
rad,ova	radova
slikar,a	slikara
tematski,h	te,matskih
ciklus,a	ciklusa
pariz,u	parizu
kfor,-a	k,for,-,a
srpski,m	srpskim
demonstrant,ima	demon,stran,tima
etnički,m	etni,čkim
vojnik,e	voj,nike
podeljen,og	pode,ljenog
naseljen,ih	nase,ljenih
sukob,i	sukobi
izveštaj,a	izveštaja
granata,ma	gra,nata,ma
unmik,-a	un,mi,k,-,a
sever,u	severu
kfor,-u	k,for,-,u
snaga,ma	snagama
sud,a	suda
srpski,h	srpskih
demonstrant,i	demon,stran,ti
razgovor,e	razgovore
kompleks,u	kompleksu
nered,a	nere,da
februar,a	februara
un,-u	un,-,u
kosovski,m	kosov,skim
napet,a	nape,ta
pun,oj	punoj
pripadnik,e	pripadnike
prepad,u	pre,pa,du
okupljen,e	okup,ljene
povređen,i	povre,đeni
policijski,h	policijskih
kompleks,a	kompleksa
poljski,h	polj,skih
izvor,i	izvori
šef,a	šefa
pokušaj,i	pokušaji
nadležnost,i	nadležnosti
slobodan,om	sloboda,nom
samardžić,em	sama,rdži,ćem
isključiv,u	isključi,vu
napad,u	napadu
red,a	reda
mikalis,a	mi,ka,lisa
krisohoides,a	kri,so,ho,ide,sa
objekt,u	objektu
saradnik,a	saradnika
sat,i	sati
sprat,u	spratu
slatkiš,ima	slatki,šima
uvijen,i	u,vije,ni
ruka,ma	rukama
dim,a	di,ma
vasilakisov,om	va,sila,ki,sovom
prijatelj,a	prijatelja
dragocen,og	dragoce,nog
incident,i	incide,nti
grad,ove	gradove
bbc,-u	bbc,-,u
prst,om	pr,stom
lista,ma	lista,ma
terorist,a	terori,sta
moguć,eg	mogućeg
militant,ima	mili,ta,ntima
grk,e	g,rke
norlmalnost,i	nor,l,ma,lnosti
naš,oj	našoj
sused,ima	suse,dima
turist,e	turiste
netaknut,om	ne,tak,nu,tom
čist,om	či,stom
srednjovekovni,m	srednjoveko,vnim
ilirski,m	ili,rskim
ruševina,ma	ruše,vinama
kampanja,ma	kampa,njama
posvećivanje,m	posve,ći,vanjem
prihod,a	prihoda
napor,i	napori
prihod,i	prihodi
procvat,a	proc,vata
sektor,a	sektora
finansijski,h	finansijskih
poziv,e	pozi,ve
njegov,u	njegovu
parlament,a	parlamenta
red,om	redom
pad,a	pada
dostavljen,u	do,stavlje,nu
miroljubiv,om	miro,ljubi,vom
miting,u	mi,tin,gu
đurčanj,a	đur,čanja
veče,ri	večeri
rojters,a	roj,ter,sa
ulica,ma	ulicama
voden,e	vodene
top,ove	to,pove
demonstrant,e	demon,stran,te
fides,-a	fi,de,s,-,a
njihov,im	njihovim
poziv,ima	pozi,vima
izbor,i	izbori
ekonomski,m	ekonomskim
program,u	programu
novinar,e	novinare
automobil,i	auto,mobili
bdp,-a	bdp,-,a
porez,e	poreze
planiran,e	planirane
zdravstven,om	zdravstvenom
visok,om	visokom
sud,om	sudom
zločin,e	zločine
nato,-u	nato,-,u
glavni,h	glavnih
prioritet,a	prioriteta
tribunal,om	tribu,na,lom
mksj,-u	m,ks,j,-,u
počinjen,e	poči,njene
devedeseti,h	devedesetih
njegov,i	njegovi
hag,u	ha,gu
visok,a	visoka
general,a	generala
njihov,e	njihove
sukob,u	sukobu
bosanski,h	bosa,nskih
rim,u	rimu
zid,a	zida
miloševićev,ih	miloše,viće,vih
sledbenik,a	sledbe,nika
konsenzus,om	konsenzu,som
boris,a	borisa
tadić,a	ta,dića
vojislav,a	voji,slava
niš,u	nišu
jug,u	jugu
izveštaj,e	izveštaje
tribunal,a	tribu,nala
beograd,a	beograda
mogućnost,i	mogućnosti
dogovor,a	dogovora
srebrn,i	sreb,rni
predmet,i	predmeti
japan,u	japanu
kup,a	kupa
uzastopni,m	uzastop,nim
izložba,ma	izlo,žbama
zamenik,a	zamenika
srebrn,ih	sreb,rnih
antički,h	anti,čkih
predmet,a	predmeta
predmet,e	predmete
pronađen,e	prona,đene
poslednji,h	poslednjih
svetski,h	svetskih
šampion,a	šampiona
četvorostruk,a	četvoro,stru,ka
problem,a	problema
koleno,m	kole,nom
jirgen,a	j,ir,gena
melcer,a	mel,cera
turnir,a	turnira
mec,u	me,cu
mons,u	mon,su
aleks,a	aleksa
bogdanović,a	bogda,novića
balkanski,h	balkanskih
pisac,a	pisaca
dobitnik,a	dobi,tnika
nobelov,e	no,be,love
andrić,a	andrića
travnik,u	tra,vniku
čitanje,m	čita,njem
travnik,a	tra,vnika
film,a	filma
dokument,a	dokumenta
rukopis,i	ruko,pisi
magazin,i	maga,zi,ni
vek,a	veka
mlad,e	mlade
pirot,u	piro,tu
inspirisan,a	inspi,risana
poslanik,u	posla,niku
statut,u	statu,tu
radikal,a	radikala
irački,m	ira,čkim
novinar,em	novina,rem
džordž,a	džor,dža
buš,a	bu,ša
obrazloženje,m	obrazlože,njem
režim,u	režimu
medij,i	mediji
cirkus,om	cirku,som
glasnogovornik,a	glasno,govor,nika
poslanik,e	posla,nike
jeftin,i	jefti,ni
poen,i	poe,ni
poslovnik,a	poslo,vnika
kraj,u	kraju
rajko,m	raj,kom
kuzmanović,em	ku,zma,novićem
način,e	načine
cilj,u	cilju
skor,ije	sko,rije
škundrić,em	š,ku,nd,ri,ćem
neki,h	nekih
skor,u	sko,ru
podeljen,im	pode,ljenim
grad,ovima	gradovima
obećanje,m	obeća,njem
mera,ma	merama
težnja,ma	težnja,ma
đorge,m	đor,ge,m
ivanov,im	i,vano,vim
odnos,i	odnosi
brazil,om	bra,zi,lom
iran,a	i,rana
hrabrost,i	hrabrosti
dubok,e	duboke
zabrinutost,i	zabrinu,tosti
stons,i	sto,nsi
mik,u	mi,ku
džeger,u	dže,ge,ru
stons,ima	sto,nsi,ma
mešovit,ih	mešovi,tih
par,ova	parova
vimbldon,u	vi,mbl,do,nu
gitarist,om	gi,tari,stom
kit,om	ki,tom
ričards,om	ričard,som
sklop,u	sklopu
stons,a	s,ton,sa
obožavalac,a	obo,ža,vala,ca
koncert,u	konce,rtu
sat,a	sata
trabzon,u	tra,b,zonu
luk,om	lu,kom
fudbal,u	fudbalu
vimbldon,a	vi,mbl,dona
par,ovima	paro,vima
jonas,a	j,ona,sa
bjorkman,a	b,jork,mana
poraz,a	poraza
sliven,a	sli,vena
umetnik,a	umetnika
mok,-a	mo,k,-,a
siti,ju	si,tiju
akropolj,a	a,kro,polja
arhitekt,a	arhitekta
njen,oj	njenoj
mermer,e	me,rme,re
partenon,a	par,teno,na
projektovan,e	projekto,vane
sanduk,e	sandu,ke
punjen,e	pu,njene
velik,og	velikog
arhitekt,om	arhite,ktom
muzej,a	muzeja
bernar,om	ber,na,rom
čumi,jem	ču,mi,jem
ambasador,a	ambasadora
artikal,a	artikala
vremenski,h	vremenskih
uslov,a	uslova
uslov,ima	uslovima
vlažnost,i	vlažnosti
antikvitet,a	anti,kvi,teta
metal,a	metala
sanduk,a	sandu,ka
nadzor,om	nadzorom
inženjer,a	inženjera
kostas,a	kosta,sa
zambas,a	za,mba,sa
objekt,a	objekta
odabran,i	odabrani
nagrađivan,i	nagra,đi,vani
bernar,a	ber,nara
čumi,ja	ču,mija
njujork,u	njujorku
staklen,a	stakle,na
stub,ovima	stu,bovima
kvadratni,h	kvadratnih
transport,a	transporta
sadržaj,a	sadržaja
antikvitet,i	anti,kvi,teti
privremen,i	privreme,ni
velik,a	velika
međusprat,u	među,spra,tu
staklen,om	stakle,nom
njihov,u	njihovu
partenon,u	par,teno,nu
vek,ova	vekova
hram,a	hrama
akropolj,u	a,kro,polju
odnos,u	odnosu
stub,ove	stu,bove
savršenost,i	savrše,nosti
moj,ih	mojih
svojstven,o	svoj,stveno
postepen,o	postepeno
mermer,i	mer,meri
muzej,u	muzeju
odgovarajući,h	odgovarajućih
njihov,og	njihovog
impresioniran,i	impre,sioni,rani
mermer,a	mer,mera
ime,nom	imenom
elginov,i	el,gi,novi
skulpturni,h	skulp,tu,rnih
mermer,ima	me,rme,rima
friz,a	fri,za
uzeti,h	uze,tih
zabat,a	zaba,ta
erehtejon,a	e,re,hte,jona
fragment,e	frag,mente
nov,om	novom
liven,im	li,venim
zamena,ma	zamena,ma
kontinuitet,a	kontinuiteta
njen,og	njenog
mandat,a	mandata
organizacija,ma	organizacijama
bugarski,h	bugar,skih
mastriht,u	ma,stri,h,tu
određen,im	određenim
broj,em	brojem
beč,u	beču
ministar,a	ministara
nato,-a	nato,-,a
vankuver,a	van,ku,vera
vladivostok,a	vladi,vo,sto,ka
dokument,ima	dokumentima
obračun,u	obraču,nu
pretnja,ma	pret,njama
sigurnost,i	sigurnosti
materijal,ima	materijalima
format,u	formatu
zločin,a	zločina
prevremen,i	pre,vremeni
tržišni,h	tržišnih
postignut,og	postignu,tog
održiv,og	održivog
konflikt,a	konflikta
jap,a	japa
hop,a	ho,pa
šefer,a	še,fera
pasi,ja	pa,sija
širok,e	široke
plakat,a	pla,kata
birač,a	birača
kandidat,e	kandida,te
kandidat,i	kandidati
skup,ove	sku,pove
plav,o	pla,vo
crven,e	crvene
pobednik,u	pobe,dniku
